true_time,time,unsigned_flux
2018.04.21_01:24:00_TAI,0.0,4.778544e+18
2018.04.21_01:36:00_TAI,0.2,5.764703e+19
2018.04.21_01:48:00_TAI,0.4,2.278332e+20
2018.04.21_02:00:00_TAI,0.6,3.672935e+20
2018.04.21_02:12:00_TAI,0.8,4.054303e+20
2018.04.21_02:24:00_TAI,1.0,4.379009e+20
2018.04.21_02:36:00_TAI,1.2,4.441247e+20
2018.04.21_02:48:00_TAI,1.4,4.883254e+20
2018.04.21_03:00:00_TAI,1.6,6.277197e+20
2018.04.21_03:12:00_TAI,1.8,6.604564e+20
2018.04.21_03:24:00_TAI,2.0,6.905219e+20
2018.04.21_03:36:00_TAI,2.2,7.466525e+20
2018.04.21_03:48:00_TAI,2.4,7.526602e+20
2018.04.21_04:00:00_TAI,2.6,7.644330e+20
2018.04.21_04:12:00_TAI,2.8,7.918382e+20
2018.04.21_04:24:00_TAI,3.0,7.904623e+20
2018.04.21_04:36:00_TAI,3.2,7.935742e+20
2018.04.21_04:48:00_TAI,3.4,8.119379e+20
2018.04.21_05:00:00_TAI,3.6,8.785550e+20
2018.04.21_05:12:00_TAI,3.8,8.674002e+20
2018.04.21_05:24:00_TAI,4.0,8.694674e+20
2018.04.21_05:36:00_TAI,4.2,8.517236e+20
2018.04.21_05:48:00_TAI,4.4,8.831211e+20
2018.04.21_06:12:00_TAI,4.8,8.809497e+20
2018.04.21_06:24:00_TAI,5.0,8.783650e+20
2018.04.21_06:36:00_TAI,5.2,9.053583e+20
2018.04.21_06:48:00_TAI,5.4,9.183745e+20
2018.04.21_07:00:00_TAI,5.6,9.003518e+20
2018.04.21_07:12:00_TAI,5.8,9.243576e+20
2018.04.21_07:24:00_TAI,6.0,9.278103e+20
2018.04.21_07:36:00_TAI,6.2,9.210008e+20
2018.04.21_07:48:00_TAI,6.4,9.043600e+20
2018.04.21_08:00:00_TAI,6.6,9.076882e+20
2018.04.21_08:12:00_TAI,6.8,9.042139e+20
2018.04.21_08:24:00_TAI,7.0,9.013005e+20
2018.04.21_08:36:00_TAI,7.2,8.848012e+20
2018.04.21_08:48:00_TAI,7.4,8.665661e+20
2018.04.21_09:00:00_TAI,7.6,8.785404e+20
2018.04.21_09:12:00_TAI,7.8,8.702728e+20
2018.04.21_09:24:00_TAI,8.0,8.658465e+20
2018.04.21_09:36:00_TAI,8.2,8.708629e+20
2018.04.21_09:48:00_TAI,8.4,8.526304e+20
2018.04.21_10:00:00_TAI,8.6,8.826896e+20
2018.04.21_10:12:00_TAI,8.8,8.535893e+20
2018.04.21_10:24:00_TAI,9.0,8.433917e+20
2018.04.21_10:36:00_TAI,9.2,8.543436e+20
2018.04.21_10:48:00_TAI,9.4,8.484939e+20
2018.04.21_11:00:00_TAI,9.6,8.501115e+20
2018.04.21_11:12:00_TAI,9.8,8.488504e+20
2018.04.21_11:24:00_TAI,10.0,8.348199e+20
2018.04.21_11:36:00_TAI,10.2,8.433635e+20
2018.04.21_11:48:00_TAI,10.4,8.174366e+20
2018.04.21_12:00:00_TAI,10.6,7.968832e+20
2018.04.21_12:12:00_TAI,10.8,7.990115e+20
2018.04.21_12:24:00_TAI,11.0,8.002650e+20
2018.04.21_12:36:00_TAI,11.2,8.301929e+20
2018.04.21_12:48:00_TAI,11.4,8.201336e+20
2018.04.21_13:00:00_TAI,11.6,7.967508e+20
2018.04.21_13:12:00_TAI,11.8,7.898135e+20
2018.04.21_13:24:00_TAI,12.0,7.988753e+20
2018.04.21_13:36:00_TAI,12.2,7.864879e+20
2018.04.21_13:48:00_TAI,12.4,7.972151e+20
2018.04.21_14:00:00_TAI,12.6,7.949949e+20
2018.04.21_14:12:00_TAI,12.8,7.625736e+20
2018.04.21_14:24:00_TAI,13.0,7.563181e+20
2018.04.21_14:36:00_TAI,13.2,7.708237e+20
2018.04.21_14:48:00_TAI,13.4,7.244587e+20
2018.04.21_15:00:00_TAI,13.6,6.974626e+20
2018.04.21_15:12:00_TAI,13.8,7.027748e+20
2018.04.21_15:24:00_TAI,14.0,6.784788e+20
2018.04.21_15:36:00_TAI,14.2,6.670911e+20
2018.04.21_15:48:00_TAI,14.4,6.720380e+20
2018.04.21_16:00:00_TAI,14.6,6.436621e+20
2018.04.21_16:12:00_TAI,14.8,6.372421e+20
2018.04.21_16:24:00_TAI,15.0,6.276946e+20
2018.04.21_16:36:00_TAI,15.2,6.282970e+20
2018.04.21_16:48:00_TAI,15.4,6.723813e+20
2018.04.21_17:00:00_TAI,15.6,6.364607e+20
2018.04.21_17:12:00_TAI,15.8,6.393425e+20
2018.04.21_17:24:00_TAI,16.0,6.257947e+20
2018.04.21_17:36:00_TAI,16.2,6.143208e+20
2018.04.21_17:48:00_TAI,16.4,6.055971e+20
2018.04.21_18:12:00_TAI,16.8,6.141682e+20
2018.04.21_18:24:00_TAI,17.0,5.957720e+20
2018.04.21_18:36:00_TAI,17.2,6.045942e+20
2018.04.21_18:48:00_TAI,17.4,6.205537e+20
2018.04.21_19:00:00_TAI,17.6,6.066039e+20
2018.04.21_19:12:00_TAI,17.8,6.124351e+20
2018.04.21_19:24:00_TAI,18.0,6.284057e+20
2018.04.21_19:36:00_TAI,18.2,6.425519e+20
2018.04.21_19:48:00_TAI,18.4,6.427830e+20
2018.04.21_20:00:00_TAI,18.6,6.433489e+20
2018.04.21_20:12:00_TAI,18.8,6.356202e+20
2018.04.21_20:24:00_TAI,19.0,6.149170e+20
2018.04.21_20:36:00_TAI,19.2,6.345876e+20
2018.04.21_20:48:00_TAI,19.4,6.138926e+20
2018.04.21_21:00:00_TAI,19.6,6.048324e+20
2018.04.21_21:12:00_TAI,19.8,5.799711e+20
2018.04.21_21:24:00_TAI,20.0,5.859218e+20
2018.04.21_21:36:00_TAI,20.2,5.563516e+20
2018.04.21_21:48:00_TAI,20.4,5.543893e+20
2018.04.21_22:00:00_TAI,20.6,5.282196e+20
2018.04.21_22:12:00_TAI,20.8,4.707225e+20
2018.04.21_22:24:00_TAI,21.0,4.885874e+20
2018.04.21_22:36:00_TAI,21.2,4.871773e+20
2018.04.21_22:48:00_TAI,21.4,4.308014e+20
2018.04.21_23:00:00_TAI,21.6,4.327225e+20
2018.04.21_23:12:00_TAI,21.8,4.286171e+20
2018.04.21_23:24:00_TAI,22.0,4.156033e+20
2018.04.21_23:36:00_TAI,22.2,3.939956e+20
2018.04.21_23:48:00_TAI,22.4,3.708092e+20
2018.04.22_00:00:00_TAI,22.6,3.779747e+20
2018.04.22_00:12:00_TAI,22.8,4.081782e+20
2018.04.22_00:24:00_TAI,23.0,3.876140e+20
2018.04.22_00:36:00_TAI,23.2,3.792968e+20
2018.04.22_00:48:00_TAI,23.4,3.910595e+20
2018.04.22_01:00:00_TAI,23.6,3.833802e+20
2018.04.22_01:12:00_TAI,23.8,3.552524e+20
2018.04.22_01:24:00_TAI,24.0,3.508199e+20
2018.04.22_01:36:00_TAI,24.2,3.609769e+20
2018.04.22_01:48:00_TAI,24.4,3.631267e+20
2018.04.22_02:00:00_TAI,24.6,3.634374e+20
2018.04.22_02:12:00_TAI,24.8,3.438761e+20
2018.04.22_02:24:00_TAI,25.0,3.400896e+20
2018.04.22_02:36:00_TAI,25.2,3.656756e+20
2018.04.22_02:48:00_TAI,25.4,3.599770e+20
2018.04.22_03:00:00_TAI,25.6,3.617358e+20
2018.04.22_03:12:00_TAI,25.8,3.484116e+20
2018.04.22_03:24:00_TAI,26.0,3.514822e+20
2018.04.22_03:36:00_TAI,26.2,3.480476e+20
2018.04.22_03:48:00_TAI,26.4,3.284660e+20
2018.04.22_04:00:00_TAI,26.6,3.323589e+20
2018.04.22_04:12:00_TAI,26.8,3.091866e+20
2018.04.22_04:24:00_TAI,27.0,3.029715e+20
2018.04.22_04:36:00_TAI,27.2,2.994008e+20
2018.04.22_04:48:00_TAI,27.4,3.011317e+20
2018.04.22_05:00:00_TAI,27.6,2.919257e+20
2018.04.22_05:12:00_TAI,27.8,2.867876e+20
2018.04.22_05:24:00_TAI,28.0,2.801431e+20
2018.04.22_05:36:00_TAI,28.2,2.857495e+20
2018.04.22_05:48:00_TAI,28.4,2.526841e+20
2018.04.22_06:12:00_TAI,28.8,2.221332e+20
2018.04.22_06:24:00_TAI,29.0,2.103782e+20
2018.04.22_06:36:00_TAI,29.2,2.058194e+20
2018.04.22_06:48:00_TAI,29.4,1.849060e+20
2018.04.22_07:00:00_TAI,29.6,1.836827e+20
2018.04.22_07:12:00_TAI,29.8,1.906916e+20
2018.04.22_07:24:00_TAI,30.0,1.798499e+20
2018.04.22_07:36:00_TAI,30.2,1.616363e+20
2018.04.22_07:48:00_TAI,30.4,1.729688e+20
2018.04.22_08:00:00_TAI,30.6,1.477521e+20
2018.04.22_08:12:00_TAI,30.8,1.201403e+20
2018.04.22_08:24:00_TAI,31.0,1.217666e+20
2018.04.22_08:36:00_TAI,31.2,1.379825e+20
2018.04.22_08:48:00_TAI,31.4,1.319935e+20
2018.04.22_09:00:00_TAI,31.6,1.323112e+20
2018.04.22_09:12:00_TAI,31.8,1.355655e+20
2018.04.22_09:24:00_TAI,32.0,1.355841e+20
2018.04.22_09:36:00_TAI,32.2,1.269440e+20
2018.04.22_09:48:00_TAI,32.4,1.369907e+20
2018.04.22_10:00:00_TAI,32.6,1.306667e+20
2018.04.22_10:12:00_TAI,32.8,1.424209e+20
2018.04.22_10:24:00_TAI,33.0,1.333819e+20
2018.04.22_10:36:00_TAI,33.2,1.274173e+20
2018.04.22_10:48:00_TAI,33.4,1.231857e+20
2018.04.22_11:00:00_TAI,33.6,1.345015e+20
2018.04.22_11:24:00_TAI,34.0,1.059504e+20
2018.04.22_12:36:00_TAI,35.2,1.160832e+20
2018.04.22_12:48:00_TAI,35.4,1.135440e+20
2018.04.22_13:24:00_TAI,36.0,1.018980e+20
2018.04.22_13:36:00_TAI,36.2,9.479251e+19
2018.04.22_13:48:00_TAI,36.4,1.026638e+20
2018.04.22_14:00:00_TAI,36.6,1.125257e+20
2018.04.22_14:12:00_TAI,36.8,9.335739e+19
2018.04.22_14:24:00_TAI,37.0,1.010751e+20
2018.04.22_14:36:00_TAI,37.2,1.022694e+20
2018.04.22_14:48:00_TAI,37.4,1.212033e+20
2018.04.22_15:00:00_TAI,37.6,1.179560e+20
2018.04.22_15:12:00_TAI,37.8,1.311567e+20
2018.04.22_15:24:00_TAI,38.0,1.069385e+20
2018.04.22_15:36:00_TAI,38.2,1.028198e+20
2018.04.22_15:48:00_TAI,38.4,1.035526e+20
2018.04.22_16:00:00_TAI,38.6,1.073399e+20
2018.04.22_16:12:00_TAI,38.8,1.242691e+20
2018.04.22_16:24:00_TAI,39.0,1.188702e+20
2018.04.22_16:36:00_TAI,39.2,1.193611e+20
2018.04.22_16:48:00_TAI,39.4,1.172106e+20
2018.04.22_17:00:00_TAI,39.6,1.094597e+20
2018.04.22_17:12:00_TAI,39.8,9.824742e+19
2018.04.22_17:36:00_TAI,40.2,9.659854e+19
2018.04.22_17:48:00_TAI,40.4,9.718960e+19
2018.04.22_18:48:00_TAI,41.4,1.010410e+20
2018.04.22_19:12:00_TAI,41.8,9.825271e+19
2018.04.23_01:36:00_TAI,48.2,9.692621e+19
2018.04.23_02:24:00_TAI,49.0,1.011624e+20
2018.04.23_02:36:00_TAI,49.2,8.821450e+19
2018.04.23_02:48:00_TAI,49.4,5.411926e+19
2018.04.23_03:00:00_TAI,49.6,4.862917e+19
2018.04.23_03:12:00_TAI,49.8,4.919377e+19
2018.04.23_03:24:00_TAI,50.0,4.255668e+19
2018.04.23_07:48:00_TAI,54.4,2.655771e+19
2018.04.23_08:48:00_TAI,55.4,2.443592e+19
