true_time,time,unsigned_flux
2011.12.07_16:12:00_TAI,0.0,1.527152e+20
2011.12.07_16:24:00_TAI,0.2,2.681210e+20
2011.12.07_16:36:00_TAI,0.4,3.786863e+20
2011.12.07_16:48:00_TAI,0.6,4.150103e+20
2011.12.07_17:00:00_TAI,0.8,4.370873e+20
2011.12.07_17:12:00_TAI,1.0,4.904334e+20
2011.12.07_17:24:00_TAI,1.2,5.415991e+20
2011.12.07_17:36:00_TAI,1.4,6.215850e+20
2011.12.07_17:48:00_TAI,1.6,6.515473e+20
2011.12.07_18:36:00_TAI,2.4,8.217573e+20
2011.12.07_18:48:00_TAI,2.6,8.560132e+20
2011.12.07_19:00:00_TAI,2.8,8.248546e+20
2011.12.07_19:12:00_TAI,3.0,8.584268e+20
2011.12.07_19:24:00_TAI,3.2,8.718389e+20
2011.12.07_19:36:00_TAI,3.4,8.945274e+20
2011.12.07_19:48:00_TAI,3.6,9.236554e+20
2011.12.07_20:00:00_TAI,3.8,9.630718e+20
2011.12.07_20:12:00_TAI,4.0,9.949229e+20
2011.12.07_20:24:00_TAI,4.2,1.013619e+21
2011.12.07_20:36:00_TAI,4.4,1.030031e+21
2011.12.07_20:48:00_TAI,4.6,1.082316e+21
2011.12.07_21:00:00_TAI,4.8,1.083958e+21
2011.12.07_21:12:00_TAI,5.0,1.090475e+21
2011.12.07_21:24:00_TAI,5.2,1.091333e+21
2011.12.07_21:36:00_TAI,5.4,1.117937e+21
2011.12.07_21:48:00_TAI,5.6,1.115870e+21
2011.12.07_22:00:00_TAI,5.8,1.125878e+21
2011.12.07_22:12:00_TAI,6.0,1.131151e+21
2011.12.07_22:24:00_TAI,6.2,1.144034e+21
2011.12.07_22:36:00_TAI,6.4,1.182846e+21
2011.12.07_22:48:00_TAI,6.6,1.222662e+21
2011.12.07_23:00:00_TAI,6.8,1.244239e+21
2011.12.07_23:12:00_TAI,7.0,1.241553e+21
2011.12.07_23:24:00_TAI,7.2,1.237268e+21
2011.12.07_23:36:00_TAI,7.4,1.263225e+21
2011.12.07_23:48:00_TAI,7.6,1.248137e+21
2011.12.08_00:00:00_TAI,7.8,1.313909e+21
2011.12.08_00:12:00_TAI,8.0,1.344085e+21
2011.12.08_00:24:00_TAI,8.2,1.314335e+21
2011.12.08_00:36:00_TAI,8.4,1.353220e+21
2011.12.08_00:48:00_TAI,8.6,1.362690e+21
2011.12.08_01:00:00_TAI,8.8,1.391798e+21
2011.12.08_01:12:00_TAI,9.0,1.406334e+21
2011.12.08_01:24:00_TAI,9.2,1.403487e+21
2011.12.08_01:36:00_TAI,9.4,1.421034e+21
2011.12.08_01:48:00_TAI,9.6,1.428735e+21
2011.12.08_02:00:00_TAI,9.8,1.457405e+21
2011.12.08_02:12:00_TAI,10.0,1.472633e+21
2011.12.08_02:24:00_TAI,10.2,1.437728e+21
2011.12.08_02:36:00_TAI,10.4,1.459246e+21
2011.12.08_02:48:00_TAI,10.6,1.486905e+21
2011.12.08_03:00:00_TAI,10.8,1.517271e+21
2011.12.08_03:12:00_TAI,11.0,1.548754e+21
2011.12.08_03:24:00_TAI,11.2,1.606996e+21
2011.12.08_03:36:00_TAI,11.4,1.656277e+21
2011.12.08_03:48:00_TAI,11.6,1.713626e+21
2011.12.08_04:00:00_TAI,11.8,1.709794e+21
2011.12.08_04:12:00_TAI,12.0,1.725306e+21
2011.12.08_04:24:00_TAI,12.2,1.697777e+21
2011.12.08_04:36:00_TAI,12.4,1.751508e+21
2011.12.08_04:48:00_TAI,12.6,1.783896e+21
2011.12.08_05:00:00_TAI,12.8,1.838284e+21
2011.12.08_05:12:00_TAI,13.0,1.892925e+21
2011.12.08_05:24:00_TAI,13.2,1.887154e+21
2011.12.08_05:36:00_TAI,13.4,1.919335e+21
2011.12.08_05:48:00_TAI,13.6,1.925234e+21
2011.12.08_06:24:00_TAI,14.2,1.906056e+21
2011.12.08_06:36:00_TAI,14.4,1.899824e+21
2011.12.08_06:48:00_TAI,14.6,1.882411e+21
2011.12.08_07:00:00_TAI,14.8,1.861209e+21
2011.12.08_07:12:00_TAI,15.0,1.838771e+21
2011.12.08_07:24:00_TAI,15.2,1.886255e+21
2011.12.08_07:36:00_TAI,15.4,1.887874e+21
2011.12.08_07:48:00_TAI,15.6,1.906996e+21
2011.12.08_08:00:00_TAI,15.8,1.973248e+21
2011.12.08_08:12:00_TAI,16.0,2.019025e+21
2011.12.08_08:24:00_TAI,16.2,2.009906e+21
2011.12.08_08:36:00_TAI,16.4,2.050257e+21
2011.12.08_08:48:00_TAI,16.6,2.029391e+21
2011.12.08_09:00:00_TAI,16.8,2.070151e+21
2011.12.08_09:12:00_TAI,17.0,2.127311e+21
2011.12.08_09:24:00_TAI,17.2,2.114232e+21
2011.12.08_09:36:00_TAI,17.4,2.140316e+21
2011.12.08_09:48:00_TAI,17.6,2.155941e+21
2011.12.08_10:00:00_TAI,17.8,2.156573e+21
2011.12.08_10:12:00_TAI,18.0,2.122976e+21
2011.12.08_10:24:00_TAI,18.2,2.124609e+21
2011.12.08_10:36:00_TAI,18.4,2.158590e+21
2011.12.08_10:48:00_TAI,18.6,2.170349e+21
2011.12.08_11:00:00_TAI,18.8,2.146765e+21
2011.12.08_11:12:00_TAI,19.0,2.150540e+21
2011.12.08_11:24:00_TAI,19.2,2.195877e+21
2011.12.08_11:36:00_TAI,19.4,2.149693e+21
2011.12.08_11:48:00_TAI,19.6,2.155293e+21
2011.12.08_12:00:00_TAI,19.8,2.190931e+21
2011.12.08_12:12:00_TAI,20.0,2.212071e+21
2011.12.08_12:24:00_TAI,20.2,2.175249e+21
2011.12.08_12:36:00_TAI,20.4,2.188937e+21
2011.12.08_12:48:00_TAI,20.6,2.228143e+21
2011.12.08_13:00:00_TAI,20.8,2.246580e+21
2011.12.08_13:12:00_TAI,21.0,2.251055e+21
2011.12.08_13:24:00_TAI,21.2,2.302761e+21
2011.12.08_13:36:00_TAI,21.4,2.335526e+21
2011.12.08_13:48:00_TAI,21.6,2.388936e+21
2011.12.08_14:00:00_TAI,21.8,2.389971e+21
2011.12.08_14:12:00_TAI,22.0,2.393998e+21
2011.12.08_14:24:00_TAI,22.2,2.481257e+21
2011.12.08_14:36:00_TAI,22.4,2.515700e+21
2011.12.08_14:48:00_TAI,22.6,2.441676e+21
2011.12.08_15:00:00_TAI,22.8,2.458082e+21
2011.12.08_15:12:00_TAI,23.0,2.447312e+21
2011.12.08_15:24:00_TAI,23.2,2.458573e+21
2011.12.08_15:36:00_TAI,23.4,2.475783e+21
2011.12.08_15:48:00_TAI,23.6,2.483174e+21
2011.12.08_16:00:00_TAI,23.8,2.505553e+21
2011.12.08_16:12:00_TAI,24.0,2.525754e+21
2011.12.08_16:24:00_TAI,24.2,2.522417e+21
2011.12.08_16:36:00_TAI,24.4,2.572208e+21
2011.12.08_16:48:00_TAI,24.6,2.536015e+21
2011.12.08_17:00:00_TAI,24.8,2.544260e+21
2011.12.08_17:12:00_TAI,25.0,2.607637e+21
2011.12.08_17:24:00_TAI,25.2,2.613681e+21
2011.12.08_17:36:00_TAI,25.4,2.641904e+21
2011.12.08_17:48:00_TAI,25.6,2.640166e+21
2011.12.08_18:24:00_TAI,26.2,2.714764e+21
2011.12.08_18:36:00_TAI,26.4,2.713927e+21
2011.12.08_18:48:00_TAI,26.6,2.743438e+21
2011.12.08_19:00:00_TAI,26.8,2.677066e+21
2011.12.08_19:12:00_TAI,27.0,2.702396e+21
2011.12.08_19:24:00_TAI,27.2,2.743471e+21
2011.12.08_19:36:00_TAI,27.4,2.658031e+21
2011.12.08_19:48:00_TAI,27.6,2.629127e+21
2011.12.08_20:00:00_TAI,27.8,2.641052e+21
2011.12.08_20:12:00_TAI,28.0,2.568016e+21
2011.12.08_20:24:00_TAI,28.2,2.583729e+21
2011.12.08_20:36:00_TAI,28.4,2.570832e+21
2011.12.08_20:48:00_TAI,28.6,2.584015e+21
2011.12.08_21:00:00_TAI,28.8,2.583455e+21
2011.12.08_21:12:00_TAI,29.0,2.595601e+21
2011.12.08_21:24:00_TAI,29.2,2.574844e+21
2011.12.08_21:36:00_TAI,29.4,2.553273e+21
2011.12.08_21:48:00_TAI,29.6,2.564622e+21
2011.12.08_22:00:00_TAI,29.8,2.519749e+21
2011.12.08_22:12:00_TAI,30.0,2.556858e+21
2011.12.08_22:24:00_TAI,30.2,2.540821e+21
2011.12.08_22:36:00_TAI,30.4,2.541686e+21
2011.12.08_22:48:00_TAI,30.6,2.596419e+21
2011.12.08_23:00:00_TAI,30.8,2.586047e+21
2011.12.08_23:12:00_TAI,31.0,2.599806e+21
2011.12.08_23:24:00_TAI,31.2,2.607254e+21
2011.12.08_23:36:00_TAI,31.4,2.636838e+21
2011.12.08_23:48:00_TAI,31.6,2.643697e+21
2011.12.09_00:00:00_TAI,31.8,2.634570e+21
2011.12.09_00:12:00_TAI,32.0,2.636338e+21
2011.12.09_00:24:00_TAI,32.2,2.621879e+21
2011.12.09_00:36:00_TAI,32.4,2.643013e+21
2011.12.09_00:48:00_TAI,32.6,2.645973e+21
2011.12.09_01:00:00_TAI,32.8,2.631639e+21
2011.12.09_01:12:00_TAI,33.0,2.598954e+21
2011.12.09_01:24:00_TAI,33.2,2.623757e+21
2011.12.09_01:36:00_TAI,33.4,2.597442e+21
2011.12.09_01:48:00_TAI,33.6,2.586497e+21
2011.12.09_02:00:00_TAI,33.8,2.632832e+21
2011.12.09_02:12:00_TAI,34.0,2.631932e+21
2011.12.09_02:24:00_TAI,34.2,2.640194e+21
2011.12.09_02:36:00_TAI,34.4,2.677715e+21
2011.12.09_02:48:00_TAI,34.6,2.670619e+21
2011.12.09_03:00:00_TAI,34.8,2.711016e+21
2011.12.09_03:12:00_TAI,35.0,2.713587e+21
2011.12.09_03:24:00_TAI,35.2,2.756950e+21
2011.12.09_03:36:00_TAI,35.4,2.758723e+21
2011.12.09_03:48:00_TAI,35.6,2.809306e+21
2011.12.09_04:00:00_TAI,35.8,2.772703e+21
2011.12.09_04:12:00_TAI,36.0,2.818379e+21
2011.12.09_04:24:00_TAI,36.2,2.827072e+21
2011.12.09_04:36:00_TAI,36.4,2.926752e+21
2011.12.09_04:48:00_TAI,36.6,2.897983e+21
2011.12.09_05:00:00_TAI,36.8,2.977953e+21
2011.12.09_05:12:00_TAI,37.0,3.021032e+21
2011.12.09_05:24:00_TAI,37.2,3.046190e+21
2011.12.09_05:36:00_TAI,37.4,3.060731e+21
2011.12.09_05:48:00_TAI,37.6,3.010462e+21
2011.12.09_06:24:00_TAI,38.2,3.065472e+21
2011.12.09_06:36:00_TAI,38.4,3.049611e+21
2011.12.09_06:48:00_TAI,38.6,3.066200e+21
2011.12.09_07:00:00_TAI,38.8,3.049214e+21
2011.12.09_07:12:00_TAI,39.0,2.995756e+21
2011.12.09_07:24:00_TAI,39.2,2.949892e+21
2011.12.09_07:36:00_TAI,39.4,2.922921e+21
2011.12.09_07:48:00_TAI,39.6,2.873828e+21
2011.12.09_08:00:00_TAI,39.8,2.853756e+21
2011.12.09_08:12:00_TAI,40.0,2.805715e+21
2011.12.09_08:24:00_TAI,40.2,2.785890e+21
2011.12.09_08:36:00_TAI,40.4,2.778021e+21
2011.12.09_08:48:00_TAI,40.6,2.725957e+21
2011.12.09_09:00:00_TAI,40.8,2.687007e+21
2011.12.09_09:12:00_TAI,41.0,2.708514e+21
2011.12.09_09:24:00_TAI,41.2,2.660016e+21
2011.12.09_09:36:00_TAI,41.4,2.704798e+21
2011.12.09_09:48:00_TAI,41.6,2.660671e+21
2011.12.09_10:00:00_TAI,41.8,2.639229e+21
2011.12.09_10:12:00_TAI,42.0,2.680595e+21
2011.12.09_10:24:00_TAI,42.2,2.649072e+21
2011.12.09_10:36:00_TAI,42.4,2.651604e+21
2011.12.09_10:48:00_TAI,42.6,2.703999e+21
2011.12.09_11:00:00_TAI,42.8,2.698416e+21
2011.12.09_11:12:00_TAI,43.0,2.717127e+21
2011.12.09_11:24:00_TAI,43.2,2.643545e+21
2011.12.09_11:36:00_TAI,43.4,2.676975e+21
2011.12.09_11:48:00_TAI,43.6,2.650693e+21
2011.12.09_12:00:00_TAI,43.8,2.625767e+21
2011.12.09_12:12:00_TAI,44.0,2.610438e+21
2011.12.09_12:24:00_TAI,44.2,2.595789e+21
2011.12.09_12:36:00_TAI,44.4,2.634186e+21
2011.12.09_12:48:00_TAI,44.6,2.598806e+21
2011.12.09_13:00:00_TAI,44.8,2.615763e+21
2011.12.09_13:12:00_TAI,45.0,2.587427e+21
2011.12.09_13:24:00_TAI,45.2,2.538746e+21
2011.12.09_13:36:00_TAI,45.4,2.542983e+21
2011.12.09_13:48:00_TAI,45.6,2.492297e+21
2011.12.09_14:00:00_TAI,45.8,2.483728e+21
2011.12.09_14:12:00_TAI,46.0,2.491332e+21
