true_time,time,unsigned_flux,free energy,potential inversion line flux,area
2017.09.03_17:00:00_TAI,38.0,1.134216e+22,5.057550e+22,2.693,176.587738
2017.09.03_17:12:00_TAI,38.2,1.137212e+22,5.106239e+22,2.696,175.788422
2017.09.03_17:24:00_TAI,38.4,1.161548e+22,5.182406e+22,0.000,176.183777
2017.09.03_17:36:00_TAI,38.6,1.165583e+22,5.146432e+22,0.000,176.500015
2017.09.03_17:48:00_TAI,38.8,1.178910e+22,5.157514e+22,0.000,179.363419
2017.09.03_18:12:00_TAI,39.2,1.179715e+22,5.135028e+22,0.000,178.218719
2017.09.03_18:24:00_TAI,39.4,1.169432e+22,5.037301e+22,0.000,177.905701
2017.09.03_18:36:00_TAI,39.6,1.171745e+22,4.960398e+22,0.000,176.202499
2017.09.03_18:48:00_TAI,39.8,1.151532e+22,4.934426e+22,0.000,174.238190
2017.09.03_19:00:00_TAI,40.0,1.141880e+22,4.897697e+22,0.000,174.069763
2017.09.03_19:12:00_TAI,40.2,1.132966e+22,4.865049e+22,2.156,169.123962
2017.09.03_19:24:00_TAI,40.4,1.137134e+22,4.856581e+22,0.000,174.328964
2017.09.03_19:36:00_TAI,40.6,1.128863e+22,4.811236e+22,0.000,170.886459
2017.09.03_19:48:00_TAI,40.8,1.118130e+22,4.795877e+22,2.160,174.002975
2017.09.03_20:00:00_TAI,41.0,1.102525e+22,4.811143e+22,2.168,178.072601
2017.09.03_20:12:00_TAI,41.2,1.101377e+22,4.831451e+22,2.167,177.093124
2017.09.03_20:24:00_TAI,41.4,1.078909e+22,4.833310e+22,2.474,176.595184
2017.09.03_20:36:00_TAI,41.6,1.079480e+22,4.913276e+22,2.475,174.189621
2017.09.03_20:48:00_TAI,41.8,1.085178e+22,4.940197e+22,2.476,175.589981
2017.09.03_21:00:00_TAI,42.0,1.089292e+22,4.994007e+22,2.477,174.152023
2017.09.03_21:12:00_TAI,42.2,1.101315e+22,5.160550e+22,2.480,174.812881
2017.09.03_21:24:00_TAI,42.4,1.117992e+22,5.201702e+22,2.480,175.477951
2017.09.03_21:36:00_TAI,42.6,1.130757e+22,5.275263e+22,2.482,173.824448
2017.09.03_21:48:00_TAI,42.8,1.152205e+22,5.282630e+22,2.187,177.080582
