true_time,time,unsigned_flux,free energy,potential inversion line flux,area
2013.11.26_00:12:00_TAI,0.6,1.117020e+21,3.214904e+21,2.383,22.763363
2013.11.26_00:24:00_TAI,0.8,1.138670e+21,3.254453e+21,0.000,23.009317
2013.11.26_00:36:00_TAI,1.0,1.227312e+21,3.425937e+21,0.000,18.202120
2013.11.26_00:48:00_TAI,1.2,1.256517e+21,3.180197e+21,0.000,20.861990
2013.11.26_01:00:00_TAI,1.4,1.271509e+21,3.416108e+21,0.000,23.749399
2013.11.26_01:12:00_TAI,1.6,1.501451e+21,3.776383e+21,0.000,26.590950
2013.11.26_01:24:00_TAI,1.8,1.529852e+21,3.992976e+21,0.000,25.737093
2013.11.26_01:36:00_TAI,2.0,1.625685e+21,4.023310e+21,0.000,30.041948
2013.11.26_01:48:00_TAI,2.2,1.667304e+21,4.109197e+21,0.000,30.294605
2013.11.26_02:00:00_TAI,2.4,1.806789e+21,4.527666e+21,0.000,34.942810
2013.11.26_02:12:00_TAI,2.6,1.883289e+21,4.401627e+21,0.000,36.409115
2013.11.26_02:24:00_TAI,2.8,1.976324e+21,4.919243e+21,0.000,38.337490
2013.11.26_02:36:00_TAI,3.0,2.141598e+21,5.281438e+21,0.000,41.599239
2013.11.26_02:48:00_TAI,3.2,2.188354e+21,5.199762e+21,0.000,42.466511
2013.11.26_03:00:00_TAI,3.4,2.213202e+21,8.679672e+21,0.000,41.632950
2013.11.26_03:12:00_TAI,3.6,2.272630e+21,8.685614e+21,0.000,43.520847
2013.11.26_03:24:00_TAI,3.8,2.266119e+21,9.084863e+21,0.000,47.531456
2013.11.26_03:36:00_TAI,4.0,2.257906e+21,9.024164e+21,0.000,45.837742
2013.11.26_03:48:00_TAI,4.2,2.297585e+21,6.123306e+21,0.000,44.107330
2013.11.26_04:00:00_TAI,4.4,2.332400e+21,6.700650e+21,0.000,45.560383
2013.11.26_04:12:00_TAI,4.6,2.401707e+21,6.746352e+21,2.464,47.858952
2013.11.26_04:24:00_TAI,4.8,2.438868e+21,7.012703e+21,0.000,42.840069
2013.11.26_04:36:00_TAI,5.0,2.451759e+21,6.925690e+21,0.000,48.106079
2013.11.26_04:48:00_TAI,5.2,2.469539e+21,7.165653e+21,2.504,44.879002
