true_time,time,unsigned_flux
2016.09.18_04:00:00_TAI,0.0,4.325095e+18
2016.09.18_04:12:00_TAI,0.2,1.754124e+20
2016.09.18_04:24:00_TAI,0.4,2.568795e+20
2016.09.18_04:36:00_TAI,0.6,2.468750e+20
2016.09.18_04:48:00_TAI,0.8,2.798543e+20
2016.09.18_05:00:00_TAI,1.0,3.280356e+20
2016.09.18_05:12:00_TAI,1.2,4.067854e+20
2016.09.18_05:24:00_TAI,1.4,4.552011e+20
2016.09.18_05:36:00_TAI,1.6,4.627572e+20
2016.09.18_05:48:00_TAI,1.8,5.492447e+20
2016.09.18_06:12:00_TAI,2.2,4.856884e+20
2016.09.18_06:24:00_TAI,2.4,5.230412e+20
2016.09.18_06:36:00_TAI,2.6,5.435245e+20
2016.09.18_06:48:00_TAI,2.8,5.904368e+20
2016.09.18_07:00:00_TAI,3.0,6.088369e+20
2016.09.18_07:12:00_TAI,3.2,6.287957e+20
2016.09.18_07:24:00_TAI,3.4,6.675935e+20
2016.09.18_07:36:00_TAI,3.6,6.861741e+20
2016.09.18_07:48:00_TAI,3.8,7.152575e+20
2016.09.18_08:00:00_TAI,4.0,7.520827e+20
2016.09.18_08:12:00_TAI,4.2,7.772410e+20
2016.09.18_08:24:00_TAI,4.4,8.176239e+20
2016.09.18_08:36:00_TAI,4.6,8.769157e+20
2016.09.18_08:48:00_TAI,4.8,1.011576e+21
2016.09.18_09:00:00_TAI,5.0,1.109291e+21
2016.09.18_09:12:00_TAI,5.2,1.184040e+21
2016.09.18_09:24:00_TAI,5.4,1.246184e+21
2016.09.18_09:36:00_TAI,5.6,1.290819e+21
2016.09.18_09:48:00_TAI,5.8,1.387861e+21
2016.09.18_10:00:00_TAI,6.0,1.422603e+21
2016.09.18_10:12:00_TAI,6.2,1.432247e+21
2016.09.18_10:24:00_TAI,6.4,1.533099e+21
2016.09.18_10:36:00_TAI,6.6,1.551169e+21
2016.09.18_10:48:00_TAI,6.8,1.597170e+21
2016.09.18_11:00:00_TAI,7.0,1.606160e+21
2016.09.18_11:12:00_TAI,7.2,1.632627e+21
2016.09.18_11:24:00_TAI,7.4,1.636584e+21
2016.09.18_11:36:00_TAI,7.6,1.655771e+21
2016.09.18_11:48:00_TAI,7.8,1.665995e+21
2016.09.18_12:00:00_TAI,8.0,1.675024e+21
2016.09.18_12:12:00_TAI,8.2,1.662238e+21
2016.09.18_12:24:00_TAI,8.4,1.675461e+21
2016.09.18_12:36:00_TAI,8.6,1.732063e+21
2016.09.18_12:48:00_TAI,8.8,1.761036e+21
2016.09.18_13:00:00_TAI,9.0,1.723777e+21
2016.09.18_13:12:00_TAI,9.2,1.708283e+21
2016.09.18_13:24:00_TAI,9.4,1.693789e+21
2016.09.18_13:36:00_TAI,9.6,1.753569e+21
2016.09.18_13:48:00_TAI,9.8,1.788360e+21
2016.09.18_14:00:00_TAI,10.0,1.778686e+21
2016.09.18_14:12:00_TAI,10.2,1.852581e+21
2016.09.18_14:24:00_TAI,10.4,1.818464e+21
2016.09.18_14:36:00_TAI,10.6,1.859748e+21
2016.09.18_14:48:00_TAI,10.8,1.860176e+21
2016.09.18_15:00:00_TAI,11.0,1.826789e+21
2016.09.18_15:12:00_TAI,11.2,1.897993e+21
2016.09.18_15:24:00_TAI,11.4,1.899560e+21
2016.09.18_15:36:00_TAI,11.6,1.980764e+21
2016.09.18_15:48:00_TAI,11.8,1.959797e+21
2016.09.18_16:00:00_TAI,12.0,2.019850e+21
2016.09.18_16:12:00_TAI,12.2,2.027859e+21
2016.09.18_16:24:00_TAI,12.4,2.006944e+21
2016.09.18_16:36:00_TAI,12.6,2.039340e+21
2016.09.18_16:48:00_TAI,12.8,2.028882e+21
2016.09.18_17:00:00_TAI,13.0,2.044720e+21
2016.09.18_17:12:00_TAI,13.2,2.102194e+21
2016.09.18_17:24:00_TAI,13.4,2.084806e+21
2016.09.18_17:36:00_TAI,13.6,2.224059e+21
2016.09.18_17:48:00_TAI,13.8,2.212006e+21
2016.09.18_18:12:00_TAI,14.2,2.332329e+21
2016.09.18_18:24:00_TAI,14.4,2.383040e+21
2016.09.18_18:36:00_TAI,14.6,2.449399e+21
2016.09.18_18:48:00_TAI,14.8,2.554490e+21
2016.09.18_19:00:00_TAI,15.0,2.557414e+21
2016.09.18_19:12:00_TAI,15.2,2.607475e+21
2016.09.18_19:24:00_TAI,15.4,2.664386e+21
2016.09.18_19:36:00_TAI,15.6,2.668699e+21
2016.09.18_19:48:00_TAI,15.8,2.814941e+21
2016.09.18_20:00:00_TAI,16.0,2.846859e+21
2016.09.18_20:12:00_TAI,16.2,2.912798e+21
2016.09.18_20:24:00_TAI,16.4,2.903630e+21
2016.09.18_20:36:00_TAI,16.6,2.913957e+21
2016.09.18_20:48:00_TAI,16.8,2.953127e+21
2016.09.18_21:00:00_TAI,17.0,2.962230e+21
2016.09.18_21:12:00_TAI,17.2,2.973749e+21
2016.09.18_21:24:00_TAI,17.4,3.035497e+21
2016.09.18_21:36:00_TAI,17.6,3.037038e+21
2016.09.18_21:48:00_TAI,17.8,3.051713e+21
2016.09.18_22:00:00_TAI,18.0,3.097971e+21
2016.09.18_22:12:00_TAI,18.2,3.114978e+21
2016.09.18_22:24:00_TAI,18.4,3.112881e+21
2016.09.18_22:36:00_TAI,18.6,3.128663e+21
2016.09.18_22:48:00_TAI,18.8,3.210015e+21
2016.09.18_23:00:00_TAI,19.0,3.226097e+21
2016.09.18_23:12:00_TAI,19.2,3.255371e+21
2016.09.18_23:24:00_TAI,19.4,3.285002e+21
2016.09.18_23:36:00_TAI,19.6,3.345699e+21
2016.09.18_23:48:00_TAI,19.8,3.332135e+21
2016.09.19_00:00:00_TAI,20.0,3.413500e+21
2016.09.19_00:12:00_TAI,20.2,3.451944e+21
2016.09.19_00:24:00_TAI,20.4,3.478064e+21
2016.09.19_00:36:00_TAI,20.6,3.554059e+21
2016.09.19_00:48:00_TAI,20.8,3.520925e+21
2016.09.19_01:00:00_TAI,21.0,3.561824e+21
2016.09.19_01:12:00_TAI,21.2,3.604153e+21
