time,unsigned_flux
25.2,8.791602e+21
25.4,8.853916e+21
25.6,8.860936e+21
25.8,8.811433e+21
26.0,8.798630e+21
26.2,8.791614e+21
26.4,8.815389e+21
26.6,8.877684e+21
26.8,9.020814e+21
27.0,9.182013e+21
27.2,9.175419e+21
27.4,9.337890e+21
27.6,9.556744e+21
27.8,9.629706e+21
28.0,9.738786e+21
28.4,9.887760e+21
28.6,9.934362e+21
28.8,9.908998e+21
29.0,9.966027e+21
29.2,9.871902e+21
29.4,9.725446e+21
29.6,9.570934e+21
29.8,9.624923e+21
30.0,9.560482e+21
30.2,9.399618e+21
30.4,9.309385e+21
30.6,9.288235e+21
30.8,9.312699e+21
31.0,9.244607e+21
31.2,9.336777e+21
31.4,9.352257e+21
31.6,9.290352e+21
31.8,9.479201e+21
32.0,9.509327e+21
32.2,9.564591e+21
32.4,9.505982e+21
32.6,9.695956e+21
32.8,9.595966e+21
33.0,9.639804e+21
33.2,9.663556e+21
33.4,9.741959e+21
33.6,9.769030e+21
33.8,9.840442e+21
34.0,9.809643e+21
34.2,9.982288e+21
34.4,9.945565e+21
34.6,9.977562e+21
34.8,1.007844e+22
35.0,1.011034e+22
35.2,1.011198e+22
35.4,1.002818e+22
35.6,1.013284e+22
35.8,1.012155e+22
36.0,1.019041e+22
36.2,1.009388e+22
36.4,1.021595e+22
36.6,1.006109e+22
36.8,9.976203e+21
37.0,9.896244e+21
37.2,9.935740e+21
37.4,1.000857e+22
37.6,9.978978e+21
37.8,1.001621e+22
38.0,1.009308e+22
38.2,1.019852e+22
38.4,1.019979e+22
38.6,1.035826e+22
38.8,1.048719e+22
39.0,1.070203e+22
39.2,1.086816e+22
39.4,1.100285e+22
39.6,1.114115e+22
39.8,1.114771e+22
40.0,1.109758e+22
40.4,1.104141e+22
40.6,1.093471e+22
40.8,1.079529e+22
41.0,1.078020e+22
41.6,1.047514e+22
41.8,1.037898e+22
42.0,1.026649e+22
42.2,1.021613e+22
42.4,1.017332e+22
42.6,1.017036e+22
42.8,1.019757e+22
43.0,1.034016e+22
43.2,1.048546e+22
43.4,1.045339e+22
43.6,1.074703e+22
43.8,1.069768e+22
44.0,1.079038e+22
44.2,1.089342e+22
44.4,1.087339e+22
44.6,1.096657e+22
44.8,1.097867e+22
45.0,1.102097e+22
45.2,1.096781e+22
45.4,1.096089e+22
45.6,1.093530e+22
45.8,1.095844e+22
46.0,1.088341e+22
46.2,1.084155e+22
46.4,1.084660e+22
46.6,1.076758e+22
46.8,1.079201e+22
47.0,1.067924e+22
47.2,1.069955e+22
47.4,1.063265e+22
47.6,1.056065e+22
47.8,1.065693e+22
48.0,1.059381e+22
48.2,1.052834e+22
48.4,1.042591e+22
48.6,1.041266e+22
48.8,1.036126e+22
49.0,1.032127e+22
49.2,1.015016e+22
49.4,1.000895e+22
49.6,1.002226e+22
49.8,9.842760e+21
50.0,9.690367e+21
50.2,9.692433e+21
50.4,9.699231e+21
50.6,9.829152e+21
50.8,9.853393e+21
51.0,9.920086e+21
51.2,9.930052e+21
51.4,9.845096e+21
51.6,1.004634e+22
51.8,1.005907e+22
52.0,1.006609e+22
52.4,1.011645e+22
52.6,1.030657e+22
52.8,1.018435e+22
53.0,1.019015e+22
53.2,1.009443e+22
53.4,9.922689e+21
53.6,9.738016e+21
53.8,9.578049e+21
54.0,9.349023e+21
54.2,9.299088e+21
54.4,9.158617e+21
54.6,9.067654e+21
54.8,8.956512e+21
55.0,8.823220e+21
55.2,8.812764e+21
55.4,8.714161e+21
55.6,8.625666e+21
55.8,8.647624e+21
56.0,8.631732e+21
56.2,8.652339e+21
56.4,8.640056e+21
56.6,8.571161e+21
56.8,8.677777e+21
57.0,8.586539e+21
57.2,8.542357e+21
57.4,8.621421e+21
57.6,8.477264e+21
57.8,8.394598e+21
58.0,8.350789e+21
58.2,8.316156e+21
58.4,8.347999e+21
58.6,8.286740e+21
58.8,8.273901e+21
59.0,8.244361e+21
59.2,8.229694e+21
59.4,8.190173e+21
59.6,8.222170e+21
59.8,8.204803e+21
60.0,8.196118e+21
60.2,8.108183e+21
60.4,7.986029e+21
60.6,7.928490e+21
60.8,7.897835e+21
61.0,7.685628e+21
61.2,7.781216e+21
61.4,7.767777e+21
61.6,7.665866e+21
61.8,7.795115e+21
62.0,7.732812e+21
62.2,7.769795e+21
62.4,7.928992e+21
62.6,7.983961e+21
62.8,8.103294e+21
63.0,8.162336e+21
63.2,8.136785e+21
63.4,8.306169e+21
63.6,8.293074e+21
63.8,8.225428e+21
64.0,8.192282e+21
64.4,8.101111e+21
64.6,7.992703e+21
64.8,7.960329e+21
65.0,7.767241e+21
65.2,7.692687e+21
65.4,7.675559e+21
65.6,7.637916e+21
65.8,7.604056e+21
66.0,7.565547e+21
66.2,7.439950e+21
66.4,7.385958e+21
66.6,7.383983e+21
66.8,7.419730e+21
67.0,7.364087e+21
67.2,7.379676e+21
67.4,7.456877e+21
67.6,7.447656e+21
67.8,7.517354e+21
68.0,7.494771e+21
68.2,7.535041e+21
68.4,7.542287e+21
68.6,7.539252e+21
68.8,7.557306e+21
69.0,7.547579e+21
69.2,7.454921e+21
69.4,7.458195e+21
69.6,7.385618e+21
69.8,7.407617e+21
70.0,7.347928e+21
70.2,7.399937e+21
70.4,7.237527e+21
70.6,7.230774e+21
70.8,7.159938e+21
71.0,7.149243e+21
71.2,7.090826e+21
71.4,7.118062e+21
71.6,7.107775e+21
71.8,6.989772e+21
72.0,6.968017e+21
72.2,6.932697e+21
72.4,6.844732e+21
72.6,6.793111e+21
72.8,6.745739e+21
73.0,6.666488e+21
73.2,6.634639e+21
73.4,6.538770e+21
73.6,6.523481e+21
73.8,6.441773e+21
74.0,6.444631e+21
74.2,6.468812e+21
74.4,6.445769e+21
74.6,6.531845e+21
74.8,6.608168e+21
75.0,6.586707e+21
75.2,6.594059e+21
75.4,6.683639e+21
75.6,6.679526e+21
75.8,6.745565e+21
76.0,6.717262e+21
76.4,6.818674e+21
76.6,6.754262e+21
76.8,6.813379e+21
77.0,6.799577e+21
77.2,6.771440e+21
77.4,6.777962e+21
77.6,6.725630e+21
77.8,6.591379e+21
78.0,6.457338e+21
78.2,6.428143e+21
78.4,6.323804e+21
78.6,6.230196e+21
78.8,6.142765e+21
79.0,6.139242e+21
79.2,6.148003e+21
79.4,6.056773e+21
79.6,6.039008e+21
79.8,5.952394e+21
80.0,6.053593e+21
80.2,5.973330e+21
80.4,5.978891e+21
80.6,6.011413e+21
80.8,6.056373e+21
81.0,6.042462e+21
81.2,6.037853e+21
81.4,6.014203e+21
81.6,6.064997e+21
81.8,6.022237e+21
82.0,5.995553e+21
82.2,5.957654e+21
82.4,6.000308e+21
82.6,5.982305e+21
82.8,5.876510e+21
83.0,5.874472e+21
83.2,5.879818e+21
83.4,5.931190e+21
83.6,5.840161e+21
83.8,5.811662e+21
84.0,5.828288e+21
84.2,5.823931e+21
84.4,5.774135e+21
84.6,5.759171e+21
84.8,5.720633e+21
85.0,5.756747e+21
85.2,5.712159e+21
85.4,5.714674e+21
85.6,5.729283e+21
85.8,5.720942e+21
86.0,5.744448e+21
86.2,5.845913e+21
86.4,5.862977e+21
86.6,5.882811e+21
86.8,5.827200e+21
87.0,5.903377e+21
87.2,5.900706e+21
87.4,5.748645e+21
87.6,5.801995e+21
87.8,5.793999e+21
88.0,5.760794e+21
88.4,5.701406e+21
88.6,5.684952e+21
88.8,5.632840e+21
89.0,5.601092e+21
89.2,5.489064e+21
89.4,5.455418e+21
89.6,5.443223e+21
89.8,5.475680e+21
90.0,5.467915e+21
90.2,5.400676e+21
90.4,5.387087e+21
90.6,5.415891e+21
90.8,5.386576e+21
91.0,5.415895e+21
91.2,5.413018e+21
91.4,5.391019e+21
91.6,5.408399e+21
91.8,5.399999e+21
92.0,5.424876e+21
92.2,5.444787e+21
92.4,5.395342e+21
92.6,5.368660e+21
92.8,5.349489e+21
93.0,5.327372e+21
93.2,5.274161e+21
93.4,5.292876e+21
93.6,5.251891e+21
93.8,5.225259e+21
94.0,5.189336e+21
94.2,5.171625e+21
94.4,5.122396e+21
94.6,5.176216e+21
94.8,5.143376e+21
95.0,5.108609e+21
95.2,5.082697e+21
95.4,5.047138e+21
95.6,4.992806e+21
95.8,5.002621e+21
96.0,4.974366e+21
96.2,4.942407e+21
96.4,4.931657e+21
96.6,4.877835e+21
96.8,4.843243e+21
97.0,4.774304e+21
97.2,4.711248e+21
97.4,4.676129e+21
97.6,4.635439e+21
97.8,4.550599e+21
98.0,4.508418e+21
98.2,4.398841e+21
98.4,4.348959e+21
98.6,4.386886e+21
98.8,4.314840e+21
99.0,4.298196e+21
99.2,4.226290e+21
99.4,4.214018e+21
99.6,4.242139e+21
99.8,4.186389e+21
100.0,4.186063e+21
100.4,4.141219e+21
100.6,4.105489e+21
100.8,4.072357e+21
101.0,4.101256e+21
101.2,4.080408e+21
101.4,4.013325e+21
101.6,4.007165e+21
101.8,4.023291e+21
102.0,4.018601e+21
102.2,3.968742e+21
102.4,3.901427e+21
102.6,3.859683e+21
102.8,3.828087e+21
103.0,3.755168e+21
103.2,3.737506e+21
103.4,3.687821e+21
103.6,3.616217e+21
103.8,3.577217e+21
104.0,3.585471e+21
104.2,3.601108e+21
104.4,3.628351e+21
104.6,3.579701e+21
104.8,3.589790e+21
105.0,3.559460e+21
105.2,3.549643e+21
105.4,3.514553e+21
105.6,3.501614e+21
105.8,3.514457e+21
106.0,3.484770e+21
106.2,3.469470e+21
106.4,3.478493e+21
106.6,3.395155e+21
106.8,3.404608e+21
107.0,3.404225e+21
