true_time,time,unsigned_flux,free energy,potential inversion line flux,area
2012.03.25_09:12:00_TAI,57.8,1.837851e+22,2.662402e+23,4.248,539.087402
2012.03.25_09:24:00_TAI,58.0,1.824965e+22,2.652862e+23,4.284,533.879028
2012.03.25_10:00:00_TAI,58.6,1.761845e+22,2.630082e+23,4.325,535.945496
2012.03.25_10:12:00_TAI,58.8,1.739923e+22,2.620274e+23,4.371,538.065063
2012.03.25_10:48:00_TAI,59.4,1.678950e+22,2.600386e+23,4.383,545.956055
2012.03.25_11:00:00_TAI,59.6,1.669237e+22,2.595407e+23,4.386,545.191406
2012.03.25_11:12:00_TAI,59.8,1.656311e+22,2.588588e+23,4.279,546.122864
2012.03.25_11:24:00_TAI,60.0,1.678684e+22,2.621556e+23,4.286,555.214111
2012.03.25_11:36:00_TAI,60.2,1.655705e+22,2.624698e+23,4.311,557.560730
2012.03.25_11:48:00_TAI,60.4,1.657997e+22,2.657814e+23,4.345,552.980713
2012.03.25_12:00:00_TAI,60.6,1.669848e+22,2.638840e+23,4.345,555.253845
2012.03.25_12:12:00_TAI,60.8,1.682827e+22,2.667131e+23,4.338,553.188293
2012.03.25_12:24:00_TAI,61.0,1.681819e+22,2.633966e+23,4.353,561.587463
2012.03.25_12:36:00_TAI,61.2,1.673671e+22,2.636149e+23,4.369,559.952332
2012.03.25_12:48:00_TAI,61.4,1.678363e+22,2.664986e+23,4.343,560.782227
2012.03.25_13:00:00_TAI,61.6,1.684628e+22,2.683423e+23,4.343,567.908691
2012.03.25_13:12:00_TAI,61.8,1.680253e+22,2.692486e+23,4.299,560.619690
2012.03.25_13:24:00_TAI,62.0,1.670882e+22,2.690398e+23,4.307,563.259277
2012.03.25_13:36:00_TAI,62.2,1.657797e+22,2.667561e+23,4.307,561.849670
2012.03.25_13:48:00_TAI,62.4,1.650294e+22,2.638680e+23,4.288,554.036438
2012.03.25_14:00:00_TAI,62.6,1.651576e+22,2.648057e+23,4.274,556.381592
2012.03.25_14:12:00_TAI,62.8,1.650717e+22,2.657774e+23,4.274,560.360291
2012.03.25_14:24:00_TAI,63.0,1.647788e+22,2.670055e+23,4.243,559.555115
2012.03.25_14:36:00_TAI,63.2,1.651251e+22,2.691543e+23,4.249,560.689148
2012.03.25_14:48:00_TAI,63.4,1.661053e+22,2.691506e+23,4.247,555.868591
2012.03.25_15:00:00_TAI,63.6,1.671187e+22,2.736191e+23,4.258,553.474060
2012.03.25_15:12:00_TAI,63.8,1.668128e+22,2.751246e+23,4.222,554.430176
2012.03.25_15:24:00_TAI,64.0,1.687329e+22,2.800784e+23,4.245,547.599304
2012.03.25_15:36:00_TAI,64.2,1.701920e+22,2.824547e+23,4.265,546.666382
2012.03.25_15:48:00_TAI,64.4,1.722766e+22,2.848543e+23,4.254,544.902649
2012.03.25_16:00:00_TAI,64.6,1.757515e+22,2.846824e+23,4.292,552.597534
2012.03.25_16:12:00_TAI,64.8,1.769008e+22,2.900716e+23,4.291,550.836426
2012.03.25_16:24:00_TAI,65.0,1.794875e+22,2.870739e+23,4.300,540.376770
2012.03.25_16:36:00_TAI,65.2,1.791678e+22,2.857279e+23,4.319,534.615051
2012.03.25_16:48:00_TAI,65.4,1.779163e+22,2.859149e+23,4.292,538.102844
2012.03.25_17:00:00_TAI,65.6,1.778419e+22,2.870582e+23,4.259,548.911194
2012.03.25_17:12:00_TAI,65.8,1.761520e+22,2.849545e+23,4.240,555.259155
2012.03.25_17:24:00_TAI,66.0,1.758748e+22,2.836779e+23,4.221,553.766602
2012.03.25_17:36:00_TAI,66.2,1.736637e+22,2.797141e+23,4.225,548.538818
2012.03.25_17:48:00_TAI,66.4,1.730083e+22,2.776242e+23,4.288,546.411499
2012.03.25_18:24:00_TAI,67.0,1.676537e+22,2.798705e+23,4.247,542.021545
2012.03.25_18:36:00_TAI,67.2,1.661973e+22,2.781030e+23,4.329,545.062378
2012.03.25_18:48:00_TAI,67.4,1.646520e+22,2.796703e+23,4.313,538.838684
2012.03.25_19:00:00_TAI,67.6,1.646317e+22,2.769171e+23,4.306,536.846252
2012.03.25_19:12:00_TAI,67.8,1.652699e+22,2.808070e+23,4.308,540.335632
2012.03.25_19:24:00_TAI,68.0,1.642920e+22,2.794540e+23,4.304,545.763184
2012.03.25_19:36:00_TAI,68.2,1.636490e+22,2.854366e+23,4.320,539.408691
2012.03.25_19:48:00_TAI,68.4,1.659086e+22,2.835699e+23,4.312,539.953613
2012.03.25_20:00:00_TAI,68.6,1.682016e+22,2.860935e+23,4.309,540.517761
2012.03.25_20:12:00_TAI,68.8,1.699808e+22,2.885767e+23,4.332,535.224670
2012.03.25_20:24:00_TAI,69.0,1.722998e+22,2.903735e+23,4.267,536.579529
2012.03.25_20:36:00_TAI,69.2,1.744072e+22,2.937636e+23,4.235,528.170593
2012.03.25_20:48:00_TAI,69.4,1.763899e+22,2.929974e+23,4.253,531.890442
2012.03.25_21:00:00_TAI,69.6,1.743193e+22,2.987917e+23,4.283,532.931213
2012.03.25_21:12:00_TAI,69.8,1.754742e+22,2.949235e+23,4.279,524.308533
2012.03.25_21:24:00_TAI,70.0,1.758529e+22,2.936341e+23,4.261,525.829956
2012.03.25_21:36:00_TAI,70.2,1.749772e+22,2.948624e+23,4.284,530.948730
2012.03.25_21:48:00_TAI,70.4,1.738803e+22,2.910638e+23,4.298,520.908691
2012.03.25_22:00:00_TAI,70.6,1.741289e+22,2.913711e+23,4.276,522.204163
2012.03.25_22:12:00_TAI,70.8,1.711006e+22,2.894358e+23,4.239,517.339050
2012.03.25_22:24:00_TAI,71.0,1.714817e+22,2.892470e+23,4.203,513.697571
2012.03.25_22:36:00_TAI,71.2,1.731199e+22,2.848876e+23,4.200,513.748718
2012.03.25_22:48:00_TAI,71.4,1.697018e+22,2.882630e+23,4.232,514.495056
2012.03.25_23:00:00_TAI,71.6,1.683068e+22,2.859627e+23,4.244,515.067322
2012.03.25_23:12:00_TAI,71.8,1.686436e+22,2.796167e+23,4.198,516.976196
2012.03.25_23:24:00_TAI,72.0,1.689457e+22,2.811571e+23,4.203,512.130554
2012.03.25_23:36:00_TAI,72.2,1.675685e+22,2.803632e+23,4.188,510.080688
2012.03.25_23:48:00_TAI,72.4,1.655415e+22,2.794708e+23,4.245,504.833130
2012.03.26_00:00:00_TAI,72.6,1.643116e+22,2.830668e+23,4.261,510.439484
2012.03.26_01:24:00_TAI,74.0,1.657514e+22,2.811831e+23,4.269,511.267426
2012.03.26_01:36:00_TAI,74.2,1.700110e+22,2.891788e+23,4.279,520.126587
2012.03.26_01:48:00_TAI,74.4,1.717638e+22,2.902707e+23,4.269,525.238281
2012.03.26_02:00:00_TAI,74.6,1.730708e+22,2.846005e+23,4.249,520.454102
2012.03.26_02:12:00_TAI,74.8,1.748762e+22,2.893116e+23,4.251,520.118530
2012.03.26_02:24:00_TAI,75.0,1.743499e+22,2.882369e+23,4.219,518.010864
2012.03.26_02:36:00_TAI,75.2,1.767815e+22,2.858766e+23,4.253,514.007629
2012.03.26_02:48:00_TAI,75.4,1.774878e+22,2.854371e+23,4.239,519.273193
2012.03.26_03:00:00_TAI,75.6,1.815968e+22,2.935035e+23,4.239,528.905273
2012.03.26_03:12:00_TAI,75.8,1.821865e+22,2.891475e+23,4.262,524.858459
2012.03.26_03:24:00_TAI,76.0,1.822798e+22,2.899593e+23,4.284,525.009888
2012.03.26_03:36:00_TAI,76.2,1.804322e+22,2.900381e+23,4.346,527.742249
2012.03.26_03:48:00_TAI,76.4,1.803729e+22,2.914669e+23,4.342,532.117676
2012.03.26_04:00:00_TAI,76.6,1.807375e+22,2.940009e+23,4.308,526.903809
2012.03.26_04:12:00_TAI,76.8,1.804920e+22,2.932763e+23,4.227,524.762390
2012.03.26_04:24:00_TAI,77.0,1.800795e+22,2.916389e+23,4.253,529.033875
2012.03.26_04:36:00_TAI,77.2,1.806714e+22,2.913452e+23,4.203,527.589661
2012.03.26_04:48:00_TAI,77.4,1.803144e+22,2.928378e+23,4.190,533.825500
2012.03.26_05:00:00_TAI,77.6,1.776920e+22,2.945683e+23,4.208,532.563843
2012.03.26_05:12:00_TAI,77.8,1.741571e+22,2.910856e+23,4.123,526.399475
2012.03.26_05:24:00_TAI,78.0,1.720660e+22,2.908696e+23,4.110,522.712524
2012.03.26_05:36:00_TAI,78.2,1.693031e+22,2.906841e+23,4.042,525.837585
2012.03.26_05:48:00_TAI,78.4,1.661556e+22,2.865097e+23,4.133,530.630127
2012.03.26_08:36:00_TAI,81.2,1.720705e+22,2.854393e+23,4.232,547.927612
2012.03.26_10:00:00_TAI,82.6,1.723526e+22,2.879902e+23,4.304,571.633667
2012.03.26_10:12:00_TAI,82.8,1.717750e+22,2.867814e+23,4.340,582.116882
2012.03.26_10:24:00_TAI,83.0,1.717187e+22,2.854601e+23,4.315,584.990906
2012.03.26_10:36:00_TAI,83.2,1.701405e+22,2.838152e+23,4.354,586.430237
2012.03.26_10:48:00_TAI,83.4,1.686326e+22,2.829562e+23,4.313,587.737488
2012.03.26_11:00:00_TAI,83.6,1.673234e+22,2.819044e+23,4.298,587.492126
2012.03.26_11:12:00_TAI,83.8,1.663013e+22,2.786538e+23,4.260,586.711731
2012.03.26_11:24:00_TAI,84.0,1.654131e+22,2.785461e+23,4.180,587.589050
2012.03.26_11:36:00_TAI,84.2,1.649419e+22,2.771007e+23,4.304,584.399719
2012.03.26_11:48:00_TAI,84.4,1.635287e+22,2.752224e+23,4.306,583.676453
2012.03.26_12:00:00_TAI,84.6,1.628570e+22,2.761299e+23,4.305,576.053528
2012.03.26_12:12:00_TAI,84.8,1.620754e+22,2.756530e+23,4.241,579.660522
2012.03.26_12:24:00_TAI,85.0,1.614118e+22,2.782383e+23,4.217,580.759644
2012.03.26_12:36:00_TAI,85.2,1.614723e+22,2.787575e+23,4.221,585.005188
2012.03.26_12:48:00_TAI,85.4,1.617546e+22,2.769804e+23,4.211,579.734680
2012.03.26_13:00:00_TAI,85.6,1.606815e+22,2.745432e+23,4.207,575.322815
2012.03.26_13:12:00_TAI,85.8,1.607770e+22,2.740634e+23,4.169,580.581543
2012.03.26_13:24:00_TAI,86.0,1.590601e+22,2.738247e+23,4.156,577.609070
2012.03.26_13:36:00_TAI,86.2,1.599086e+22,2.730817e+23,4.173,576.389709
2012.03.26_13:48:00_TAI,86.4,1.600146e+22,2.724989e+23,4.191,579.080933
2012.03.26_14:00:00_TAI,86.6,1.614154e+22,2.733787e+23,4.144,580.881653
2012.03.26_14:12:00_TAI,86.8,1.604613e+22,2.731503e+23,4.149,575.912659
2012.03.26_14:24:00_TAI,87.0,1.615115e+22,2.760379e+23,4.162,574.239441
2012.03.26_14:36:00_TAI,87.2,1.624404e+22,2.755724e+23,4.116,569.158752
2012.03.26_14:48:00_TAI,87.4,1.636656e+22,2.761165e+23,4.247,578.695801
2012.03.26_15:00:00_TAI,87.6,1.646910e+22,2.775994e+23,4.219,582.001648
2012.03.26_15:12:00_TAI,87.8,1.669283e+22,2.793983e+23,4.206,580.874329
2012.03.26_15:24:00_TAI,88.0,1.713455e+22,2.804688e+23,4.188,581.811646
2012.03.26_15:36:00_TAI,88.2,1.743759e+22,2.845979e+23,4.213,591.679871
2012.03.26_15:48:00_TAI,88.4,1.760896e+22,2.858036e+23,4.248,601.152283
2012.03.26_16:00:00_TAI,88.6,1.788375e+22,2.859672e+23,4.241,599.293152
2012.03.26_16:12:00_TAI,88.8,1.811798e+22,2.869123e+23,4.103,593.905396
2012.03.26_16:24:00_TAI,89.0,1.821713e+22,2.867065e+23,4.147,596.687866
2012.03.26_16:36:00_TAI,89.2,1.815496e+22,2.879776e+23,4.134,593.992676
2012.03.26_16:48:00_TAI,89.4,1.817500e+22,2.876534e+23,4.162,593.706360
2012.03.26_17:00:00_TAI,89.6,1.802547e+22,2.863660e+23,4.141,596.424072
2012.03.26_17:12:00_TAI,89.8,1.797032e+22,2.857174e+23,4.181,598.682007
2012.03.26_17:24:00_TAI,90.0,1.774497e+22,2.842025e+23,4.146,598.955566
2012.03.26_17:36:00_TAI,90.2,1.759246e+22,2.846297e+23,4.267,609.912170
2012.03.26_17:48:00_TAI,90.4,1.740274e+22,2.848232e+23,4.277,604.017395
2012.03.26_18:24:00_TAI,91.0,1.681176e+22,2.835399e+23,4.332,604.577881
2012.03.26_18:36:00_TAI,91.2,1.665373e+22,2.828666e+23,4.262,609.265625
2012.03.26_18:48:00_TAI,91.4,1.663866e+22,2.826319e+23,4.228,609.224609
2012.03.26_19:00:00_TAI,91.6,1.665304e+22,2.851330e+23,4.180,609.012451
2012.03.26_19:12:00_TAI,91.8,1.662643e+22,2.857377e+23,4.099,622.815918
2012.03.26_19:24:00_TAI,92.0,1.675396e+22,2.862374e+23,4.173,617.802307
2012.03.26_19:36:00_TAI,92.2,1.701371e+22,2.864607e+23,4.197,615.276428
2012.03.26_19:48:00_TAI,92.4,1.734224e+22,2.876709e+23,4.214,611.731628
2012.03.26_20:00:00_TAI,92.6,1.770760e+22,2.903418e+23,4.147,609.000916
2012.03.26_20:12:00_TAI,92.8,1.795535e+22,2.921549e+23,4.143,608.071655
2012.03.26_20:24:00_TAI,93.0,1.803506e+22,2.940362e+23,4.092,610.817505
2012.03.26_20:36:00_TAI,93.2,1.822451e+22,2.937035e+23,4.142,614.661194
2012.03.26_20:48:00_TAI,93.4,1.823588e+22,2.911122e+23,4.163,615.685852
2012.03.26_21:00:00_TAI,93.6,1.837117e+22,2.906550e+23,4.171,614.600586
2012.03.26_21:12:00_TAI,93.8,1.819688e+22,2.908421e+23,4.151,609.110657
2012.03.26_21:24:00_TAI,94.0,1.827477e+22,2.916075e+23,4.013,613.065491
2012.03.26_21:36:00_TAI,94.2,1.810944e+22,2.901195e+23,3.996,612.205933
2012.03.26_21:48:00_TAI,94.4,1.802212e+22,2.893513e+23,3.986,610.447693
2012.03.26_22:00:00_TAI,94.6,1.799322e+22,2.883729e+23,3.935,607.560730
2012.03.26_22:12:00_TAI,94.8,1.787971e+22,2.851513e+23,3.945,607.249207
2012.03.26_22:24:00_TAI,95.0,1.772651e+22,2.856472e+23,3.977,598.619934
2012.03.26_22:36:00_TAI,95.2,1.762537e+22,2.871918e+23,3.920,598.743469
2012.03.26_22:48:00_TAI,95.4,1.758240e+22,2.897010e+23,3.894,598.317505
2012.03.26_23:00:00_TAI,95.6,1.760039e+22,2.908419e+23,3.882,603.410461
2012.03.26_23:12:00_TAI,95.8,1.746596e+22,2.904185e+23,3.898,603.343750
2012.03.26_23:24:00_TAI,96.0,1.721835e+22,2.907426e+23,3.988,595.262451
2012.03.26_23:36:00_TAI,96.2,1.727182e+22,2.900482e+23,3.863,597.111755
2012.03.26_23:48:00_TAI,96.4,1.712941e+22,2.914477e+23,3.830,590.399536
2012.03.27_00:00:00_TAI,96.6,1.704931e+22,2.904543e+23,3.849,587.110718
2012.03.27_00:12:00_TAI,96.8,1.699317e+22,2.903958e+23,3.920,585.530640
2012.03.27_01:24:00_TAI,98.0,1.676880e+22,2.923319e+23,3.788,576.118530
2012.03.27_01:36:00_TAI,98.2,1.679972e+22,2.944539e+23,3.734,588.283630
2012.03.27_01:48:00_TAI,98.4,1.683109e+22,2.943573e+23,3.711,591.231140
2012.03.27_02:00:00_TAI,98.6,1.684330e+22,2.949469e+23,3.896,586.950073
2012.03.27_02:12:00_TAI,98.8,1.677762e+22,2.950850e+23,3.920,588.806702
2012.03.27_02:24:00_TAI,99.0,1.688011e+22,2.958662e+23,3.936,593.716125
2012.03.27_02:36:00_TAI,99.2,1.695338e+22,2.981421e+23,3.919,590.911621
2012.03.27_02:48:00_TAI,99.4,1.717248e+22,2.980201e+23,3.963,591.431702
2012.03.27_03:00:00_TAI,99.6,1.717352e+22,2.980350e+23,3.935,597.638977
2012.03.27_03:12:00_TAI,99.8,1.727392e+22,2.962814e+23,3.992,593.101562
2012.03.27_03:24:00_TAI,100.0,1.730855e+22,2.969186e+23,3.961,595.413879
2012.03.27_03:36:00_TAI,100.2,1.737990e+22,2.977343e+23,4.036,592.679138
2012.03.27_03:48:00_TAI,100.4,1.744620e+22,2.955311e+23,3.981,595.282043
2012.03.27_04:00:00_TAI,100.6,1.744196e+22,2.947992e+23,4.011,593.139893
2012.03.27_04:12:00_TAI,100.8,1.742328e+22,2.945408e+23,4.022,595.117432
2012.03.27_04:24:00_TAI,101.0,1.743082e+22,2.969968e+23,3.940,596.957520
2012.03.27_04:36:00_TAI,101.2,1.741695e+22,2.964792e+23,3.980,599.832703
2012.03.27_04:48:00_TAI,101.4,1.742502e+22,2.976973e+23,3.946,607.153442
2012.03.27_05:00:00_TAI,101.6,1.761633e+22,3.003790e+23,3.973,605.180298
2012.03.27_05:12:00_TAI,101.8,1.748765e+22,2.999865e+23,3.898,607.996460
2012.03.27_05:24:00_TAI,102.0,1.737509e+22,3.004507e+23,3.862,614.273621
2012.03.27_05:36:00_TAI,102.2,1.716504e+22,3.002152e+23,3.912,611.216736
2012.03.27_05:48:00_TAI,102.4,1.703200e+22,2.980583e+23,3.883,613.276306
