true_time,time,unsigned_flux
2013.07.06_17:48:00_TAI,0.0,2.810170e+20
2013.07.06_18:24:00_TAI,0.6,4.185456e+20
2013.07.06_19:00:00_TAI,1.2,4.482230e+20
2013.07.06_19:12:00_TAI,1.4,4.832294e+20
2013.07.06_19:24:00_TAI,1.6,5.197800e+20
2013.07.06_19:36:00_TAI,1.8,5.592736e+20
2013.07.06_19:48:00_TAI,2.0,6.754384e+20
2013.07.06_20:00:00_TAI,2.2,8.375477e+20
2013.07.06_20:12:00_TAI,2.4,8.985054e+20
2013.07.06_20:24:00_TAI,2.6,9.426790e+20
2013.07.06_20:36:00_TAI,2.8,9.597293e+20
2013.07.06_20:48:00_TAI,3.0,1.021605e+21
2013.07.06_21:00:00_TAI,3.2,1.094710e+21
2013.07.06_21:12:00_TAI,3.4,1.152689e+21
2013.07.06_21:24:00_TAI,3.6,1.206273e+21
2013.07.06_21:36:00_TAI,3.8,1.209633e+21
2013.07.06_21:48:00_TAI,4.0,1.212445e+21
2013.07.06_22:00:00_TAI,4.2,1.228886e+21
2013.07.06_22:12:00_TAI,4.4,1.255682e+21
2013.07.06_22:24:00_TAI,4.6,1.309926e+21
2013.07.06_22:36:00_TAI,4.8,1.380062e+21
2013.07.06_22:48:00_TAI,5.0,1.512290e+21
2013.07.06_23:00:00_TAI,5.2,1.602828e+21
2013.07.06_23:12:00_TAI,5.4,1.637831e+21
2013.07.06_23:24:00_TAI,5.6,2.218817e+21
2013.07.06_23:48:00_TAI,6.0,1.797646e+21
2013.07.07_00:00:00_TAI,6.2,1.800862e+21
2013.07.07_00:12:00_TAI,6.4,1.852231e+21
2013.07.07_00:24:00_TAI,6.6,1.866009e+21
2013.07.07_00:36:00_TAI,6.8,1.913920e+21
2013.07.07_00:48:00_TAI,7.0,1.953469e+21
2013.07.07_01:00:00_TAI,7.2,2.028099e+21
2013.07.07_01:12:00_TAI,7.4,2.017959e+21
2013.07.07_01:24:00_TAI,7.6,2.095715e+21
2013.07.07_01:36:00_TAI,7.8,2.066636e+21
2013.07.07_01:48:00_TAI,8.0,2.116274e+21
2013.07.07_02:00:00_TAI,8.2,2.164404e+21
2013.07.07_02:12:00_TAI,8.4,2.137128e+21
2013.07.07_02:24:00_TAI,8.6,2.169548e+21
2013.07.07_02:36:00_TAI,8.8,2.219648e+21
2013.07.07_02:48:00_TAI,9.0,2.239449e+21
2013.07.07_03:00:00_TAI,9.2,2.254965e+21
2013.07.07_03:12:00_TAI,9.4,2.276499e+21
2013.07.07_03:24:00_TAI,9.6,2.338211e+21
2013.07.07_03:36:00_TAI,9.8,2.309660e+21
2013.07.07_03:48:00_TAI,10.0,2.222803e+21
2013.07.07_04:00:00_TAI,10.2,2.206664e+21
2013.07.07_04:12:00_TAI,10.4,2.139721e+21
2013.07.07_04:24:00_TAI,10.6,2.174270e+21
2013.07.07_04:36:00_TAI,10.8,2.109501e+21
2013.07.07_04:48:00_TAI,11.0,2.113615e+21
2013.07.07_05:00:00_TAI,11.2,2.160760e+21
2013.07.07_05:12:00_TAI,11.4,2.078091e+21
2013.07.07_05:24:00_TAI,11.6,2.075197e+21
2013.07.07_05:36:00_TAI,11.8,2.073301e+21
2013.07.07_05:48:00_TAI,12.0,2.059465e+21
2013.07.07_06:24:00_TAI,12.6,2.061811e+21
2013.07.07_06:36:00_TAI,12.8,2.050509e+21
2013.07.07_06:48:00_TAI,13.0,2.062882e+21
2013.07.07_07:00:00_TAI,13.2,2.076168e+21
2013.07.07_07:12:00_TAI,13.4,2.063571e+21
2013.07.07_07:24:00_TAI,13.6,2.053599e+21
2013.07.07_07:36:00_TAI,13.8,2.110121e+21
2013.07.07_07:48:00_TAI,14.0,2.110027e+21
2013.07.07_08:00:00_TAI,14.2,2.105628e+21
2013.07.07_08:12:00_TAI,14.4,2.116945e+21
2013.07.07_08:24:00_TAI,14.6,2.118532e+21
2013.07.07_08:36:00_TAI,14.8,2.185150e+21
2013.07.07_08:48:00_TAI,15.0,2.204289e+21
2013.07.07_09:00:00_TAI,15.2,2.187052e+21
2013.07.07_09:12:00_TAI,15.4,2.210588e+21
2013.07.07_09:24:00_TAI,15.6,2.189475e+21
2013.07.07_09:36:00_TAI,15.8,2.131317e+21
2013.07.07_09:48:00_TAI,16.0,2.089280e+21
