true_time,time,unsigned_flux
2012.12.29_12:12:00_TAI,0.0,6.647645e+19
2012.12.29_12:24:00_TAI,0.2,7.713492e+19
2012.12.29_12:36:00_TAI,0.4,8.990010e+19
2012.12.29_12:48:00_TAI,0.6,1.238045e+20
2012.12.29_13:00:00_TAI,0.8,4.420877e+20
2012.12.29_13:12:00_TAI,1.0,4.648206e+20
2012.12.29_13:24:00_TAI,1.2,5.937169e+20
2012.12.29_13:36:00_TAI,1.4,7.598519e+20
2012.12.29_13:48:00_TAI,1.6,8.182306e+20
2012.12.29_14:00:00_TAI,1.8,8.289418e+20
2012.12.29_14:12:00_TAI,2.0,8.643743e+20
2012.12.29_14:24:00_TAI,2.2,8.758592e+20
2012.12.29_14:36:00_TAI,2.4,9.203758e+20
2012.12.29_14:48:00_TAI,2.6,9.664019e+20
2012.12.29_15:00:00_TAI,2.8,1.012572e+21
2012.12.29_15:12:00_TAI,3.0,1.049019e+21
2012.12.29_15:24:00_TAI,3.2,1.103848e+21
2012.12.29_15:36:00_TAI,3.4,1.204870e+21
2012.12.29_15:48:00_TAI,3.6,1.210589e+21
2012.12.29_16:00:00_TAI,3.8,1.247644e+21
2012.12.29_16:12:00_TAI,4.0,1.240430e+21
2012.12.29_16:24:00_TAI,4.2,1.294234e+21
2012.12.29_16:36:00_TAI,4.4,1.272488e+21
2012.12.29_16:48:00_TAI,4.6,1.289385e+21
2012.12.29_17:00:00_TAI,4.8,1.233428e+21
2012.12.29_17:12:00_TAI,5.0,1.249444e+21
2012.12.29_17:24:00_TAI,5.2,1.222769e+21
2012.12.29_17:36:00_TAI,5.4,1.233183e+21
2012.12.29_17:48:00_TAI,5.6,1.206272e+21
2012.12.29_18:24:00_TAI,6.2,1.157788e+21
2012.12.29_18:36:00_TAI,6.4,1.163160e+21
2012.12.29_18:48:00_TAI,6.6,1.156132e+21
2012.12.29_19:00:00_TAI,6.8,1.139361e+21
2012.12.29_19:12:00_TAI,7.0,1.137674e+21
2012.12.29_19:24:00_TAI,7.2,1.200652e+21
2012.12.29_19:36:00_TAI,7.4,1.209660e+21
2012.12.29_19:48:00_TAI,7.6,1.203531e+21
2012.12.29_20:00:00_TAI,7.8,1.207476e+21
2012.12.29_20:12:00_TAI,8.0,1.239035e+21
2012.12.29_20:24:00_TAI,8.2,1.280436e+21
2012.12.29_20:36:00_TAI,8.4,1.335979e+21
2012.12.29_20:48:00_TAI,8.6,1.340699e+21
2012.12.29_21:00:00_TAI,8.8,1.341906e+21
2012.12.29_21:12:00_TAI,9.0,1.398953e+21
2012.12.29_21:24:00_TAI,9.2,1.423965e+21
2012.12.29_21:36:00_TAI,9.4,1.511485e+21
2012.12.29_21:48:00_TAI,9.6,1.548225e+21
2012.12.29_22:00:00_TAI,9.8,1.660509e+21
2012.12.29_22:12:00_TAI,10.0,1.734056e+21
2012.12.29_22:24:00_TAI,10.2,1.760965e+21
2012.12.29_22:36:00_TAI,10.4,1.850148e+21
2012.12.29_22:48:00_TAI,10.6,1.942589e+21
2012.12.29_23:00:00_TAI,10.8,1.902555e+21
2012.12.29_23:12:00_TAI,11.0,1.904444e+21
2012.12.29_23:24:00_TAI,11.2,1.928891e+21
2012.12.29_23:36:00_TAI,11.4,1.968136e+21
2012.12.29_23:48:00_TAI,11.6,1.994477e+21
2012.12.30_00:00:00_TAI,11.8,1.989644e+21
2012.12.30_00:12:00_TAI,12.0,2.002178e+21
2012.12.30_00:24:00_TAI,12.2,2.027184e+21
2012.12.30_00:36:00_TAI,12.4,2.010043e+21
2012.12.30_00:48:00_TAI,12.6,2.087357e+21
2012.12.30_01:00:00_TAI,12.8,2.165031e+21
2012.12.30_01:12:00_TAI,13.0,2.130229e+21
2012.12.30_01:24:00_TAI,13.2,2.159510e+21
2012.12.30_01:36:00_TAI,13.4,2.195551e+21
2012.12.30_01:48:00_TAI,13.6,2.199232e+21
2012.12.30_02:00:00_TAI,13.8,2.228887e+21
2012.12.30_02:12:00_TAI,14.0,2.264968e+21
2012.12.30_02:24:00_TAI,14.2,2.256981e+21
2012.12.30_02:36:00_TAI,14.4,2.256948e+21
2012.12.30_02:48:00_TAI,14.6,2.247323e+21
2012.12.30_03:00:00_TAI,14.8,2.228916e+21
2012.12.30_03:12:00_TAI,15.0,2.240668e+21
2012.12.30_03:24:00_TAI,15.2,2.271723e+21
2012.12.30_03:36:00_TAI,15.4,2.262273e+21
