true_time,time,unsigned_flux,free energy,potential inversion line flux,area
2013.01.09_23:24:00_TAI,52.6,5.748817e+22,1.303490e+24,4.955,1765.803223
2013.01.09_23:36:00_TAI,52.8,5.754291e+22,1.309067e+24,4.960,1769.256104
2013.01.09_23:48:00_TAI,53.0,5.817503e+22,1.308119e+24,4.962,1771.727905
2013.01.10_00:00:00_TAI,53.2,5.840518e+22,1.309546e+24,4.945,1771.067993
2013.01.10_00:12:00_TAI,53.4,5.815749e+22,1.323381e+24,4.978,1766.814697
2013.01.10_00:24:00_TAI,53.6,5.825613e+22,1.324506e+24,5.009,1779.092041
2013.01.10_00:36:00_TAI,53.8,5.873659e+22,1.318411e+24,5.018,1772.910034
2013.01.10_00:48:00_TAI,54.0,5.858315e+22,1.328535e+24,5.023,1766.073120
2013.01.10_01:00:00_TAI,54.2,5.894649e+22,1.327888e+24,5.019,1769.768799
2013.01.10_01:12:00_TAI,54.4,5.897758e+22,1.311700e+24,5.030,1764.831177
2013.01.10_01:24:00_TAI,54.6,5.856404e+22,1.324046e+24,4.981,1770.796509
2013.01.10_01:36:00_TAI,54.8,5.902887e+22,1.314936e+24,5.008,1783.492188
2013.01.10_01:48:00_TAI,55.0,5.913857e+22,1.317627e+24,5.010,1786.544312
2013.01.10_02:00:00_TAI,55.2,5.922651e+22,1.316828e+24,4.971,1772.508789
2013.01.10_02:12:00_TAI,55.4,5.929092e+22,1.306906e+24,4.988,1766.349609
2013.01.10_02:24:00_TAI,55.6,5.889013e+22,1.318147e+24,5.038,1753.592651
2013.01.10_02:36:00_TAI,55.8,5.938142e+22,1.309771e+24,5.007,1766.500610
2013.01.10_02:48:00_TAI,56.0,5.941880e+22,1.309446e+24,5.000,1761.104614
2013.01.10_03:00:00_TAI,56.2,5.943968e+22,1.309411e+24,5.036,1751.400269
2013.01.10_03:12:00_TAI,56.4,5.908602e+22,1.313712e+24,5.028,1753.929443
2013.01.10_03:24:00_TAI,56.6,5.903340e+22,1.309934e+24,5.047,1749.270630
2013.01.10_03:36:00_TAI,56.8,5.858360e+22,1.320478e+24,5.042,1748.604858
2013.01.10_03:48:00_TAI,57.0,5.838279e+22,1.310716e+24,5.020,1749.534790
2013.01.10_04:00:00_TAI,57.2,5.831757e+22,1.309555e+24,5.013,1755.533936
2013.01.10_04:12:00_TAI,57.4,5.845121e+22,1.302416e+24,5.038,1763.159790
2013.01.10_04:24:00_TAI,57.6,5.795876e+22,1.305701e+24,5.062,1760.548340
2013.01.10_04:36:00_TAI,57.8,5.780135e+22,1.292020e+24,5.058,1763.275757
2013.01.10_04:48:00_TAI,58.0,5.726175e+22,1.288486e+24,5.038,1762.099731
2013.01.10_05:00:00_TAI,58.2,5.687333e+22,1.288301e+24,5.024,1750.842041
2013.01.10_05:12:00_TAI,58.4,5.653848e+22,1.291018e+24,5.061,1758.425537
2013.01.10_05:24:00_TAI,58.6,5.620361e+22,1.278602e+24,5.055,1758.138794
2013.01.10_05:36:00_TAI,58.8,5.584463e+22,1.271514e+24,5.057,1761.126465
2013.01.10_05:48:00_TAI,59.0,5.579020e+22,1.270592e+24,5.031,1766.365234
2013.01.10_06:24:00_TAI,59.6,5.559806e+22,1.261340e+24,5.051,1752.348511
2013.01.10_06:36:00_TAI,59.8,5.567984e+22,1.259195e+24,5.043,1754.153687
2013.01.10_06:48:00_TAI,60.0,5.564907e+22,1.257969e+24,5.064,1761.186646
2013.01.10_07:00:00_TAI,60.2,5.545044e+22,1.272080e+24,5.081,1757.214600
2013.01.10_07:12:00_TAI,60.4,5.582871e+22,1.258817e+24,5.070,1757.910156
2013.01.10_07:24:00_TAI,60.6,5.608778e+22,1.257594e+24,5.058,1763.375244
2013.01.10_07:36:00_TAI,60.8,5.641787e+22,1.262523e+24,5.063,1748.515137
2013.01.10_07:48:00_TAI,61.0,5.641741e+22,1.260516e+24,5.044,1750.564209
2013.01.10_08:00:00_TAI,61.2,5.683304e+22,1.264990e+24,5.044,1737.997681
2013.01.10_08:12:00_TAI,61.4,5.703692e+22,1.265509e+24,5.043,1740.747314
2013.01.10_08:24:00_TAI,61.6,5.722526e+22,1.257420e+24,5.064,1733.899536
2013.01.10_08:36:00_TAI,61.8,5.741225e+22,1.263239e+24,5.089,1730.601318
2013.01.10_08:48:00_TAI,62.0,5.764849e+22,1.261365e+24,5.064,1737.031006
2013.01.10_09:00:00_TAI,62.2,5.751083e+22,1.264360e+24,5.066,1734.478882
2013.01.10_09:12:00_TAI,62.4,5.783884e+22,1.268189e+24,5.070,1737.654785
2013.01.10_09:24:00_TAI,62.6,5.793167e+22,1.268123e+24,5.098,1732.359375
2013.01.10_09:36:00_TAI,62.8,5.774711e+22,1.271111e+24,5.078,1738.888184
2013.01.10_09:48:00_TAI,63.0,5.750009e+22,1.274632e+24,5.088,1739.494385
2013.01.10_10:00:00_TAI,63.2,5.729135e+22,1.275226e+24,5.047,1744.640381
2013.01.10_10:12:00_TAI,63.4,5.719242e+22,1.275777e+24,5.042,1745.638062
2013.01.10_10:24:00_TAI,63.6,5.683669e+22,1.265803e+24,5.045,1749.459961
2013.01.10_10:36:00_TAI,63.8,5.643762e+22,1.267235e+24,5.044,1743.908203
2013.01.10_10:48:00_TAI,64.0,5.620977e+22,1.260299e+24,5.029,1743.721191
2013.01.10_11:00:00_TAI,64.2,5.587528e+22,1.261053e+24,5.022,1753.566162
2013.01.10_11:12:00_TAI,64.4,5.580661e+22,1.247259e+24,5.020,1767.124268
2013.01.10_11:24:00_TAI,64.6,5.550603e+22,1.249069e+24,5.013,1768.107666
2013.01.10_11:36:00_TAI,64.8,5.503839e+22,1.238928e+24,5.014,1761.327393
2013.01.10_11:48:00_TAI,65.0,5.483045e+22,1.239228e+24,4.996,1761.926025
2013.01.10_12:00:00_TAI,65.2,5.474001e+22,1.236741e+24,4.987,1769.472046
2013.01.10_12:12:00_TAI,65.4,5.445028e+22,1.231219e+24,4.969,1772.298584
2013.01.10_12:24:00_TAI,65.6,5.442226e+22,1.230218e+24,4.975,1787.630371
2013.01.10_12:36:00_TAI,65.8,5.470984e+22,1.238252e+24,4.972,1786.678711
2013.01.10_12:48:00_TAI,66.0,5.454911e+22,1.241262e+24,5.018,1795.416626
2013.01.10_13:00:00_TAI,66.2,5.439805e+22,1.236185e+24,4.975,1802.295044
2013.01.10_13:12:00_TAI,66.4,5.457548e+22,1.234623e+24,4.956,1793.092773
2013.01.10_13:24:00_TAI,66.6,5.464934e+22,1.234637e+24,4.943,1801.491699
2013.01.10_13:36:00_TAI,66.8,5.461127e+22,1.229874e+24,4.971,1816.276245
2013.01.10_13:48:00_TAI,67.0,5.455387e+22,1.230409e+24,4.997,1808.929565
2013.01.10_14:00:00_TAI,67.2,5.458275e+22,1.227484e+24,5.005,1819.520386
2013.01.10_14:12:00_TAI,67.4,5.467815e+22,1.225136e+24,4.995,1828.852051
2013.01.10_14:24:00_TAI,67.6,5.459004e+22,1.229403e+24,4.981,1824.040283
2013.01.10_14:36:00_TAI,67.8,5.445789e+22,1.234266e+24,5.006,1833.601074
2013.01.10_14:48:00_TAI,68.0,5.463059e+22,1.242092e+24,5.012,1846.092285
2013.01.10_15:00:00_TAI,68.2,5.462697e+22,1.244580e+24,4.999,1847.186646
2013.01.10_15:12:00_TAI,68.4,5.488897e+22,1.238885e+24,4.981,1848.316162
2013.01.10_15:24:00_TAI,68.6,5.523343e+22,1.243355e+24,5.019,1847.469604
2013.01.10_15:36:00_TAI,68.8,5.545441e+22,1.248999e+24,5.051,1863.842041
2013.01.10_15:48:00_TAI,69.0,5.555133e+22,1.260585e+24,5.009,1865.303223
2013.01.10_16:00:00_TAI,69.2,5.598694e+22,1.263489e+24,5.008,1873.923828
2013.01.10_16:12:00_TAI,69.4,5.653406e+22,1.270144e+24,5.053,1868.026733
2013.01.10_16:24:00_TAI,69.6,5.685108e+22,1.277512e+24,5.030,1879.452148
2013.01.10_16:36:00_TAI,69.8,5.742159e+22,1.280102e+24,5.054,1870.028564
2013.01.10_16:48:00_TAI,70.0,5.802241e+22,1.289470e+24,5.043,1864.416504
2013.01.10_17:00:00_TAI,70.2,5.841064e+22,1.294672e+24,5.039,1879.164795
2013.01.10_17:12:00_TAI,70.4,5.844786e+22,1.307668e+24,5.076,1894.266235
2013.01.10_17:24:00_TAI,70.6,5.860514e+22,1.311553e+24,5.102,1906.662231
2013.01.10_17:36:00_TAI,70.8,5.871245e+22,1.315916e+24,5.103,1912.132812
2013.01.10_17:48:00_TAI,71.0,5.868125e+22,1.311935e+24,5.077,1898.255371
2013.01.10_18:24:00_TAI,71.6,5.869786e+22,1.310037e+24,5.113,1874.323486
2013.01.10_18:36:00_TAI,71.8,5.846556e+22,1.307512e+24,5.130,1877.320435
2013.01.10_18:48:00_TAI,72.0,5.818484e+22,1.308135e+24,5.118,1876.746094
2013.01.10_19:00:00_TAI,72.2,5.783304e+22,1.317343e+24,5.142,1883.979248
2013.01.10_19:12:00_TAI,72.4,5.762751e+22,1.314858e+24,5.144,1881.871338
2013.01.10_19:24:00_TAI,72.6,5.728240e+22,1.320147e+24,5.124,1870.413452
2013.01.10_19:36:00_TAI,72.8,5.709016e+22,1.326709e+24,5.154,1869.307739
2013.01.10_19:48:00_TAI,73.0,5.677834e+22,1.328034e+24,5.150,1888.415161
2013.01.10_20:00:00_TAI,73.2,5.675872e+22,1.326879e+24,5.168,1878.390747
2013.01.10_20:12:00_TAI,73.4,5.640840e+22,1.323015e+24,5.188,1874.662231
2013.01.10_20:24:00_TAI,73.6,5.621917e+22,1.334159e+24,5.177,1870.587158
2013.01.10_20:36:00_TAI,73.8,5.593278e+22,1.332733e+24,5.172,1866.535889
2013.01.10_20:48:00_TAI,74.0,5.603618e+22,1.331393e+24,5.179,1872.822998
2013.01.10_21:00:00_TAI,74.2,5.604328e+22,1.335870e+24,5.198,1873.049438
2013.01.10_21:12:00_TAI,74.4,5.627853e+22,1.340303e+24,5.177,1883.841553
2013.01.10_21:24:00_TAI,74.6,5.666919e+22,1.345265e+24,5.164,1882.468872
2013.01.10_21:36:00_TAI,74.8,5.660847e+22,1.353525e+24,5.174,1885.587402
