true_time,time,unsigned_flux,free energy,potential inversion line flux,area
2017.01.30_09:48:00_TAI,0.0,2.493004e+19,1.848055e+20,0.000,1.696624
2017.01.30_10:00:00_TAI,0.2,6.389651e+19,2.686206e+20,0.000,9.244541
2017.01.30_10:12:00_TAI,0.4,7.630677e+19,3.176309e+20,0.000,8.348064
2017.01.30_10:24:00_TAI,0.6,8.384008e+19,3.399686e+20,2.092,9.048884
2017.01.30_10:36:00_TAI,0.8,9.715082e+19,3.695640e+20,2.101,8.857234
2017.01.30_10:48:00_TAI,1.0,9.621345e+19,2.966544e+20,2.368,9.560471
2017.01.30_11:00:00_TAI,1.2,1.160391e+20,4.330224e+20,0.000,9.793098
2017.01.30_11:12:00_TAI,1.4,1.036126e+20,3.313399e+20,0.000,10.779195
2017.01.30_11:24:00_TAI,1.6,1.127203e+20,3.289003e+20,0.000,11.149388
2017.01.30_11:36:00_TAI,1.8,1.161378e+20,3.257188e+20,0.000,10.956733
2017.01.30_11:48:00_TAI,2.0,1.281145e+20,4.510106e+20,0.000,11.140196
2017.01.30_12:00:00_TAI,2.2,1.303430e+20,3.967380e+20,0.000,11.326467
2017.01.30_12:12:00_TAI,2.4,1.544382e+20,5.011948e+20,0.000,12.448102
2017.01.30_12:24:00_TAI,2.6,1.293178e+20,4.824706e+20,0.000,12.067863
2017.01.30_12:36:00_TAI,2.8,1.589490e+20,6.085898e+20,0.000,13.282011
2017.01.30_12:48:00_TAI,3.0,1.648848e+20,6.610348e+20,0.000,13.370648
2017.01.30_13:00:00_TAI,3.2,1.638879e+20,7.150077e+20,1.972,13.601089
2017.01.30_13:12:00_TAI,3.4,1.581022e+20,6.661637e+20,1.970,12.842004
2017.01.30_13:24:00_TAI,3.6,1.497440e+20,5.799171e+20,1.960,12.693811
2017.01.30_13:36:00_TAI,3.8,1.531897e+20,5.555031e+20,1.956,13.344357
2017.01.30_13:48:00_TAI,4.0,1.419261e+20,4.846082e+20,1.941,13.527897
2017.01.30_14:00:00_TAI,4.2,1.438490e+20,5.005469e+20,1.949,13.284057
2017.01.30_14:12:00_TAI,4.4,1.437639e+20,5.853936e+20,1.925,13.513364
2017.01.30_14:24:00_TAI,4.6,1.414297e+20,6.126809e+20,1.904,12.338846
2017.01.30_14:36:00_TAI,4.8,1.462619e+20,6.313394e+20,1.610,12.332514
2017.01.30_14:48:00_TAI,5.0,1.452021e+20,6.049223e+20,1.940,12.559011
2017.01.30_15:00:00_TAI,5.2,1.524383e+20,6.779668e+20,0.000,11.291283
2017.01.30_15:12:00_TAI,5.4,1.333244e+20,5.328752e+20,0.000,10.586429
2017.01.30_15:24:00_TAI,5.6,1.382716e+20,5.328945e+20,0.000,9.648272
2017.01.30_15:36:00_TAI,5.8,1.407536e+20,5.343564e+20,0.000,9.878036
2017.01.30_15:48:00_TAI,6.0,1.413440e+20,4.917548e+20,0.000,10.525362
2017.01.30_16:00:00_TAI,6.2,1.523343e+20,6.517611e+20,0.000,10.429385
2017.01.30_16:12:00_TAI,6.4,1.446173e+20,5.525657e+20,0.000,10.190437
2017.01.30_16:24:00_TAI,6.6,1.388723e+20,5.035083e+20,0.000,10.465023
2017.01.30_16:36:00_TAI,6.8,1.283601e+20,4.271172e+20,0.000,10.135695
2017.01.30_16:48:00_TAI,7.0,1.241735e+20,3.481330e+20,0.000,10.177568
2017.01.30_21:24:00_TAI,11.6,6.457247e+19,4.966749e+20,0.000,7.743081
2017.01.30_23:00:00_TAI,13.2,6.408175e+19,8.777697e+20,2.032,6.211513
2017.01.30_23:12:00_TAI,13.4,7.813524e+19,8.359203e+20,2.039,6.439257
2017.01.30_23:24:00_TAI,13.6,7.329870e+19,7.903925e+20,0.000,6.619957
2017.01.30_23:36:00_TAI,13.8,7.391670e+19,8.823742e+20,2.524,6.939679
2017.01.30_23:48:00_TAI,14.0,6.073668e+19,5.927997e+20,2.526,6.295909
2017.01.31_00:00:00_TAI,14.2,6.286898e+19,8.903569e+20,2.529,5.556051
2017.01.31_00:12:00_TAI,14.4,5.930658e+19,8.078349e+20,2.652,5.601377
2017.01.31_00:24:00_TAI,14.6,4.111224e+19,6.503002e+20,2.720,4.590516
2017.01.31_00:36:00_TAI,14.8,5.100554e+19,6.956416e+20,2.364,4.591981
2017.01.31_07:24:00_TAI,21.6,1.334728e+19,9.087309e+19,0.000,2.418508
2017.01.31_07:36:00_TAI,21.8,1.301309e+19,1.010574e+20,0.000,2.143935
2017.01.31_07:48:00_TAI,22.0,1.751896e+19,2.219183e+20,1.498,2.417509
2017.01.31_08:00:00_TAI,22.2,2.243035e+19,1.555779e+20,1.838,2.692520
2017.01.31_08:12:00_TAI,22.4,2.017092e+19,2.885334e+20,1.863,2.921867
2017.01.31_08:24:00_TAI,22.6,4.226848e+19,4.732251e+20,2.067,5.338701
2017.01.31_08:36:00_TAI,22.8,1.065259e+20,8.224469e+20,1.900,11.216266
2017.01.31_08:48:00_TAI,23.0,1.789640e+20,1.750175e+21,2.174,16.045446
2017.01.31_09:00:00_TAI,23.2,2.000977e+20,1.676905e+21,1.619,17.592449
2017.01.31_09:12:00_TAI,23.4,2.232830e+20,2.258356e+21,2.034,19.369045
2017.01.31_09:24:00_TAI,23.6,2.536546e+20,3.398947e+21,1.869,21.003151
2017.01.31_09:36:00_TAI,23.8,2.909649e+20,3.690428e+21,2.447,25.101351
2017.01.31_09:48:00_TAI,24.0,3.192538e+20,4.067101e+21,2.693,29.328182
2017.01.31_10:00:00_TAI,24.2,3.582312e+20,5.050583e+21,2.686,34.970627
2017.01.31_10:12:00_TAI,24.4,4.193511e+20,5.316918e+21,2.452,36.608246
2017.01.31_10:24:00_TAI,24.6,4.643434e+20,5.540238e+21,2.670,38.658031
2017.01.31_10:36:00_TAI,24.8,5.210128e+20,5.827201e+21,2.790,44.777573
2017.01.31_10:48:00_TAI,25.0,5.914458e+20,6.286020e+21,0.000,45.550014
2017.01.31_11:00:00_TAI,25.2,6.509117e+20,6.526940e+21,0.000,45.505783
2017.01.31_11:12:00_TAI,25.4,6.540583e+20,5.768294e+21,2.583,46.877510
2017.01.31_11:24:00_TAI,25.6,6.664162e+20,6.535606e+21,2.687,47.933205
2017.01.31_11:36:00_TAI,25.8,7.068210e+20,6.828980e+21,2.914,49.385136
2017.01.31_11:48:00_TAI,26.0,7.342464e+20,6.897985e+21,2.923,49.706509
2017.01.31_12:00:00_TAI,26.2,7.522669e+20,7.390530e+21,2.778,51.572315
2017.01.31_12:12:00_TAI,26.4,7.992784e+20,8.596992e+21,2.918,51.443218
2017.01.31_12:24:00_TAI,26.6,8.110089e+20,8.914336e+21,2.980,52.497883
2017.01.31_12:36:00_TAI,26.8,8.423303e+20,9.217824e+21,3.068,53.867081
2017.01.31_12:48:00_TAI,27.0,8.819368e+20,9.836530e+21,3.153,55.140884
2017.01.31_13:00:00_TAI,27.2,9.183077e+20,1.027019e+22,3.229,56.226238
2017.01.31_13:36:00_TAI,27.8,9.796839e+20,1.302047e+22,3.206,56.151592
2017.01.31_13:48:00_TAI,28.0,1.009599e+21,1.245226e+22,3.310,58.070221
2017.01.31_14:24:00_TAI,28.6,1.037867e+21,1.325239e+22,2.713,60.719135
2017.01.31_14:36:00_TAI,28.8,1.084366e+21,1.509255e+22,3.008,61.085686
2017.01.31_14:48:00_TAI,29.0,1.072956e+21,1.489289e+22,2.732,62.366184
2017.01.31_15:00:00_TAI,29.2,1.101700e+21,1.422405e+22,2.500,66.238136
2017.01.31_15:12:00_TAI,29.4,1.167101e+21,1.442193e+22,2.515,67.110168
2017.01.31_15:24:00_TAI,29.6,1.201643e+21,1.622964e+22,2.519,66.607895
2017.01.31_15:36:00_TAI,29.8,1.225782e+21,1.660626e+22,3.057,68.704216
2017.01.31_15:48:00_TAI,30.0,1.241750e+21,1.651481e+22,2.853,71.171486
2017.01.31_16:00:00_TAI,30.2,1.290185e+21,1.839131e+22,3.233,74.008293
2017.01.31_16:12:00_TAI,30.4,1.334009e+21,1.918231e+22,3.495,75.345726
2017.01.31_16:24:00_TAI,30.6,1.381732e+21,1.988555e+22,3.473,76.399719
2017.01.31_16:36:00_TAI,30.8,1.414301e+21,2.037240e+22,3.038,77.364059
2017.01.31_16:48:00_TAI,31.0,1.476093e+21,2.116880e+22,3.120,79.602623
2017.01.31_17:00:00_TAI,31.2,1.489585e+21,2.083049e+22,3.090,79.071495
2017.01.31_17:12:00_TAI,31.4,1.513508e+21,2.210458e+22,3.176,79.083084
2017.01.31_17:24:00_TAI,31.6,1.555213e+21,2.268424e+22,3.258,81.558609
2017.01.31_17:36:00_TAI,31.8,1.568706e+21,2.296033e+22,2.928,82.803917
2017.01.31_17:48:00_TAI,32.0,1.631170e+21,2.412450e+22,2.934,85.366241
2017.01.31_18:12:00_TAI,32.4,1.715879e+21,2.471350e+22,3.288,90.182045
2017.01.31_18:24:00_TAI,32.6,1.791628e+21,2.570767e+22,3.436,94.249741
2017.01.31_18:36:00_TAI,32.8,1.844312e+21,2.530185e+22,3.255,92.492439
2017.01.31_18:48:00_TAI,33.0,1.862816e+21,2.619165e+22,3.077,93.544464
2017.01.31_19:00:00_TAI,33.2,1.925968e+21,2.782108e+22,3.469,92.325241
2017.01.31_19:12:00_TAI,33.4,1.977784e+21,2.923939e+22,3.257,93.802696
2017.01.31_19:24:00_TAI,33.6,2.006956e+21,3.186354e+22,3.256,96.154671
2017.01.31_19:36:00_TAI,33.8,2.029597e+21,3.220557e+22,2.976,96.816719
