true_time,time,unsigned_flux,free energy,potential inversion line flux,area
2011.02.08_04:00:00_TAI,0.0,2.928113e+20,1.755944e+21,2.131,9.517335
2011.02.08_04:12:00_TAI,0.2,4.141138e+20,3.381034e+21,0.000,14.486929
2011.02.08_04:24:00_TAI,0.4,4.756734e+20,3.987239e+21,2.342,15.854795
2011.02.08_04:36:00_TAI,0.6,5.115619e+20,4.072393e+21,0.000,15.172811
2011.02.08_04:48:00_TAI,0.8,6.544778e+20,5.718107e+21,2.737,18.390411
2011.02.08_05:00:00_TAI,1.0,8.179207e+20,6.427886e+21,0.000,22.593567
2011.02.08_05:12:00_TAI,1.2,8.743112e+20,6.626944e+21,2.914,25.638641
2011.02.08_05:24:00_TAI,1.4,1.004825e+21,7.692708e+21,3.094,34.629757
2011.02.08_05:36:00_TAI,1.6,1.043810e+21,7.806932e+21,3.257,35.527878
2011.02.08_05:48:00_TAI,1.8,1.111411e+21,8.850663e+21,3.090,40.480549
2011.02.08_06:24:00_TAI,2.4,1.376500e+21,9.155771e+21,2.881,50.628490
2011.02.08_06:36:00_TAI,2.6,1.398138e+21,9.085552e+21,3.237,52.899704
2011.02.08_06:48:00_TAI,2.8,1.595306e+21,9.746355e+21,3.483,56.838566
2011.02.08_07:00:00_TAI,3.0,1.575119e+21,1.012781e+22,3.425,57.979706
2011.02.08_07:12:00_TAI,3.2,1.573470e+21,1.011054e+22,3.340,58.578896
2011.02.08_07:24:00_TAI,3.4,1.633382e+21,1.013797e+22,3.369,59.243248
2011.02.08_07:36:00_TAI,3.6,1.675018e+21,9.856658e+21,3.113,60.905853
2011.02.08_07:48:00_TAI,3.8,1.696193e+21,9.744473e+21,3.340,63.287727
2011.02.08_08:00:00_TAI,4.0,1.738580e+21,1.027622e+22,3.042,62.726917
2011.02.08_08:12:00_TAI,4.2,1.750665e+21,9.982624e+21,3.383,65.851456
2011.02.08_08:24:00_TAI,4.4,1.810219e+21,1.061773e+22,3.353,64.936745
2011.02.08_08:36:00_TAI,4.6,1.877788e+21,1.080137e+22,3.037,67.841789
2011.02.08_08:48:00_TAI,4.8,1.952107e+21,1.140733e+22,3.071,72.901917
2011.02.08_09:00:00_TAI,5.0,2.077114e+21,1.220912e+22,3.278,75.766258
2011.02.08_09:12:00_TAI,5.2,2.097034e+21,1.235510e+22,2.914,72.964066
2011.02.08_09:24:00_TAI,5.4,2.078705e+21,1.251579e+22,0.000,72.898758
2011.02.08_09:36:00_TAI,5.6,2.170461e+21,1.266299e+22,2.745,75.158562
2011.02.08_09:48:00_TAI,5.8,2.171552e+21,1.312925e+22,2.109,75.309982
2011.02.08_10:00:00_TAI,6.0,2.209014e+21,1.324098e+22,3.138,75.951988
2011.02.08_10:12:00_TAI,6.2,2.189259e+21,1.345403e+22,3.070,74.582443
2011.02.08_10:24:00_TAI,6.4,2.232672e+21,1.298187e+22,2.920,75.293480
