true_time,time,unsigned_flux
2013.09.17_08:36:00_TAI,0.0,5.393716e+20
2013.09.17_08:48:00_TAI,0.2,5.272387e+20
2013.09.17_09:12:00_TAI,0.6,6.170789e+20
2013.09.17_09:24:00_TAI,0.8,6.879238e+20
2013.09.17_10:00:00_TAI,1.4,7.412070e+20
2013.09.17_10:12:00_TAI,1.6,8.081618e+20
2013.09.17_10:24:00_TAI,1.8,8.294086e+20
2013.09.17_10:36:00_TAI,2.0,8.486302e+20
2013.09.17_10:48:00_TAI,2.2,9.106853e+20
2013.09.17_11:00:00_TAI,2.4,9.536614e+20
2013.09.17_11:12:00_TAI,2.6,1.005608e+21
2013.09.17_11:24:00_TAI,2.8,1.060019e+21
2013.09.17_11:36:00_TAI,3.0,1.085068e+21
2013.09.17_11:48:00_TAI,3.2,1.165336e+21
2013.09.17_12:00:00_TAI,3.4,1.204092e+21
2013.09.17_13:24:00_TAI,4.8,1.506929e+21
2013.09.17_13:36:00_TAI,5.0,1.564195e+21
2013.09.17_13:48:00_TAI,5.2,1.622625e+21
2013.09.17_14:00:00_TAI,5.4,1.651765e+21
2013.09.17_14:12:00_TAI,5.6,1.663050e+21
2013.09.17_14:24:00_TAI,5.8,1.669772e+21
2013.09.17_14:36:00_TAI,6.0,1.701154e+21
2013.09.17_14:48:00_TAI,6.2,1.773939e+21
2013.09.17_15:00:00_TAI,6.4,1.820684e+21
2013.09.17_15:12:00_TAI,6.6,1.834535e+21
2013.09.17_15:24:00_TAI,6.8,1.856556e+21
2013.09.17_15:36:00_TAI,7.0,1.899373e+21
2013.09.17_15:48:00_TAI,7.2,1.919097e+21
2013.09.17_16:00:00_TAI,7.4,1.949402e+21
2013.09.17_16:12:00_TAI,7.6,1.937595e+21
2013.09.17_16:24:00_TAI,7.8,1.974729e+21
2013.09.17_16:36:00_TAI,8.0,1.959134e+21
2013.09.17_16:48:00_TAI,8.2,1.990584e+21
2013.09.17_17:00:00_TAI,8.4,1.947093e+21
2013.09.17_17:12:00_TAI,8.6,1.975972e+21
2013.09.17_17:24:00_TAI,8.8,1.970975e+21
2013.09.17_17:36:00_TAI,9.0,1.925624e+21
2013.09.17_17:48:00_TAI,9.2,1.960737e+21
2013.09.17_18:24:00_TAI,9.8,2.038843e+21
2013.09.17_18:36:00_TAI,10.0,2.030075e+21
2013.09.17_18:48:00_TAI,10.2,2.013625e+21
2013.09.17_19:24:00_TAI,10.8,2.023471e+21
2013.09.17_19:36:00_TAI,11.0,2.064660e+21
2013.09.17_19:48:00_TAI,11.2,2.052808e+21
2013.09.17_20:00:00_TAI,11.4,2.059031e+21
2013.09.17_20:12:00_TAI,11.6,2.086018e+21
2013.09.17_20:24:00_TAI,11.8,2.050879e+21
2013.09.17_20:36:00_TAI,12.0,2.082058e+21
