time,unsigned_flux
32.6,5.838838e+21
32.8,5.750136e+21
33.0,5.633124e+21
33.2,5.695786e+21
33.8,5.768519e+21
34.0,5.799081e+21
34.2,5.841880e+21
34.4,5.950520e+21
34.6,5.896615e+21
34.8,6.014737e+21
35.0,6.167663e+21
35.2,6.185767e+21
35.4,6.133395e+21
35.6,6.109047e+21
35.8,6.155190e+21
36.0,6.024031e+21
36.2,5.989961e+21
36.4,5.851641e+21
36.6,5.731721e+21
36.8,5.640145e+21
37.0,5.475076e+21
37.2,5.421608e+21
37.4,5.461994e+21
37.6,5.349658e+21
37.8,5.402066e+21
38.0,5.471496e+21
38.2,5.382644e+21
38.4,5.385216e+21
38.6,5.380601e+21
38.8,5.789718e+21
39.0,5.849596e+21
39.2,6.024623e+21
39.4,6.033672e+21
39.6,5.950358e+21
39.8,6.002584e+21
40.0,6.025046e+21
40.2,6.058182e+21
40.4,6.079963e+21
40.6,6.143675e+21
40.8,6.101248e+21
41.0,6.042549e+21
41.2,6.094432e+21
41.4,6.100095e+21
41.6,6.061824e+21
41.8,6.051335e+21
42.0,5.915664e+21
42.2,5.901342e+21
42.4,6.044838e+21
42.6,5.953894e+21
42.8,5.935855e+21
43.0,5.941655e+21
43.2,5.920264e+21
43.4,5.888384e+21
43.6,5.813062e+21
43.8,5.835143e+21
44.0,5.902839e+21
44.2,5.968991e+21
44.4,5.964215e+21
44.6,6.122270e+21
44.8,6.180321e+21
45.0,6.319566e+21
45.2,6.578202e+21
45.8,6.978948e+21
46.0,7.042048e+21
46.2,7.152151e+21
46.4,7.332604e+21
46.6,7.461857e+21
46.8,7.539603e+21
47.0,7.675144e+21
47.2,7.557625e+21
47.4,7.531662e+21
47.6,7.428997e+21
47.8,7.400373e+21
48.0,7.406299e+21
48.2,7.352877e+21
48.4,7.340324e+21
48.6,7.387386e+21
48.8,7.511934e+21
49.0,7.583128e+21
49.2,7.773858e+21
49.4,7.876241e+21
49.6,8.008292e+21
49.8,8.088077e+21
50.0,8.149937e+21
50.2,8.289812e+21
50.4,8.292644e+21
50.6,8.410539e+21
50.8,8.464268e+21
51.0,8.341210e+21
51.2,8.426089e+21
51.4,8.359914e+21
51.6,8.372398e+21
51.8,8.360576e+21
52.0,8.337471e+21
52.2,8.322585e+21
52.4,8.267120e+21
52.6,8.167004e+21
52.8,8.345397e+21
53.0,8.194850e+21
53.2,8.167309e+21
53.4,8.362538e+21
53.6,8.309428e+21
53.8,8.325860e+21
54.0,8.427624e+21
54.2,8.303247e+21
54.4,7.992071e+21
54.6,7.870290e+21
54.8,8.071485e+21
55.0,7.747784e+21
55.2,7.698902e+21
55.4,7.683847e+21
55.6,7.672592e+21
55.8,7.498828e+21
56.0,7.445009e+21
56.2,7.393036e+21
56.4,7.315561e+21
56.6,7.093347e+21
56.8,7.094204e+21
57.0,6.996850e+21
57.2,7.205760e+21
57.8,7.377426e+21
58.0,7.521247e+21
58.2,7.385619e+21
58.4,7.518074e+21
58.6,7.635700e+21
58.8,7.823483e+21
59.0,8.060442e+21
59.2,8.087949e+21
59.4,8.167361e+21
59.6,8.160452e+21
59.8,8.229926e+21
60.0,8.242474e+21
60.2,8.156119e+21
60.4,8.077529e+21
60.6,7.945253e+21
60.8,7.745515e+21
61.0,7.616144e+21
61.2,7.465036e+21
61.4,7.354281e+21
61.6,7.325766e+21
61.8,7.193418e+21
62.0,7.171096e+21
62.2,7.201524e+21
62.4,7.315118e+21
62.6,7.348027e+21
62.8,7.379315e+21
63.0,7.369407e+21
63.2,7.364875e+21
63.4,7.511370e+21
63.6,7.484485e+21
63.8,7.384652e+21
64.0,7.405046e+21
64.2,7.379221e+21
64.4,7.482200e+21
64.6,7.478397e+21
64.8,7.295222e+21
65.0,7.587823e+21
65.2,7.626472e+21
65.4,7.651659e+21
65.6,7.653923e+21
65.8,7.587736e+21
66.0,7.589905e+21
66.2,7.593209e+21
66.4,7.609510e+21
66.6,7.636652e+21
66.8,7.535077e+21
67.0,7.493206e+21
67.2,7.430269e+21
67.4,7.422370e+21
67.6,7.236323e+21
67.8,7.343355e+21
68.0,7.090748e+21
68.2,7.051344e+21
68.4,7.156960e+21
68.6,7.286709e+21
68.8,7.433609e+21
69.0,7.593236e+21
69.2,7.818602e+21
69.8,7.973505e+21
70.0,7.994860e+21
70.2,7.909302e+21
70.4,7.877353e+21
70.6,7.882276e+21
70.8,7.676140e+21
71.0,7.521466e+21
71.2,7.313152e+21
71.4,7.230495e+21
71.6,7.079652e+21
71.8,6.958489e+21
72.0,6.909769e+21
72.2,6.814739e+21
72.4,6.792524e+21
72.6,6.775507e+21
72.8,6.696773e+21
73.0,6.753005e+21
73.2,6.788154e+21
73.4,6.945156e+21
73.6,7.078675e+21
73.8,7.182203e+21
74.0,7.324565e+21
74.2,7.624866e+21
