time,unsigned_flux
0.0,0.0
0.2,0.0
0.4,3.541154e+19
0.6,3.919328e+19
0.8,7.396603e+19
1.0,1.122835e+20
1.2,1.4955e+20
1.4,1.745399e+20
1.6,1.839248e+20
1.8,1.693319e+20
2.0,1.825873e+20
2.2,2.01911e+20
2.4,1.887782e+20
2.6,2.209548e+20
2.8,2.270492e+20
3.0,1.753867e+20
3.2,2.584451e+20
3.4,2.994046e+20
3.6,3.58502e+20
3.8,3.163211e+20
4.0,5.935081e+20
4.2,7.569518e+20
4.4,9.975278e+20
4.6,1.161447e+21
4.8,1.485424e+21
5.0,1.845331e+21
5.2,2.133471e+21
5.4,2.655786e+21
5.6,2.93223e+21
5.8,3.335191e+21
6.0,3.74451e+21
6.2,4.400338e+21
6.4,4.781106e+21
6.6,5.227937e+21
6.8,5.556502e+21
7.0,5.929424e+21
7.2,6.242144e+21
7.4,6.630644e+21
7.6,6.980271e+21
7.8,7.298875e+21
8.0,7.485306e+21
8.2,7.661744e+21
8.4,7.929414e+21
8.6,8.127562e+21
8.8,8.280206e+21
9.0,8.439573e+21
9.2,8.532219e+21
9.4,8.575116e+21
9.6,8.819061e+21
9.8,8.895417e+21
10.0,8.954834e+21
10.2,9.085065e+21
10.4,9.280629e+21
10.6,9.263799e+21
10.8,9.340509e+21
11.0,9.550667e+21
11.2,9.450892e+21
11.4,9.499399e+21
11.6,9.519538e+21
11.8,9.554011e+21
12.0,9.500768e+21
12.2,9.498745e+21
12.4,9.377682e+21
12.6,9.192792e+21
12.8,9.172747e+21
13.0,9.182256e+21
13.2,9.02435e+21
13.4,9.039327e+21
13.6,8.889792e+21
13.8,9.133501e+21
14.0,9.224345e+21
14.2,9.438388e+21
14.4,9.489885e+21
14.6,9.75881e+21
14.8,9.822423e+21
15.0,1.002729e+22
15.2,1.018873e+22
15.4,1.029575e+22
15.6,1.050168e+22
15.8,1.048546e+22
16.0,1.06823e+22
16.2,1.098174e+22
16.4,1.125677e+22
