time,unsigned_flux
0.0,4.807387e+17
0.2,8.770387e+19
0.4,1.423105e+20
0.6,2.662000e+20
0.8,3.536178e+20
1.0,3.619678e+20
1.2,4.003024e+20
1.4,4.365512e+20
2.0,5.431629e+20
2.2,5.482330e+20
2.4,6.679590e+20
2.6,7.734262e+20
2.8,8.967773e+20
3.0,8.795085e+20
3.2,8.718382e+20
3.4,9.067294e+20
3.6,9.339877e+20
3.8,9.867134e+20
4.0,9.786792e+20
4.2,1.029171e+21
4.4,1.036354e+21
4.6,1.074207e+21
4.8,1.069284e+21
5.0,1.113795e+21
5.2,1.178336e+21
5.4,1.269394e+21
5.6,1.285319e+21
5.8,1.310293e+21
6.0,1.354385e+21
6.2,1.430954e+21
6.4,1.427486e+21
6.6,1.487840e+21
6.8,1.535196e+21
7.0,1.572870e+21
7.2,1.577635e+21
7.4,1.617145e+21
7.6,1.787832e+21
7.8,1.894072e+21
8.0,1.915474e+21
8.2,1.987252e+21
8.4,2.098409e+21
8.6,2.119461e+21
8.8,2.161748e+21
9.0,2.248785e+21
9.2,2.322550e+21
9.4,2.371538e+21
9.6,2.446136e+21
9.8,2.531112e+21
10.0,2.577541e+21
10.2,2.618849e+21
10.4,2.674401e+21
10.6,2.768590e+21
10.8,2.850888e+21
11.0,2.949651e+21
11.2,2.992003e+21
11.4,3.028619e+21
11.6,3.063998e+21
11.8,3.118586e+21
12.0,3.196411e+21
12.2,3.275125e+21
12.4,3.292837e+21
12.6,3.378439e+21
12.8,3.489961e+21
13.0,3.490644e+21
13.2,3.565270e+21
13.4,3.670429e+21
14.0,4.040465e+21
14.2,4.120874e+21
14.4,4.208246e+21
14.6,4.234520e+21
14.8,4.313048e+21
15.0,4.385930e+21
15.2,4.448241e+21
15.4,4.499186e+21
15.6,4.622795e+21
15.8,4.675431e+21
16.0,4.800656e+21
16.2,4.862221e+21
16.4,4.955548e+21
16.6,5.104293e+21
16.8,5.176123e+21
17.0,5.265201e+21
17.2,5.331734e+21
17.4,5.435164e+21
17.6,5.496730e+21
17.8,5.572555e+21
18.0,5.687219e+21
18.2,5.801964e+21
18.4,5.950660e+21
18.6,6.072366e+21
18.8,6.145750e+21
19.0,6.266297e+21
19.2,6.457269e+21
19.4,6.491543e+21
19.6,6.565447e+21
19.8,6.643122e+21
20.0,6.691813e+21
20.2,6.775932e+21
20.4,6.846829e+21
20.6,6.922998e+21
20.8,6.963363e+21
21.0,7.023062e+21
21.2,7.007728e+21
21.4,7.079055e+21
21.6,7.080178e+21
21.8,7.237155e+21
22.0,7.292317e+21
22.2,7.378441e+21
22.4,7.428104e+21
22.6,7.602395e+21
22.8,7.634187e+21
23.0,7.769574e+21
23.2,7.897345e+21
23.4,8.006695e+21
23.6,8.139356e+21
23.8,8.189216e+21
24.0,8.285612e+21
24.2,8.333471e+21
24.4,8.490976e+21
24.6,8.587433e+21
24.8,8.671925e+21
25.0,8.817912e+21
25.2,9.007828e+21
25.4,9.111583e+21
26.0,9.240639e+21
26.2,9.211023e+21
26.4,9.229057e+21
26.6,9.323260e+21
26.8,9.353645e+21
27.0,9.487132e+21
27.2,9.560111e+21
