time,unsigned_flux
22.6,7.850223e+21
22.8,7.906450e+21
23.0,7.837185e+21
24.2,7.907646e+21
24.4,7.952531e+21
24.6,7.939965e+21
24.8,8.011868e+21
25.0,8.064442e+21
25.2,8.067229e+21
25.4,8.151757e+21
25.6,8.148873e+21
25.8,8.415609e+21
26.0,8.621565e+21
26.2,8.633900e+21
26.4,8.666701e+21
26.6,8.718289e+21
26.8,8.825351e+21
27.0,8.783954e+21
27.2,8.835439e+21
27.4,8.717139e+21
27.6,8.616706e+21
27.8,8.627697e+21
28.0,8.516288e+21
28.2,8.288242e+21
28.8,8.159909e+21
31.2,9.082901e+21
32.2,8.871940e+21
32.8,8.717283e+21
33.4,8.797936e+21
33.6,8.684397e+21
33.8,8.802242e+21
34.0,8.817378e+21
34.2,8.791527e+21
34.4,8.867942e+21
34.6,8.862573e+21
34.8,8.866044e+21
35.0,8.946194e+21
35.2,8.894411e+21
35.4,8.802707e+21
35.6,8.942344e+21
35.8,8.886968e+21
36.0,8.881849e+21
36.2,8.879720e+21
36.4,8.845650e+21
36.6,8.797835e+21
36.8,8.909220e+21
37.0,8.973468e+21
37.2,8.898388e+21
37.4,8.957745e+21
37.6,8.958410e+21
37.8,9.090048e+21
38.0,9.085099e+21
38.2,9.203129e+21
38.4,9.200804e+21
38.6,9.393744e+21
38.8,9.414599e+21
39.0,9.542174e+21
39.2,9.661251e+21
39.4,9.751039e+21
39.6,9.746905e+21
39.8,9.820135e+21
40.0,9.748521e+21
40.2,9.790899e+21
40.8,9.520845e+21
41.0,9.541814e+21
41.2,9.385229e+21
41.4,9.293592e+21
41.6,9.267770e+21
41.8,9.181620e+21
42.0,9.138505e+21
42.2,9.125123e+21
42.4,9.197587e+21
42.6,9.347884e+21
42.8,9.372536e+21
43.0,9.514185e+21
43.2,9.725060e+21
43.4,9.937218e+21
43.6,1.003144e+22
43.8,1.005421e+22
44.0,1.003233e+22
44.2,1.004120e+22
44.4,1.000060e+22
44.6,1.009688e+22
44.8,1.005555e+22
45.0,9.907706e+21
45.2,9.984681e+21
45.4,9.958284e+21
45.6,9.893030e+21
45.8,9.860234e+21
46.0,9.768033e+21
46.2,9.872236e+21
46.4,9.774530e+21
46.6,9.676812e+21
46.8,9.671638e+21
48.2,9.320957e+21
48.4,9.438516e+21
48.6,9.389598e+21
48.8,9.444053e+21
49.0,9.342713e+21
49.2,9.405006e+21
49.4,9.268299e+21
49.6,9.318647e+21
49.8,9.403010e+21
50.0,9.376958e+21
50.2,9.408259e+21
50.4,9.447042e+21
50.6,9.403174e+21
50.8,9.394302e+21
51.0,9.240376e+21
51.2,9.248059e+21
51.4,9.240052e+21
51.6,9.096604e+21
51.8,8.915042e+21
52.0,8.830440e+21
52.2,8.721503e+21
55.2,8.720188e+21
55.6,8.624461e+21
56.2,8.447197e+21
56.8,8.103232e+21
57.4,7.716343e+21
57.6,7.653331e+21
57.8,7.583980e+21
58.0,7.538076e+21
58.2,7.500290e+21
58.4,7.494701e+21
58.6,7.431704e+21
58.8,7.493239e+21
59.0,7.470777e+21
59.2,7.434493e+21
59.4,7.333533e+21
59.6,7.366534e+21
59.8,7.394526e+21
60.0,7.404947e+21
60.2,7.378461e+21
60.4,7.359184e+21
60.6,7.422593e+21
60.8,7.350377e+21
61.0,7.374342e+21
61.2,7.308705e+21
61.4,7.241888e+21
61.6,7.340801e+21
61.8,7.342681e+21
62.0,7.445059e+21
62.2,7.602878e+21
62.4,7.698464e+21
62.6,7.847002e+21
62.8,7.807170e+21
63.0,7.876367e+21
63.2,7.897811e+21
63.4,7.857205e+21
63.6,7.853306e+21
63.8,7.809403e+21
64.0,7.744446e+21
64.2,7.645515e+21
64.8,7.350310e+21
65.0,7.324556e+21
65.2,7.246051e+21
65.4,7.138612e+21
65.6,7.102447e+21
65.8,7.001132e+21
66.0,6.998062e+21
66.2,6.967641e+21
66.4,7.000984e+21
66.6,7.123578e+21
66.8,7.230400e+21
67.0,7.258585e+21
67.2,7.364094e+21
67.4,7.455275e+21
67.6,7.485220e+21
67.8,7.482958e+21
68.0,7.467536e+21
68.2,7.378457e+21
68.4,7.392138e+21
68.6,7.386553e+21
68.8,7.285407e+21
69.0,7.277600e+21
69.2,7.225367e+21
69.4,7.146166e+21
69.6,7.116840e+21
69.8,7.008293e+21
70.0,7.023726e+21
70.2,6.868304e+21
70.4,6.818301e+21
70.6,6.777287e+21
70.8,6.753154e+21
72.2,6.473712e+21
72.4,6.478792e+21
72.6,6.403933e+21
72.8,6.411766e+21
73.0,6.363283e+21
73.2,6.410677e+21
73.4,6.454767e+21
73.6,6.501452e+21
73.8,6.450359e+21
74.0,6.497010e+21
74.2,6.453157e+21
74.4,6.449880e+21
74.6,6.458985e+21
74.8,6.520764e+21
75.0,6.481029e+21
75.2,6.560606e+21
75.4,6.491894e+21
75.6,6.459007e+21
75.8,6.380319e+21
76.0,6.307349e+21
76.2,6.151320e+21
79.2,5.840616e+21
79.6,5.863514e+21
79.8,5.868993e+21
80.6,5.725181e+21
81.2,5.406250e+21
81.4,5.340963e+21
81.6,5.206786e+21
81.8,5.153939e+21
82.0,5.084415e+21
82.2,5.085962e+21
