true_time,time,unsigned_flux
2012.09.14_21:00:00_TAI,0.0,7.939766e+18
2012.09.14_21:12:00_TAI,0.2,7.759253e+19
2012.09.14_21:24:00_TAI,0.4,8.629117e+20
2012.09.14_21:36:00_TAI,0.6,9.021148e+20
2012.09.14_21:48:00_TAI,0.8,1.054179e+21
2012.09.14_22:00:00_TAI,1.0,1.197396e+21
2012.09.14_22:12:00_TAI,1.2,1.265755e+21
2012.09.14_22:24:00_TAI,1.4,1.300814e+21
2012.09.14_22:36:00_TAI,1.6,1.444529e+21
2012.09.14_22:48:00_TAI,1.8,1.472215e+21
2012.09.14_23:00:00_TAI,2.0,1.481796e+21
2012.09.14_23:12:00_TAI,2.2,1.493376e+21
2012.09.14_23:24:00_TAI,2.4,1.550950e+21
2012.09.14_23:36:00_TAI,2.6,1.631202e+21
2012.09.14_23:48:00_TAI,2.8,1.704645e+21
2012.09.15_00:00:00_TAI,3.0,1.748813e+21
2012.09.15_00:12:00_TAI,3.2,1.724720e+21
2012.09.15_00:24:00_TAI,3.4,1.771832e+21
2012.09.15_00:36:00_TAI,3.6,1.847114e+21
2012.09.15_00:48:00_TAI,3.8,1.856250e+21
2012.09.15_01:00:00_TAI,4.0,1.975828e+21
2012.09.15_01:12:00_TAI,4.2,1.917567e+21
2012.09.15_01:24:00_TAI,4.4,1.966308e+21
2012.09.15_01:36:00_TAI,4.6,2.036201e+21
2012.09.15_01:48:00_TAI,4.8,2.082624e+21
2012.09.15_02:00:00_TAI,5.0,2.189940e+21
2012.09.15_02:12:00_TAI,5.2,2.223593e+21
2012.09.15_02:24:00_TAI,5.4,2.265002e+21
2012.09.15_02:36:00_TAI,5.6,2.317151e+21
2012.09.15_02:48:00_TAI,5.8,2.329848e+21
2012.09.15_03:00:00_TAI,6.0,2.279142e+21
2012.09.15_03:12:00_TAI,6.2,2.325512e+21
2012.09.15_03:24:00_TAI,6.4,2.374591e+21
2012.09.15_03:36:00_TAI,6.6,2.309318e+21
2012.09.15_03:48:00_TAI,6.8,2.309501e+21
2012.09.15_04:00:00_TAI,7.0,2.297245e+21
2012.09.15_04:12:00_TAI,7.2,2.226493e+21
2012.09.15_04:24:00_TAI,7.4,2.180898e+21
2012.09.15_04:36:00_TAI,7.6,2.268226e+21
2012.09.15_04:48:00_TAI,7.8,2.223753e+21
2012.09.15_05:00:00_TAI,8.0,2.260658e+21
2012.09.15_05:12:00_TAI,8.2,2.340617e+21
2012.09.15_05:24:00_TAI,8.4,2.320877e+21
2012.09.15_05:36:00_TAI,8.6,2.340453e+21
2012.09.15_05:48:00_TAI,8.8,2.386689e+21
2012.09.15_08:36:00_TAI,11.6,2.481712e+21
2012.09.15_08:48:00_TAI,11.8,2.480802e+21
2012.09.15_09:12:00_TAI,12.2,2.443825e+21
2012.09.15_09:24:00_TAI,12.4,2.478311e+21
2012.09.15_09:36:00_TAI,12.6,2.493397e+21
2012.09.15_09:48:00_TAI,12.8,2.506225e+21
2012.09.15_10:00:00_TAI,13.0,2.521202e+21
2012.09.15_10:12:00_TAI,13.2,2.503677e+21
2012.09.15_10:24:00_TAI,13.4,2.494709e+21
2012.09.15_10:36:00_TAI,13.6,2.484956e+21
2012.09.15_10:48:00_TAI,13.8,2.529282e+21
2012.09.15_11:24:00_TAI,14.4,2.531883e+21
2012.09.15_13:24:00_TAI,16.4,2.556321e+21
2012.09.15_13:36:00_TAI,16.6,2.576499e+21
2012.09.15_13:48:00_TAI,16.8,2.506634e+21
2012.09.15_14:00:00_TAI,17.0,2.533164e+21
2012.09.15_14:12:00_TAI,17.2,2.494531e+21
2012.09.15_14:24:00_TAI,17.4,2.488128e+21
2012.09.15_14:36:00_TAI,17.6,2.438658e+21
2012.09.15_14:48:00_TAI,17.8,2.408853e+21
2012.09.15_15:00:00_TAI,18.0,2.376797e+21
2012.09.15_15:12:00_TAI,18.2,2.348118e+21
2012.09.15_15:24:00_TAI,18.4,2.336964e+21
2012.09.15_15:36:00_TAI,18.6,2.287678e+21
2012.09.15_15:48:00_TAI,18.8,2.268030e+21
2012.09.15_16:00:00_TAI,19.0,2.265522e+21
2012.09.15_16:12:00_TAI,19.2,2.230739e+21
2012.09.15_16:24:00_TAI,19.4,2.205823e+21
2012.09.15_16:36:00_TAI,19.6,2.243000e+21
2012.09.15_16:48:00_TAI,19.8,2.259274e+21
2012.09.15_17:00:00_TAI,20.0,2.308172e+21
2012.09.15_17:12:00_TAI,20.2,2.330330e+21
2012.09.15_17:24:00_TAI,20.4,2.353547e+21
2012.09.15_17:36:00_TAI,20.6,2.382706e+21
2012.09.15_17:48:00_TAI,20.8,2.407025e+21
2012.09.15_18:24:00_TAI,21.4,2.380382e+21
2012.09.15_18:36:00_TAI,21.6,2.395244e+21
2012.09.15_18:48:00_TAI,21.8,2.409933e+21
2012.09.15_19:00:00_TAI,22.0,2.426142e+21
2012.09.15_19:12:00_TAI,22.2,2.364258e+21
2012.09.15_19:24:00_TAI,22.4,2.329168e+21
2012.09.15_19:36:00_TAI,22.6,2.250737e+21
2012.09.15_19:48:00_TAI,22.8,2.282253e+21
2012.09.15_20:00:00_TAI,23.0,2.308405e+21
2012.09.15_20:12:00_TAI,23.2,2.297077e+21
2012.09.15_20:24:00_TAI,23.4,2.249307e+21
2012.09.15_20:36:00_TAI,23.6,2.275573e+21
2012.09.15_20:48:00_TAI,23.8,2.290812e+21
2012.09.15_21:00:00_TAI,24.0,2.262859e+21
2012.09.15_21:12:00_TAI,24.2,2.308787e+21
2012.09.15_21:24:00_TAI,24.4,2.286849e+21
2012.09.15_21:36:00_TAI,24.6,2.343575e+21
2012.09.15_21:48:00_TAI,24.8,2.384503e+21
2012.09.15_22:00:00_TAI,25.0,2.317015e+21
2012.09.15_22:12:00_TAI,25.2,2.358200e+21
2012.09.15_22:24:00_TAI,25.4,2.286649e+21
2012.09.15_22:36:00_TAI,25.6,2.290342e+21
2012.09.15_22:48:00_TAI,25.8,2.286786e+21
2012.09.15_23:00:00_TAI,26.0,2.241489e+21
2012.09.15_23:12:00_TAI,26.2,2.308594e+21
2012.09.15_23:24:00_TAI,26.4,2.327219e+21
2012.09.15_23:36:00_TAI,26.6,2.317587e+21
2012.09.15_23:48:00_TAI,26.8,2.308995e+21
2012.09.16_00:00:00_TAI,27.0,2.400729e+21
2012.09.16_00:12:00_TAI,27.2,2.459289e+21
2012.09.16_00:24:00_TAI,27.4,2.528556e+21
2012.09.16_00:36:00_TAI,27.6,2.562389e+21
2012.09.16_00:48:00_TAI,27.8,2.608809e+21
2012.09.16_01:00:00_TAI,28.0,2.626344e+21
2012.09.16_01:12:00_TAI,28.2,2.627372e+21
2012.09.16_01:24:00_TAI,28.4,2.666676e+21
2012.09.16_01:36:00_TAI,28.6,2.703831e+21
2012.09.16_01:48:00_TAI,28.8,2.734075e+21
