true_time,time,unsigned_flux,free energy,potential inversion line flux,area
2013.03.16_23:12:00_TAI,38.0,5.367333e+21,1.612916e+22,2.962,63.356377
2013.03.16_23:24:00_TAI,38.2,5.397934e+21,1.581079e+22,2.956,63.797165
2013.03.16_23:36:00_TAI,38.4,5.414778e+21,1.610672e+22,2.873,66.959389
2013.03.16_23:48:00_TAI,38.6,5.309388e+21,1.551911e+22,2.598,70.882599
2013.03.17_00:00:00_TAI,38.8,5.512982e+21,1.599537e+22,2.820,77.839844
2013.03.17_00:12:00_TAI,39.0,5.573016e+21,1.642749e+22,2.628,80.010193
2013.03.17_01:36:00_TAI,40.4,6.115945e+21,1.739475e+22,2.541,75.896484
2013.03.17_01:48:00_TAI,40.6,6.232426e+21,1.773996e+22,2.826,80.983810
2013.03.17_02:00:00_TAI,40.8,6.356428e+21,1.782661e+22,2.723,82.781982
2013.03.17_02:12:00_TAI,41.0,6.455472e+21,1.810078e+22,2.849,87.771042
2013.03.17_02:24:00_TAI,41.2,6.466032e+21,1.819075e+22,2.632,89.146927
2013.03.17_02:36:00_TAI,41.4,6.723504e+21,1.894190e+22,2.526,92.626038
2013.03.17_02:48:00_TAI,41.6,6.735849e+21,1.885786e+22,2.267,88.611679
2013.03.17_03:00:00_TAI,41.8,6.755412e+21,1.866365e+22,2.405,90.576431
2013.03.17_03:12:00_TAI,42.0,6.985386e+21,1.931090e+22,2.819,91.046608
2013.03.17_03:24:00_TAI,42.2,6.967048e+21,1.942040e+22,2.764,96.147194
2013.03.17_03:36:00_TAI,42.4,7.053956e+21,2.036371e+22,2.831,100.319252
2013.03.17_03:48:00_TAI,42.6,7.127424e+21,2.080535e+22,2.639,103.114891
2013.03.17_04:00:00_TAI,42.8,7.269541e+21,2.124896e+22,2.658,101.929276
2013.03.17_04:12:00_TAI,43.0,7.305793e+21,2.223192e+22,2.653,98.142456
2013.03.17_04:24:00_TAI,43.2,7.322216e+21,2.222824e+22,2.175,97.891502
2013.03.17_04:36:00_TAI,43.4,7.314549e+21,2.269283e+22,2.190,104.550667
2013.03.17_04:48:00_TAI,43.6,7.299081e+21,2.170291e+22,2.645,106.202652
2013.03.17_05:00:00_TAI,43.8,7.247731e+21,2.163329e+22,2.741,107.384377
2013.03.17_05:12:00_TAI,44.0,7.131187e+21,2.197236e+22,2.744,108.344048
2013.03.17_05:24:00_TAI,44.2,6.921747e+21,2.160030e+22,2.477,108.591988
2013.03.17_05:36:00_TAI,44.4,6.846223e+21,2.114091e+22,2.295,101.744286
2013.03.17_05:48:00_TAI,44.6,6.620906e+21,1.982713e+22,2.854,102.250771
2013.03.17_08:36:00_TAI,47.4,7.401384e+21,2.306656e+22,2.174,104.926979
2013.03.17_08:48:00_TAI,47.6,7.403107e+21,2.345625e+22,2.602,106.108337
2013.03.17_09:12:00_TAI,48.0,7.394124e+21,2.405187e+22,2.730,99.836472
2013.03.17_09:24:00_TAI,48.2,7.170696e+21,2.365894e+22,2.664,104.537865
2013.03.17_10:24:00_TAI,49.2,6.268663e+21,2.050706e+22,2.682,104.711105
2013.03.17_10:36:00_TAI,49.4,6.172441e+21,2.030168e+22,2.674,105.625984
2013.03.17_10:48:00_TAI,49.6,6.200310e+21,2.027287e+22,2.665,107.292862
2013.03.17_11:00:00_TAI,49.8,6.174508e+21,1.967704e+22,2.672,111.516235
2013.03.17_11:12:00_TAI,50.0,6.149708e+21,2.018541e+22,2.471,113.176651
2013.03.17_11:24:00_TAI,50.2,6.092789e+21,1.960206e+22,2.742,110.447487
2013.03.17_11:36:00_TAI,50.4,6.181737e+21,1.967439e+22,2.507,116.243317
2013.03.17_11:48:00_TAI,50.6,6.095508e+21,1.970675e+22,2.506,118.676216
2013.03.17_12:00:00_TAI,50.8,6.088651e+21,1.946447e+22,2.852,119.444252
2013.03.17_12:12:00_TAI,51.0,6.234223e+21,2.013413e+22,2.949,123.173805
2013.03.17_12:24:00_TAI,51.2,6.240389e+21,1.990902e+22,2.693,125.609161
2013.03.17_12:36:00_TAI,51.4,6.312424e+21,2.010045e+22,2.695,122.331024
2013.03.17_12:48:00_TAI,51.6,6.223898e+21,2.045150e+22,2.915,129.117081
2013.03.17_13:00:00_TAI,51.8,6.185574e+21,2.064192e+22,2.604,128.099167
2013.03.17_13:12:00_TAI,52.0,6.195701e+21,2.075782e+22,2.773,129.729218
2013.03.17_13:24:00_TAI,52.2,6.245475e+21,2.082649e+22,2.494,134.387619
2013.03.17_13:36:00_TAI,52.4,6.236531e+21,2.082846e+22,2.962,132.936127
2013.03.17_13:48:00_TAI,52.6,6.174868e+21,2.072464e+22,2.917,135.764542
2013.03.17_14:00:00_TAI,52.8,6.175808e+21,2.097300e+22,2.623,132.289047
2013.03.17_14:12:00_TAI,53.0,6.204601e+21,2.120324e+22,2.563,132.150894
2013.03.17_14:24:00_TAI,53.2,6.134731e+21,2.107327e+22,2.374,135.619171
2013.03.17_14:36:00_TAI,53.4,6.191759e+21,2.151143e+22,0.000,143.745224
2013.03.17_14:48:00_TAI,53.6,6.241713e+21,2.202586e+22,2.889,146.958832
2013.03.17_15:00:00_TAI,53.8,6.273982e+21,2.234760e+22,3.217,142.257996
2013.03.17_15:12:00_TAI,54.0,6.435195e+21,2.322824e+22,3.199,140.388443
2013.03.17_15:24:00_TAI,54.2,6.461032e+21,2.366411e+22,3.015,140.062729
2013.03.17_15:36:00_TAI,54.4,6.570040e+21,2.408224e+22,2.945,143.284378
2013.03.17_15:48:00_TAI,54.6,6.677225e+21,2.446575e+22,2.969,142.722488
2013.03.17_16:00:00_TAI,54.8,6.877923e+21,2.545477e+22,3.068,149.468018
2013.03.17_16:12:00_TAI,55.0,7.078183e+21,2.667414e+22,3.124,148.332672
2013.03.17_16:24:00_TAI,55.2,7.117509e+21,2.666651e+22,3.149,147.660522
2013.03.17_16:36:00_TAI,55.4,7.265282e+21,2.675286e+22,3.109,144.988541
2013.03.17_16:48:00_TAI,55.6,7.306160e+21,2.695900e+22,2.998,146.678635
2013.03.17_17:00:00_TAI,55.8,7.315511e+21,2.689080e+22,2.980,146.801178
2013.03.17_17:12:00_TAI,56.0,7.343577e+21,2.720149e+22,3.032,148.295914
2013.03.17_17:24:00_TAI,56.2,7.276966e+21,2.651157e+22,3.091,147.703232
2013.03.17_17:36:00_TAI,56.4,7.170288e+21,2.587834e+22,3.014,147.705460
2013.03.17_17:48:00_TAI,56.6,7.168750e+21,2.542256e+22,2.889,145.035736
2013.03.17_18:24:00_TAI,57.2,6.864311e+21,2.431127e+22,2.925,149.259323
2013.03.17_18:36:00_TAI,57.4,6.771142e+21,2.445769e+22,2.911,147.585205
2013.03.17_18:48:00_TAI,57.6,6.685696e+21,2.425294e+22,2.667,150.581390
2013.03.17_19:00:00_TAI,57.8,6.562984e+21,2.376118e+22,2.285,153.822250
2013.03.17_19:12:00_TAI,58.0,6.421164e+21,2.330150e+22,2.819,154.050507
2013.03.17_19:24:00_TAI,58.2,6.416571e+21,2.370092e+22,0.000,153.110092
2013.03.17_19:36:00_TAI,58.4,6.446469e+21,2.434626e+22,0.000,153.268082
2013.03.17_19:48:00_TAI,58.6,6.530840e+21,2.478416e+22,0.000,153.653961
2013.03.17_20:00:00_TAI,58.8,6.612463e+21,2.535582e+22,2.280,157.759949
2013.03.17_20:12:00_TAI,59.0,6.770506e+21,2.636865e+22,0.000,159.855759
2013.03.17_20:24:00_TAI,59.2,6.983868e+21,2.713376e+22,0.000,162.778214
2013.03.17_20:36:00_TAI,59.4,7.088143e+21,2.776547e+22,0.000,163.496674
2013.03.17_20:48:00_TAI,59.6,7.232628e+21,2.824133e+22,0.000,163.011459
2013.03.17_21:00:00_TAI,59.8,7.372056e+21,2.830175e+22,0.000,163.737534
2013.03.17_21:12:00_TAI,60.0,7.328212e+21,2.817856e+22,0.000,168.062317
2013.03.17_21:24:00_TAI,60.2,7.321931e+21,2.809635e+22,0.000,167.909805
2013.03.17_21:36:00_TAI,60.4,7.347384e+21,2.800760e+22,1.852,169.095749
2013.03.17_21:48:00_TAI,60.6,7.385240e+21,2.776795e+22,0.000,165.480438
2013.03.17_22:00:00_TAI,60.8,7.351804e+21,2.764724e+22,0.000,166.868210
2013.03.17_22:12:00_TAI,61.0,7.320489e+21,2.722842e+22,0.000,169.584366
2013.03.17_22:24:00_TAI,61.2,7.256151e+21,2.767531e+22,1.814,171.697357
2013.03.17_22:36:00_TAI,61.4,7.320873e+21,2.752982e+22,0.000,168.668304
2013.03.17_22:48:00_TAI,61.6,7.183352e+21,2.714306e+22,0.000,172.110367
2013.03.17_23:00:00_TAI,61.8,7.211193e+21,2.732225e+22,0.000,170.919479
2013.03.17_23:12:00_TAI,62.0,7.141209e+21,2.677643e+22,0.000,166.530960
2013.03.17_23:24:00_TAI,62.2,7.077119e+21,2.692154e+22,0.000,170.057968
2013.03.17_23:36:00_TAI,62.4,7.103114e+21,2.718965e+22,0.000,174.556778
