time,unsigned_flux
0.0,9.863906e+18
0.2,2.452391e+19
0.4,3.00703e+19
0.6,5.139368e+19
0.8,6.600791e+19
1.0,1.001306e+20
1.2,1.543171e+20
1.4,1.703172e+20
1.6,2.12246e+20
1.8,2.11841e+20
2.0,2.239901e+20
2.2,2.320725e+20
2.4,2.281399e+20
2.6,3.634516e+20
2.8,3.806049e+20
3.0,3.879884e+20
3.2,4.120298e+20
3.4,3.911015e+20
3.6,4.215616e+20
3.8,4.179396e+20
4.0,4.15044e+20
4.2,4.415279e+20
4.4,4.297387e+20
4.6,4.468916e+20
4.8,4.521248e+20
5.0,4.498402e+20
5.2,4.629901e+20
5.4,4.968334e+20
5.6,5.236988e+20
5.8,5.000098e+20
6.0,5.315914e+20
6.2,6.400447e+20
6.4,6.814529e+20
6.6,6.932251e+20
6.8,7.110181e+20
7.0,7.167843e+20
7.2,7.258644e+20
7.4,7.29625e+20
7.6,7.582397e+20
7.8,7.692905e+20
8.0,7.768747e+20
8.2,7.827739e+20
8.4,7.717272e+20
8.6,7.639424e+20
8.8,7.79038e+20
9.0,8.117121e+20
9.2,8.334196e+20
9.4,8.49923e+20
9.6,8.577687e+20
9.8,8.846267e+20
10.0,9.641897e+20
10.2,9.754834e+20
10.4,9.620036e+20
10.6,9.892271e+20
10.8,1.004542e+21
11.0,1.046867e+21
11.2,1.038013e+21
11.4,1.063982e+21
11.6,1.048545e+21
11.8,1.124038e+21
12.0,1.156112e+21
12.2,1.117047e+21
12.4,1.143416e+21
12.6,1.208969e+21
12.8,1.250217e+21
13.0,1.235996e+21
13.2,1.266127e+21
13.4,1.43176e+21
13.6,1.606066e+21
13.8,1.753109e+21
14.0,1.851674e+21
14.2,1.94256e+21
14.4,2.027557e+21
14.6,2.111856e+21
14.8,2.154837e+21
15.0,2.205468e+21
15.2,2.317697e+21
15.4,2.430931e+21
15.6,2.601993e+21
15.8,2.669705e+21
16.0,2.667091e+21
16.2,2.727535e+21
16.4,2.774729e+21
16.6,2.740561e+21
16.8,2.831756e+21
17.0,2.760985e+21
23.2,3.330353e+21
23.4,3.347798e+21
23.6,3.453167e+21
23.8,3.395131e+21
24.0,3.407412e+21
24.2,3.460445e+21
24.4,3.496839e+21
24.6,3.486122e+21
24.8,3.476907e+21
25.0,3.567542e+21
25.2,3.562829e+21
25.4,3.609255e+21
25.6,3.592583e+21
25.8,3.670697e+21
26.0,3.688128e+21
26.2,3.691377e+21
26.4,3.742799e+21
26.6,3.792615e+21
26.8,3.856761e+21
27.0,3.829488e+21
27.2,3.83367e+21
27.4,3.877859e+21
27.6,3.917911e+21
27.8,3.931228e+21
28.0,4.027341e+21
28.2,4.015247e+21
28.4,4.043314e+21
28.6,4.168601e+21
28.8,4.275234e+21
29.0,4.41499e+21
29.2,4.489909e+21
29.4,4.519875e+21
29.6,4.526853e+21
29.8,4.549328e+21
30.0,4.53089e+21
30.2,4.484658e+21
30.4,4.540494e+21
30.6,4.52771e+21
30.8,4.561157e+21
31.0,4.579205e+21
31.2,4.633347e+21
31.4,4.737657e+21
31.6,4.75504e+21
31.8,4.726574e+21
32.0,4.851982e+21
32.2,4.762792e+21
32.4,4.862212e+21
32.6,4.967836e+21
32.8,5.133634e+21
33.0,5.22598e+21
33.2,5.343447e+21
33.4,5.347037e+21
33.6,5.325409e+21
33.8,5.310353e+21
34.0,5.266095e+21
34.2,5.235965e+21
34.4,5.151094e+21
34.6,5.116124e+21
34.8,5.127658e+21
35.0,5.092014e+21
41.2,4.603468e+21
41.4,4.446376e+21
41.6,4.324857e+21
41.8,4.228715e+21
42.0,4.187847e+21
42.2,4.209929e+21
42.4,4.13056e+21
42.6,4.125778e+21
42.8,4.0287e+21
43.0,4.040572e+21
43.2,3.971506e+21
43.4,3.964562e+21
43.6,3.918344e+21
43.8,3.889726e+21
44.0,3.927072e+21
44.2,3.935172e+21
44.4,3.979499e+21
44.6,4.026482e+21
44.8,3.958098e+21
45.0,3.896041e+21
45.2,3.904105e+21
45.4,3.783117e+21
45.6,3.694394e+21
45.8,3.595483e+21
46.0,3.562008e+21
46.2,3.518026e+21
46.4,3.441438e+21
46.6,3.438874e+21
46.8,3.377401e+21
47.0,3.317802e+21
47.2,3.311213e+21
47.4,3.276633e+21
47.6,3.21396e+21
47.8,3.266557e+21
48.0,3.232277e+21
48.2,3.210071e+21
48.4,3.163022e+21
48.6,3.172169e+21
48.8,3.15874e+21
49.0,3.147012e+21
49.2,3.149118e+21
49.4,3.109029e+21
