time,unsigned_flux
0.0,4.133857e+20
0.2,5.752065e+20
0.4,5.895582e+20
0.6,6.023603e+20
0.8,8.475096e+20
1.0,8.714914e+20
1.2,9.451429e+20
1.4,1.012726e+21
1.6,1.044427e+21
1.8,1.046325e+21
2.0,1.034473e+21
2.2,1.020368e+21
2.4,1.05491e+21
2.6,1.085429e+21
2.8,1.071401e+21
3.0,1.128492e+21
3.2,1.142133e+21
3.4,1.184684e+21
3.6,1.195343e+21
3.8,1.220444e+21
4.0,1.233608e+21
4.2,1.262858e+21
4.4,1.288132e+21
4.6,1.305271e+21
4.8,1.28211e+21
5.0,1.337949e+21
5.2,1.326296e+21
5.4,1.315421e+21
5.6,1.354979e+21
5.8,1.330129e+21
6.0,1.336997e+21
6.2,1.315528e+21
6.4,1.266419e+21
6.6,1.254664e+21
6.8,1.299899e+21
7.0,1.287144e+21
7.2,1.283684e+21
7.4,1.285416e+21
7.6,1.302335e+21
7.8,1.285605e+21
8.0,1.243217e+21
8.2,1.257333e+21
8.4,1.22714e+21
8.6,1.197495e+21
8.8,1.184645e+21
9.0,1.170784e+21
9.2,1.161943e+21
9.4,1.168265e+21
9.6,1.17515e+21
9.8,1.109347e+21
10.0,1.132079e+21
10.2,1.143028e+21
10.4,1.114543e+21
10.6,1.124352e+21
10.8,1.138118e+21
11.0,1.154373e+21
11.2,1.163625e+21
11.4,1.167577e+21
11.6,1.188173e+21
11.8,1.162885e+21
12.0,1.203073e+21
12.2,1.264507e+21
12.4,1.25581e+21
12.6,1.295537e+21
12.8,1.321844e+21
13.0,1.351386e+21
13.2,1.319869e+21
13.4,1.325478e+21
13.6,1.333418e+21
13.8,1.382356e+21
14.0,1.414836e+21
14.2,1.437303e+21
14.4,1.631729e+21
14.6,1.683262e+21
14.8,1.700941e+21
15.0,1.785646e+21
15.2,1.882284e+21
15.4,1.9011e+21
15.6,2.012337e+21
15.8,2.049915e+21
16.0,2.084745e+21
16.2,2.124004e+21
16.4,2.146121e+21
16.6,2.169104e+21
16.8,2.116498e+21
17.0,2.131264e+21
17.2,2.125217e+21
17.4,2.160923e+21
17.6,2.115773e+21
17.8,2.069169e+21
18.0,2.015031e+21
18.2,1.937007e+21
18.4,1.90079e+21
18.6,1.908355e+21
18.8,1.906403e+21
19.0,1.880297e+21
19.2,1.835024e+21
19.4,1.776236e+21
19.6,1.829838e+21
19.8,1.854661e+21
20.0,1.778424e+21
20.2,1.760805e+21
20.4,1.772602e+21
20.6,1.828881e+21
20.8,1.82605e+21
21.0,1.798192e+21
21.2,1.784441e+21
21.4,1.770855e+21
21.6,1.784623e+21
21.8,1.806664e+21
22.0,1.795119e+21
22.2,1.783638e+21
22.4,1.7766e+21
22.6,1.746174e+21
22.8,1.785059e+21
23.0,1.756483e+21
23.2,1.746826e+21
23.4,1.723044e+21
23.6,1.736978e+21
23.8,1.729234e+21
24.0,1.690486e+21
24.2,1.72058e+21
24.4,1.725905e+21
24.6,1.686858e+21
24.8,1.706668e+21
25.0,1.737516e+21
25.2,1.737555e+21
25.4,1.719126e+21
25.6,1.70604e+21
25.8,1.750053e+21
26.0,1.781623e+21
26.2,1.835837e+21
26.4,1.792946e+21
26.6,1.834803e+21
26.8,1.838518e+21
27.0,1.853917e+21
27.2,1.838078e+21
27.4,1.847006e+21
27.6,1.87492e+21
27.8,1.892014e+21
28.0,1.906013e+21
28.2,1.938862e+21
28.4,1.987665e+21
28.6,1.969725e+21
28.8,2.005356e+21
29.0,2.002771e+21
29.2,2.045345e+21
29.4,2.100262e+21
29.6,2.082249e+21
29.8,2.06755e+21
30.0,2.084247e+21
30.2,2.050469e+21
30.4,2.059411e+21
30.6,2.101745e+21
30.8,2.065412e+21
31.0,2.075631e+21
31.2,2.092871e+21
31.4,2.077409e+21
31.6,2.022872e+21
31.8,2.021225e+21
32.0,1.990539e+21
32.2,1.997342e+21
32.4,2.023467e+21
32.6,1.976148e+21
32.8,1.962278e+21
33.0,1.960366e+21
33.2,1.924556e+21
33.4,1.919313e+21
33.6,1.912517e+21
33.8,1.943267e+21
34.0,1.984317e+21
34.2,1.969185e+21
34.4,1.988977e+21
34.6,2.006065e+21
34.8,2.054067e+21
35.0,2.068573e+21
35.2,2.119916e+21
35.4,2.13047e+21
35.6,2.115707e+21
35.8,2.143106e+21
36.0,2.168758e+21
36.2,2.19333e+21
36.4,2.172282e+21
36.6,2.16025e+21
36.8,2.141863e+21
37.0,2.158148e+21
37.2,2.121268e+21
37.4,2.133972e+21
37.6,2.101009e+21
37.8,2.077316e+21
38.0,2.098208e+21
38.2,2.064546e+21
38.4,2.060637e+21
38.6,2.021635e+21
38.8,2.075308e+21
39.0,2.031109e+21
39.2,2.057513e+21
39.4,2.052879e+21
39.6,2.037388e+21
39.8,2.040321e+21
40.0,2.029302e+21
40.2,2.042894e+21
40.4,2.086007e+21
40.6,2.084722e+21
40.8,2.07736e+21
