true_time,time,unsigned_flux
2016.02.12_11:24:00_TAI,0.0,6.704139e+18
2016.02.12_11:36:00_TAI,0.2,2.297475e+20
2016.02.12_11:48:00_TAI,0.4,2.853177e+20
2016.02.12_12:00:00_TAI,0.6,3.248251e+20
2016.02.12_12:12:00_TAI,0.8,3.561330e+20
2016.02.12_12:24:00_TAI,1.0,4.310011e+20
2016.02.12_12:36:00_TAI,1.2,4.796585e+20
2016.02.12_12:48:00_TAI,1.4,8.064278e+20
2016.02.12_13:00:00_TAI,1.6,1.300444e+21
2016.02.12_13:12:00_TAI,1.8,1.386731e+21
2016.02.12_13:24:00_TAI,2.0,1.461711e+21
2016.02.12_13:36:00_TAI,2.2,1.671222e+21
2016.02.12_13:48:00_TAI,2.4,1.747187e+21
2016.02.12_14:00:00_TAI,2.6,1.800441e+21
2016.02.12_14:12:00_TAI,2.8,1.735126e+21
2016.02.12_14:24:00_TAI,3.0,1.799136e+21
2016.02.12_14:36:00_TAI,3.2,1.977315e+21
2016.02.12_14:48:00_TAI,3.4,2.035783e+21
2016.02.12_15:00:00_TAI,3.6,2.071984e+21
2016.02.12_15:12:00_TAI,3.8,2.188790e+21
2016.02.12_15:24:00_TAI,4.0,2.168717e+21
2016.02.12_15:36:00_TAI,4.2,2.179016e+21
2016.02.12_15:48:00_TAI,4.4,2.202783e+21
2016.02.12_16:00:00_TAI,4.6,2.256322e+21
2016.02.12_16:12:00_TAI,4.8,2.241442e+21
2016.02.12_16:24:00_TAI,5.0,2.351407e+21
2016.02.12_16:36:00_TAI,5.2,2.316535e+21
2016.02.12_16:48:00_TAI,5.4,2.380605e+21
2016.02.12_17:00:00_TAI,5.6,2.422799e+21
2016.02.12_17:12:00_TAI,5.8,2.477446e+21
2016.02.12_17:24:00_TAI,6.0,2.504003e+21
2016.02.12_17:36:00_TAI,6.2,2.504555e+21
2016.02.12_17:48:00_TAI,6.4,2.521844e+21
2016.02.12_18:24:00_TAI,7.0,2.495838e+21
2016.02.12_18:36:00_TAI,7.2,2.480566e+21
2016.02.12_18:48:00_TAI,7.4,2.448149e+21
2016.02.12_19:00:00_TAI,7.6,2.404013e+21
2016.02.12_19:12:00_TAI,7.8,2.335086e+21
2016.02.12_19:24:00_TAI,8.0,2.270470e+21
2016.02.12_19:36:00_TAI,8.2,2.292605e+21
2016.02.12_19:48:00_TAI,8.4,2.299471e+21
2016.02.12_20:00:00_TAI,8.6,2.272718e+21
2016.02.12_20:12:00_TAI,8.8,2.297909e+21
2016.02.12_20:24:00_TAI,9.0,2.279368e+21
2016.02.12_20:36:00_TAI,9.2,2.368795e+21
2016.02.12_20:48:00_TAI,9.4,2.370869e+21
2016.02.12_21:00:00_TAI,9.6,2.420168e+21
2016.02.12_21:12:00_TAI,9.8,2.471987e+21
2016.02.12_21:24:00_TAI,10.0,2.506993e+21
2016.02.12_21:36:00_TAI,10.2,2.587828e+21
2016.02.12_21:48:00_TAI,10.4,2.620298e+21
2016.02.12_22:00:00_TAI,10.6,2.647342e+21
2016.02.12_22:12:00_TAI,10.8,2.678147e+21
2016.02.12_22:24:00_TAI,11.0,2.673740e+21
2016.02.12_22:36:00_TAI,11.2,2.716440e+21
2016.02.12_22:48:00_TAI,11.4,2.654859e+21
2016.02.12_23:00:00_TAI,11.6,2.615538e+21
2016.02.12_23:12:00_TAI,11.8,2.594883e+21
2016.02.12_23:24:00_TAI,12.0,2.561878e+21
2016.02.12_23:36:00_TAI,12.2,2.511261e+21
2016.02.12_23:48:00_TAI,12.4,2.511569e+21
2016.02.13_00:00:00_TAI,12.6,2.512747e+21
2016.02.13_00:12:00_TAI,12.8,2.526610e+21
2016.02.13_00:24:00_TAI,13.0,2.484467e+21
2016.02.13_00:36:00_TAI,13.2,2.481882e+21
2016.02.13_00:48:00_TAI,13.4,2.481902e+21
2016.02.13_01:00:00_TAI,13.6,2.444903e+21
2016.02.13_01:12:00_TAI,13.8,2.443111e+21
2016.02.13_01:24:00_TAI,14.0,2.401772e+21
2016.02.13_01:36:00_TAI,14.2,2.348020e+21
2016.02.13_01:48:00_TAI,14.4,2.320791e+21
2016.02.13_02:00:00_TAI,14.6,2.368437e+21
2016.02.13_02:12:00_TAI,14.8,2.424184e+21
2016.02.13_02:24:00_TAI,15.0,2.405134e+21
2016.02.13_02:36:00_TAI,15.2,2.406097e+21
2016.02.13_02:48:00_TAI,15.4,2.414401e+21
2016.02.13_03:00:00_TAI,15.6,2.431420e+21
2016.02.13_03:12:00_TAI,15.8,2.453973e+21
2016.02.13_03:24:00_TAI,16.0,2.446304e+21
2016.02.13_03:36:00_TAI,16.2,2.421524e+21
2016.02.13_03:48:00_TAI,16.4,2.442609e+21
2016.02.13_04:00:00_TAI,16.6,2.476486e+21
2016.02.13_04:12:00_TAI,16.8,2.499755e+21
2016.02.13_04:24:00_TAI,17.0,2.554192e+21
2016.02.13_04:36:00_TAI,17.2,2.505264e+21
2016.02.13_04:48:00_TAI,17.4,2.538028e+21
2016.02.13_05:00:00_TAI,17.6,2.543410e+21
2016.02.13_05:12:00_TAI,17.8,2.494766e+21
2016.02.13_05:24:00_TAI,18.0,2.462755e+21
2016.02.13_05:36:00_TAI,18.2,2.390226e+21
2016.02.13_05:48:00_TAI,18.4,2.320921e+21
2016.02.13_06:24:00_TAI,19.0,2.061193e+21
2016.02.13_06:36:00_TAI,19.2,2.052196e+21
2016.02.13_06:48:00_TAI,19.4,1.984507e+21
2016.02.13_07:00:00_TAI,19.6,2.040933e+21
2016.02.13_07:12:00_TAI,19.8,1.992034e+21
2016.02.13_07:24:00_TAI,20.0,2.001537e+21
2016.02.13_07:36:00_TAI,20.2,1.988334e+21
2016.02.13_07:48:00_TAI,20.4,2.036577e+21
2016.02.13_08:00:00_TAI,20.6,2.116340e+21
2016.02.13_08:12:00_TAI,20.8,2.118960e+21
2016.02.13_08:24:00_TAI,21.0,2.126981e+21
2016.02.13_08:36:00_TAI,21.2,2.140899e+21
2016.02.13_08:48:00_TAI,21.4,2.186611e+21
2016.02.13_09:00:00_TAI,21.6,2.225617e+21
2016.02.13_09:12:00_TAI,21.8,2.209731e+21
2016.02.13_09:24:00_TAI,22.0,2.220722e+21
2016.02.13_09:36:00_TAI,22.2,2.184184e+21
2016.02.13_09:48:00_TAI,22.4,2.149033e+21
2016.02.13_10:00:00_TAI,22.6,2.039617e+21
2016.02.13_10:12:00_TAI,22.8,1.982722e+21
2016.02.13_10:24:00_TAI,23.0,1.913318e+21
2016.02.13_10:36:00_TAI,23.2,1.839267e+21
2016.02.13_10:48:00_TAI,23.4,1.791650e+21
2016.02.13_11:00:00_TAI,23.6,1.688338e+21
2016.02.13_11:12:00_TAI,23.8,1.683520e+21
2016.02.13_11:24:00_TAI,24.0,1.660516e+21
2016.02.13_11:36:00_TAI,24.2,1.651777e+21
2016.02.13_11:48:00_TAI,24.4,1.646041e+21
2016.02.13_12:00:00_TAI,24.6,1.659244e+21
2016.02.13_12:12:00_TAI,24.8,1.667303e+21
2016.02.13_12:24:00_TAI,25.0,1.817570e+21
2016.02.13_12:36:00_TAI,25.2,1.910183e+21
2016.02.13_12:48:00_TAI,25.4,1.998491e+21
2016.02.13_13:00:00_TAI,25.6,2.021837e+21
2016.02.13_13:12:00_TAI,25.8,2.000212e+21
2016.02.13_13:24:00_TAI,26.0,2.002118e+21
2016.02.13_13:36:00_TAI,26.2,1.956448e+21
2016.02.13_13:48:00_TAI,26.4,2.000325e+21
2016.02.13_14:00:00_TAI,26.6,1.967032e+21
2016.02.13_14:12:00_TAI,26.8,1.955294e+21
2016.02.13_14:24:00_TAI,27.0,1.957816e+21
2016.02.13_14:36:00_TAI,27.2,1.939833e+21
2016.02.13_14:48:00_TAI,27.4,1.935829e+21
2016.02.13_15:00:00_TAI,27.6,1.983777e+21
2016.02.13_15:12:00_TAI,27.8,2.009385e+21
2016.02.13_15:24:00_TAI,28.0,2.042029e+21
2016.02.13_15:36:00_TAI,28.2,2.087879e+21
2016.02.13_15:48:00_TAI,28.4,2.083727e+21
2016.02.13_16:00:00_TAI,28.6,2.088680e+21
2016.02.13_16:12:00_TAI,28.8,2.265801e+21
2016.02.13_16:24:00_TAI,29.0,2.380635e+21
2016.02.13_16:36:00_TAI,29.2,2.455044e+21
2016.02.13_16:48:00_TAI,29.4,2.511825e+21
2016.02.13_17:00:00_TAI,29.6,2.687502e+21
