time,unsigned_flux
0.0,6.268408e+20
0.4,8.993035e+20
0.6,1.321793e+21
0.8,1.475367e+21
1.0,1.562798e+21
1.2,1.556413e+21
1.4,1.617522e+21
1.6,1.668381e+21
1.8,1.613551e+21
2.0,1.713595e+21
2.2,1.726089e+21
2.4,1.58435e+21
2.6,1.703053e+21
2.8,1.731897e+21
3.2,1.578505e+21
3.4,1.633011e+21
3.6,1.583309e+21
3.8,1.587023e+21
4.0,1.617432e+21
4.2,1.486703e+21
4.4,1.519447e+21
4.6,1.576996e+21
4.8,1.571721e+21
5.0,1.592955e+21
5.2,1.610395e+21
5.4,1.770868e+21
7.4,1.794189e+21
7.6,1.798248e+21
7.8,1.641428e+21
8.0,1.616487e+21
8.2,1.681373e+21
8.4,1.970746e+21
8.6,1.747975e+21
8.8,1.698083e+21
9.2,1.971469e+21
9.4,1.794924e+21
9.6,1.84883e+21
9.8,1.850149e+21
10.0,1.871595e+21
10.2,1.903813e+21
10.4,1.945465e+21
10.6,1.913964e+21
10.8,1.905362e+21
11.0,2.013447e+21
11.2,1.986649e+21
11.4,2.010171e+21
11.6,1.955998e+21
11.8,1.933609e+21
12.0,1.98914e+21
12.2,2.009178e+21
12.4,1.935586e+21
12.6,1.911617e+21
12.8,1.95026e+21
13.0,1.906151e+21
13.2,1.8833e+21
13.4,1.832781e+21
13.6,1.777222e+21
13.8,1.811859e+21
14.0,1.791847e+21
14.2,1.801371e+21
14.4,1.770574e+21
14.6,1.739652e+21
14.8,1.652485e+21
15.0,1.669573e+21
15.2,1.600561e+21
15.4,1.553168e+21
15.6,1.587161e+21
15.8,1.609695e+21
16.0,1.521065e+21
16.2,1.546099e+21
16.4,1.565084e+21
16.6,1.606726e+21
16.8,1.60443e+21
17.0,1.655358e+21
17.2,1.613357e+21
17.4,1.598378e+21
17.6,1.601356e+21
17.8,1.528916e+21
18.0,1.499299e+21
18.2,1.488527e+21
18.4,1.41737e+21
18.6,1.339601e+21
18.8,1.396012e+21
19.0,1.310596e+21
19.2,1.305496e+21
19.4,1.277609e+21
19.6,1.279249e+21
19.8,1.229988e+21
20.0,1.212053e+21
20.2,1.243491e+21
20.4,1.204325e+21
20.6,1.210645e+21
20.8,1.207611e+21
21.0,1.202227e+21
21.2,1.190769e+21
21.4,1.23991e+21
21.6,1.263625e+21
21.8,1.271157e+21
22.0,1.277821e+21
22.2,1.257506e+21
22.4,1.220016e+21
22.6,1.209283e+21
22.8,1.196425e+21
23.0,1.211477e+21
23.2,1.184243e+21
23.4,1.196441e+21
23.6,1.184036e+21
23.8,1.161131e+21
24.0,1.182537e+21
24.2,1.151075e+21
24.4,1.176013e+21
24.6,1.192839e+21
24.8,1.189666e+21
25.0,1.161225e+21
25.2,1.144473e+21
25.4,1.166606e+21
25.6,1.179695e+21
25.8,1.178796e+21
26.0,1.145801e+21
26.2,1.122273e+21
26.4,1.083549e+21
26.6,1.103957e+21
26.8,1.087144e+21
27.0,1.087134e+21
27.2,1.076589e+21
27.4,1.075656e+21
27.6,1.056312e+21
27.8,1.055814e+21
28.0,1.044004e+21
28.2,1.040292e+21
28.4,1.029569e+21
28.6,9.964065e+20
28.8,1.008817e+21
29.0,1.043443e+21
29.2,1.02823e+21
31.2,1.158149e+21
31.4,1.092588e+21
31.6,1.041928e+21
31.8,9.49092e+20
32.0,9.297626e+20
32.2,9.179962e+20
32.4,1.034857e+21
32.6,8.621097e+20
33.2,8.960106e+20
33.4,8.850122e+20
33.6,8.738257e+20
33.8,8.664001e+20
34.0,8.626919e+20
34.2,8.197503e+20
34.4,8.535197e+20
34.6,8.371086e+20
34.8,8.135274e+20
35.0,8.593398e+20
35.2,8.553922e+20
35.4,8.439407e+20
35.6,8.457216e+20
35.8,8.151371e+20
36.0,8.313711e+20
36.2,8.071665e+20
36.4,8.10224e+20
36.6,8.090217e+20
36.8,7.960552e+20
37.0,7.882099e+20
37.2,7.821601e+20
37.4,7.572038e+20
37.6,7.490023e+20
37.8,7.659375e+20
38.0,7.514392e+20
42.8,5.97226e+20
43.8,4.785728e+20
44.0,4.636303e+20
44.2,4.622432e+20
44.4,4.596455e+20
44.6,4.773546e+20
44.8,4.754626e+20
45.6,5.223301e+20
45.8,5.289299e+20
46.0,5.031934e+20
46.4,5.554845e+20
46.6,5.66558e+20
46.8,6.017757e+20
47.0,6.009178e+20
47.2,6.571417e+20
47.4,6.834086e+20
47.6,6.888954e+20
47.8,7.166991e+20
48.0,7.228584e+20
48.2,7.463611e+20
48.4,7.670998e+20
48.6,7.959712e+20
48.8,8.087407e+20
49.0,8.272229e+20
49.2,8.160368e+20
49.4,8.355329e+20
49.6,8.365148e+20
49.8,8.339292e+20
50.0,8.210666e+20
50.2,7.983891e+20
50.4,7.948491e+20
50.6,7.998424e+20
