true_time,time,unsigned_flux,free energy,potential inversion line flux,area
2016.01.01_14:12:00_TAI,6.0,2.319247e+21,7.613651e+21,2.993,36.877518
2016.01.01_14:24:00_TAI,6.2,2.368685e+21,7.893045e+21,2.992,38.133236
2016.01.01_14:36:00_TAI,6.4,2.438270e+21,8.395438e+21,3.051,44.385727
2016.01.01_14:48:00_TAI,6.6,2.474008e+21,8.670359e+21,3.058,41.354927
2016.01.01_15:00:00_TAI,6.8,2.488059e+21,8.405934e+21,3.000,41.026764
2016.01.01_15:12:00_TAI,7.0,2.491887e+21,8.529785e+21,2.995,42.047215
2016.01.01_15:24:00_TAI,7.2,2.495962e+21,8.474466e+21,2.948,42.382462
2016.01.01_15:36:00_TAI,7.4,2.613040e+21,8.989958e+21,2.689,42.078163
2016.01.01_15:48:00_TAI,7.6,2.616247e+21,9.169049e+21,2.557,42.153046
2016.01.01_16:00:00_TAI,7.8,2.660133e+21,9.301833e+21,2.568,45.317436
2016.01.01_16:12:00_TAI,8.0,2.719610e+21,9.302969e+21,3.052,48.765209
2016.01.01_16:24:00_TAI,8.2,3.031322e+21,1.010255e+22,3.060,54.447365
2016.01.01_16:36:00_TAI,8.4,3.060862e+21,9.996588e+21,3.227,54.120853
2016.01.01_16:48:00_TAI,8.6,3.159998e+21,1.055750e+22,3.230,55.650455
2016.01.01_17:00:00_TAI,8.8,3.255857e+21,1.099841e+22,3.209,62.546127
2016.01.01_17:12:00_TAI,9.0,3.515484e+21,1.159183e+22,3.090,71.513474
2016.01.01_17:24:00_TAI,9.2,3.623803e+21,1.201099e+22,3.096,62.166683
2016.01.01_17:36:00_TAI,9.4,3.706706e+21,1.229847e+22,3.107,63.432198
2016.01.01_17:48:00_TAI,9.6,3.793371e+21,1.275255e+22,3.160,62.833538
2016.01.01_18:24:00_TAI,10.2,3.906283e+21,1.352008e+22,3.210,64.080811
2016.01.01_18:36:00_TAI,10.4,3.922776e+21,1.358181e+22,3.214,63.484005
2016.01.01_18:48:00_TAI,10.6,3.987046e+21,1.333432e+22,3.218,62.032398
2016.01.01_19:00:00_TAI,10.8,3.933617e+21,1.281690e+22,3.292,61.886955
2016.01.01_19:12:00_TAI,11.0,3.962617e+21,1.264991e+22,3.283,57.815708
2016.01.01_19:24:00_TAI,11.2,3.941693e+21,1.228859e+22,3.253,60.436871
2016.01.01_19:36:00_TAI,11.4,3.888973e+21,1.187486e+22,3.247,59.157440
2016.01.01_19:48:00_TAI,11.6,3.857658e+21,1.279434e+22,3.233,64.390060
