true_time,time,unsigned_flux
2012.09.26_01:36:00_TAI,37.8,1.004118e+22
2012.09.26_01:48:00_TAI,38.0,1.009121e+22
2012.09.26_02:00:00_TAI,38.2,1.008995e+22
2012.09.26_02:12:00_TAI,38.4,1.012281e+22
2012.09.26_02:24:00_TAI,38.6,1.014316e+22
2012.09.26_02:36:00_TAI,38.8,9.915095e+21
2012.09.26_02:48:00_TAI,39.0,9.856569e+21
2012.09.26_03:00:00_TAI,39.2,9.871635e+21
2012.09.26_03:12:00_TAI,39.4,9.681410e+21
2012.09.26_03:24:00_TAI,39.6,9.533562e+21
2012.09.26_03:36:00_TAI,39.8,9.376981e+21
2012.09.26_03:48:00_TAI,40.0,9.227310e+21
2012.09.26_04:00:00_TAI,40.2,9.305070e+21
2012.09.26_04:12:00_TAI,40.4,9.100977e+21
2012.09.26_04:24:00_TAI,40.6,9.018757e+21
2012.09.26_04:36:00_TAI,40.8,8.988476e+21
2012.09.26_04:48:00_TAI,41.0,8.926101e+21
2012.09.26_05:00:00_TAI,41.2,8.840184e+21
2012.09.26_05:12:00_TAI,41.4,9.002803e+21
2012.09.26_05:24:00_TAI,41.6,8.980017e+21
2012.09.26_05:36:00_TAI,41.8,9.177694e+21
2012.09.26_05:48:00_TAI,42.0,9.251490e+21
2012.09.26_08:00:00_TAI,44.2,9.208047e+21
2012.09.26_08:36:00_TAI,44.8,8.779596e+21
2012.09.26_09:12:00_TAI,45.4,8.482247e+21
2012.09.26_09:24:00_TAI,45.6,8.545423e+21
2012.09.26_10:00:00_TAI,46.2,8.821993e+21
2012.09.26_10:12:00_TAI,46.4,8.669505e+21
2012.09.26_10:24:00_TAI,46.6,8.775058e+21
2012.09.26_10:36:00_TAI,46.8,8.670372e+21
2012.09.26_10:48:00_TAI,47.0,8.756394e+21
2012.09.26_11:00:00_TAI,47.2,8.605328e+21
2012.09.26_11:12:00_TAI,47.4,8.728727e+21
2012.09.26_11:24:00_TAI,47.6,8.755526e+21
2012.09.26_11:36:00_TAI,47.8,8.698839e+21
2012.09.26_11:48:00_TAI,48.0,8.634808e+21
2012.09.26_13:24:00_TAI,49.6,8.653129e+21
2012.09.26_13:36:00_TAI,49.8,8.615571e+21
2012.09.26_13:48:00_TAI,50.0,8.538185e+21
2012.09.26_14:00:00_TAI,50.2,8.541741e+21
2012.09.26_14:12:00_TAI,50.4,8.476683e+21
2012.09.26_14:24:00_TAI,50.6,8.410290e+21
2012.09.26_14:36:00_TAI,50.8,8.291986e+21
2012.09.26_14:48:00_TAI,51.0,8.274401e+21
2012.09.26_15:00:00_TAI,51.2,8.076358e+21
2012.09.26_15:12:00_TAI,51.4,8.058149e+21
2012.09.26_15:24:00_TAI,51.6,7.968260e+21
2012.09.26_15:36:00_TAI,51.8,7.849036e+21
2012.09.26_15:48:00_TAI,52.0,7.695785e+21
2012.09.26_16:00:00_TAI,52.2,7.725353e+21
2012.09.26_16:12:00_TAI,52.4,7.728813e+21
2012.09.26_16:24:00_TAI,52.6,7.754581e+21
2012.09.26_16:36:00_TAI,52.8,7.796249e+21
2012.09.26_16:48:00_TAI,53.0,7.858374e+21
2012.09.26_17:00:00_TAI,53.2,8.046938e+21
2012.09.26_17:12:00_TAI,53.4,8.069600e+21
