true_time,time,unsigned_flux
2011.11.08_05:24:00_TAI,54.2,7.008576e+21
2011.11.08_05:36:00_TAI,54.4,7.046391e+21
2011.11.08_05:48:00_TAI,54.6,7.069408e+21
2011.11.08_06:24:00_TAI,55.2,7.301051e+21
2011.11.08_06:36:00_TAI,55.4,7.374912e+21
2011.11.08_06:48:00_TAI,55.6,7.297879e+21
2011.11.08_07:00:00_TAI,55.8,7.336310e+21
2011.11.08_07:12:00_TAI,56.0,7.279358e+21
2011.11.08_07:24:00_TAI,56.2,7.151758e+21
2011.11.08_07:36:00_TAI,56.4,7.099648e+21
2011.11.08_07:48:00_TAI,56.6,6.912309e+21
2011.11.08_08:00:00_TAI,56.8,6.848864e+21
2011.11.08_08:12:00_TAI,57.0,6.864029e+21
2011.11.08_08:24:00_TAI,57.2,6.700308e+21
2011.11.08_08:36:00_TAI,57.4,6.698235e+21
2011.11.08_08:48:00_TAI,57.6,6.631795e+21
2011.11.08_09:00:00_TAI,57.8,6.596633e+21
2011.11.08_09:12:00_TAI,58.0,6.706106e+21
2011.11.08_09:24:00_TAI,58.2,6.675068e+21
2011.11.08_09:36:00_TAI,58.4,6.604913e+21
2011.11.08_09:48:00_TAI,58.6,6.545675e+21
2011.11.08_10:00:00_TAI,58.8,6.584738e+21
2011.11.08_10:12:00_TAI,59.0,6.603170e+21
2011.11.08_10:24:00_TAI,59.2,6.567747e+21
2011.11.08_10:36:00_TAI,59.4,6.470102e+21
2011.11.08_10:48:00_TAI,59.6,6.513579e+21
2011.11.08_11:00:00_TAI,59.8,6.467112e+21
2011.11.08_11:12:00_TAI,60.0,6.809874e+21
2011.11.08_11:24:00_TAI,60.2,6.843051e+21
2011.11.08_11:36:00_TAI,60.4,6.927353e+21
2011.11.08_11:48:00_TAI,60.6,6.972524e+21
2011.11.08_12:00:00_TAI,60.8,6.942194e+21
2011.11.08_12:12:00_TAI,61.0,6.945262e+21
2011.11.08_12:24:00_TAI,61.2,6.956079e+21
2011.11.08_12:36:00_TAI,61.4,7.021846e+21
2011.11.08_12:48:00_TAI,61.6,7.217933e+21
2011.11.08_13:00:00_TAI,61.8,7.222848e+21
2011.11.08_13:12:00_TAI,62.0,7.246138e+21
2011.11.08_13:24:00_TAI,62.2,7.237444e+21
2011.11.08_13:36:00_TAI,62.4,7.218879e+21
2011.11.08_13:48:00_TAI,62.6,7.227293e+21
2011.11.08_14:00:00_TAI,62.8,7.553398e+21
2011.11.08_14:12:00_TAI,63.0,7.521807e+21
2011.11.08_14:24:00_TAI,63.2,7.667057e+21
2011.11.08_14:36:00_TAI,63.4,7.786989e+21
2011.11.08_14:48:00_TAI,63.6,7.871877e+21
2011.11.08_15:00:00_TAI,63.8,8.011613e+21
2011.11.08_15:12:00_TAI,64.0,8.041081e+21
2011.11.08_15:24:00_TAI,64.2,8.187236e+21
2011.11.08_15:36:00_TAI,64.4,8.265767e+21
2011.11.08_15:48:00_TAI,64.6,8.361273e+21
2011.11.08_16:00:00_TAI,64.8,8.629780e+21
2011.11.08_16:12:00_TAI,65.0,8.521505e+21
2011.11.08_16:24:00_TAI,65.2,8.522503e+21
2011.11.08_16:36:00_TAI,65.4,8.550048e+21
2011.11.08_16:48:00_TAI,65.6,8.556757e+21
2011.11.08_17:00:00_TAI,65.8,8.528578e+21
2011.11.08_17:24:00_TAI,66.2,8.497953e+21
2011.11.08_17:36:00_TAI,66.4,8.458893e+21
2011.11.08_17:48:00_TAI,66.6,8.162566e+21
2011.11.08_18:24:00_TAI,67.2,8.235909e+21
2011.11.08_18:36:00_TAI,67.4,8.229737e+21
2011.11.08_18:48:00_TAI,67.6,8.238494e+21
2011.11.08_19:00:00_TAI,67.8,8.110420e+21
2011.11.08_19:12:00_TAI,68.0,7.988777e+21
2011.11.08_19:24:00_TAI,68.2,8.085978e+21
2011.11.08_19:36:00_TAI,68.4,8.162118e+21
2011.11.08_19:48:00_TAI,68.6,8.216530e+21
2011.11.08_20:00:00_TAI,68.8,8.474194e+21
