time,unsigned_flux
0.0,0.000000e+00
0.2,1.988873e+20
0.4,2.524544e+20
0.6,2.864831e+20
0.8,3.665395e+20
1.0,4.052771e+20
1.2,4.242361e+20
1.4,4.337427e+20
1.6,4.257679e+20
1.8,5.333684e+20
2.0,6.111024e+20
2.2,6.836075e+20
2.4,7.233797e+20
2.6,9.044781e+20
2.8,9.554670e+20
3.0,9.848769e+20
3.2,9.888338e+20
3.4,1.012946e+21
3.6,1.236092e+21
3.8,1.258296e+21
4.0,1.292959e+21
4.2,1.326745e+21
4.4,1.351815e+21
4.6,1.632936e+21
5.0,1.352859e+21
5.2,1.314071e+21
5.4,1.351436e+21
5.6,1.334250e+21
5.8,1.367912e+21
6.0,1.347337e+21
6.2,1.324329e+21
6.4,1.330939e+21
6.6,1.341220e+21
6.8,1.320051e+21
7.0,1.307190e+21
7.2,1.339526e+21
7.4,1.312023e+21
7.6,1.346627e+21
7.8,1.305442e+21
8.0,1.304022e+21
8.2,1.296493e+21
8.4,1.268797e+21
8.6,1.253579e+21
8.8,1.194949e+21
9.0,1.166690e+21
9.2,1.156453e+21
9.4,1.180580e+21
9.6,1.147121e+21
9.8,1.077787e+21
10.0,1.081065e+21
10.2,1.034203e+21
10.4,1.039377e+21
10.6,1.000779e+21
10.8,1.010929e+21
11.0,9.743039e+20
11.6,9.591268e+20
11.8,9.723372e+20
12.0,9.739924e+20
12.2,9.603090e+20
12.4,1.014889e+21
12.6,9.985623e+20
12.8,1.023552e+21
13.0,1.073299e+21
13.2,1.089694e+21
13.4,1.074048e+21
13.6,1.088998e+21
13.8,1.249212e+21
14.0,1.261053e+21
14.2,1.283227e+21
14.4,1.336190e+21
14.6,1.319203e+21
14.8,1.323210e+21
15.0,1.363230e+21
15.2,1.396276e+21
15.4,1.399756e+21
15.6,1.405516e+21
15.8,1.447535e+21
16.0,1.395959e+21
16.2,1.391084e+21
16.4,1.379807e+21
16.6,1.387821e+21
16.8,1.409480e+21
17.0,1.384659e+21
17.2,1.376261e+21
17.4,1.296042e+21
17.6,1.303651e+21
17.8,1.297565e+21
18.0,1.286438e+21
18.2,1.316833e+21
18.4,1.326934e+21
18.6,1.288692e+21
18.8,1.312107e+21
19.0,1.273648e+21
19.2,1.298823e+21
19.4,1.286099e+21
19.6,1.392746e+21
19.8,1.399000e+21
20.0,1.416460e+21
20.2,1.434355e+21
20.4,1.454718e+21
20.6,1.516118e+21
20.8,1.577522e+21
21.0,1.648282e+21
21.2,1.695134e+21
21.4,1.739914e+21
21.6,1.761208e+21
21.8,1.752973e+21
22.0,1.734037e+21
22.2,1.744924e+21
22.4,1.752738e+21
22.6,1.688891e+21
22.8,1.712028e+21
23.0,1.714169e+21
23.6,1.700903e+21
23.8,1.724206e+21
24.0,1.686223e+21
24.2,1.668677e+21
24.4,1.607363e+21
24.6,1.567686e+21
24.8,1.528868e+21
25.0,1.471274e+21
25.2,1.461464e+21
25.4,1.401429e+21
25.6,1.333539e+21
25.8,1.302057e+21
26.0,1.277301e+21
26.2,1.289019e+21
26.4,1.277530e+21
26.6,1.273522e+21
26.8,1.274875e+21
27.0,1.294509e+21
27.2,1.354657e+21
27.4,1.373245e+21
27.6,1.414632e+21
27.8,1.422063e+21
28.0,1.467334e+21
28.2,1.506241e+21
28.4,1.525408e+21
28.6,1.487752e+21
28.8,1.490900e+21
29.0,1.528770e+21
29.6,1.470901e+21
29.8,1.462655e+21
30.0,1.453091e+21
30.2,1.478734e+21
30.4,1.410611e+21
30.6,1.383661e+21
30.8,1.440071e+21
31.0,1.404479e+21
31.2,1.407040e+21
31.4,1.388219e+21
31.6,1.384513e+21
31.8,1.434744e+21
32.0,1.457739e+21
32.2,1.450253e+21
32.4,1.420246e+21
32.6,1.451688e+21
32.8,1.409698e+21
33.0,1.356602e+21
33.2,1.370622e+21
33.4,1.285127e+21
33.6,1.254460e+21
33.8,1.258147e+21
34.0,1.158044e+21
34.2,1.133738e+21
34.4,1.100515e+21
34.6,1.077499e+21
34.8,1.012731e+21
35.0,9.695051e+20
35.6,9.251161e+20
35.8,9.488657e+20
36.0,9.601116e+20
36.2,9.682545e+20
36.4,1.006780e+21
36.6,1.023846e+21
36.8,1.017901e+21
37.0,1.018911e+21
37.2,1.056504e+21
37.4,1.099146e+21
37.6,1.132281e+21
37.8,1.150889e+21
38.0,1.187895e+21
38.2,1.218349e+21
38.4,1.228604e+21
38.6,1.313998e+21
38.8,1.272981e+21
39.0,1.273608e+21
39.2,1.313376e+21
39.4,1.310587e+21
39.6,1.323165e+21
39.8,1.330205e+21
40.0,1.323686e+21
40.2,1.332988e+21
40.4,1.326823e+21
40.6,1.345932e+21
40.8,1.324516e+21
41.0,1.340414e+21
41.2,1.377464e+21
41.4,1.376310e+21
41.6,1.310315e+21
41.8,1.362121e+21
42.0,1.348712e+21
42.2,1.352706e+21
42.4,1.313846e+21
42.6,1.317946e+21
42.8,1.322523e+21
43.0,1.306202e+21
43.2,1.312666e+21
43.4,1.269497e+21
43.6,1.330336e+21
43.8,1.352807e+21
44.0,1.343764e+21
44.2,1.363868e+21
44.4,1.344211e+21
44.6,1.382189e+21
44.8,1.342353e+21
45.0,1.399991e+21
