time,unsigned_flux
0.0,7.260385e+20
0.2,8.451668e+20
0.4,9.046142e+20
0.6,9.020297e+20
0.8,1.003601e+21
1.0,9.644898e+20
1.2,9.637402e+20
1.4,1.003784e+21
1.6,9.275042e+20
1.8,9.844598e+20
2.0,9.368776e+20
2.2,1.070089e+21
2.4,1.045226e+21
2.6,9.770343e+20
2.8,1.117468e+21
3.0,1.038818e+21
3.2,1.050578e+21
3.4,1.083248e+21
3.6,1.117494e+21
3.8,1.11131e+21
4.0,1.14828e+21
4.2,1.093957e+21
4.4,1.08559e+21
4.6,1.122669e+21
4.8,1.097332e+21
5.0,1.062354e+21
5.2,1.097753e+21
5.4,1.078556e+21
5.6,1.03437e+21
5.8,9.668848e+20
6.0,9.428045e+20
6.2,9.920182e+20
6.4,1.117971e+21
6.6,9.434485e+20
6.8,9.299938e+20
7.0,9.330105e+20
7.2,9.762193e+20
7.4,1.008152e+21
7.6,9.989185e+20
7.8,9.805692e+20
8.0,1.025443e+21
8.2,9.90946e+20
8.4,1.018929e+21
8.6,9.812686e+20
8.8,1.043729e+21
9.0,1.050423e+21
9.2,1.034787e+21
9.4,1.068099e+21
9.6,1.195762e+21
9.8,1.236908e+21
10.0,1.279901e+21
10.2,1.35228e+21
10.4,1.279262e+21
10.6,1.345834e+21
10.8,1.294471e+21
11.0,1.384517e+21
11.2,1.446208e+21
11.4,1.463373e+21
11.6,1.490064e+21
11.8,1.641121e+21
12.0,1.705683e+21
12.2,1.709521e+21
12.4,1.761221e+21
12.6,1.723272e+21
12.8,1.74606e+21
13.0,1.743751e+21
13.2,1.722796e+21
13.4,1.672456e+21
13.6,1.69892e+21
13.8,1.747553e+21
14.0,1.68822e+21
14.2,1.669373e+21
14.4,1.679263e+21
14.6,1.681726e+21
14.8,1.588965e+21
15.0,1.63905e+21
15.2,1.600813e+21
15.4,1.604659e+21
15.6,1.657905e+21
15.8,1.657434e+21
16.0,1.638032e+21
16.2,1.646967e+21
16.4,1.628016e+21
16.6,1.655852e+21
16.8,1.672548e+21
17.0,1.7865e+21
17.2,1.707658e+21
17.4,1.716977e+21
17.6,1.763743e+21
17.8,1.775576e+21
18.0,1.829134e+21
18.2,1.9034e+21
18.4,1.956032e+21
18.6,1.989247e+21
18.8,1.999206e+21
19.0,2.057382e+21
19.2,2.084118e+21
19.4,2.071217e+21
