true_time,time,unsigned_flux
2012.09.16_16:36:00_TAI,35.2,3.481116e+21
2012.09.16_16:48:00_TAI,35.4,3.467124e+21
2012.09.16_17:00:00_TAI,35.6,3.483534e+21
2012.09.16_17:12:00_TAI,35.8,3.466055e+21
2012.09.16_17:24:00_TAI,36.0,3.487434e+21
2012.09.16_17:36:00_TAI,36.2,3.595105e+21
2012.09.16_17:48:00_TAI,36.4,3.701175e+21
2012.09.16_18:24:00_TAI,37.0,3.709453e+21
2012.09.16_18:36:00_TAI,37.2,3.670777e+21
2012.09.16_18:48:00_TAI,37.4,3.580667e+21
2012.09.16_19:00:00_TAI,37.6,3.554054e+21
2012.09.16_19:12:00_TAI,37.8,3.530501e+21
2012.09.16_19:24:00_TAI,38.0,3.555178e+21
2012.09.16_19:36:00_TAI,38.2,3.529852e+21
2012.09.16_19:48:00_TAI,38.4,3.546579e+21
2012.09.16_20:00:00_TAI,38.6,3.505177e+21
2012.09.16_20:12:00_TAI,38.8,3.548739e+21
2012.09.16_20:24:00_TAI,39.0,3.556303e+21
2012.09.16_20:36:00_TAI,39.2,3.554203e+21
2012.09.16_20:48:00_TAI,39.4,3.627402e+21
2012.09.16_21:00:00_TAI,39.6,3.598976e+21
2012.09.16_21:12:00_TAI,39.8,3.656800e+21
2012.09.16_21:24:00_TAI,40.0,3.685097e+21
2012.09.16_21:36:00_TAI,40.2,3.858562e+21
2012.09.16_21:48:00_TAI,40.4,3.895062e+21
2012.09.16_22:00:00_TAI,40.6,3.974851e+21
2012.09.16_22:12:00_TAI,40.8,4.049841e+21
2012.09.16_22:24:00_TAI,41.0,4.146759e+21
2012.09.16_22:36:00_TAI,41.2,4.119336e+21
2012.09.16_22:48:00_TAI,41.4,4.221699e+21
2012.09.16_23:00:00_TAI,41.6,4.184394e+21
2012.09.16_23:12:00_TAI,41.8,4.235585e+21
2012.09.17_23:24:00_TAI,66.0,8.638439e+21
2012.09.17_23:36:00_TAI,66.2,8.745004e+21
2012.09.17_23:48:00_TAI,66.4,8.727121e+21
2012.09.18_00:00:00_TAI,66.6,8.871041e+21
2012.09.18_00:12:00_TAI,66.8,8.914246e+21
2012.09.18_00:24:00_TAI,67.0,9.004565e+21
2012.09.18_00:36:00_TAI,67.2,8.936881e+21
