time,unsigned_flux
0.0,9.973089e+19
0.2,2.144046e+21
0.4,2.298537e+21
0.6,2.386083e+21
0.8,2.495341e+21
1.0,2.618752e+21
1.2,2.598413e+21
1.4,2.662589e+21
1.6,2.744849e+21
1.8,2.774289e+21
2.0,2.854587e+21
2.2,2.800715e+21
2.4,2.771429e+21
2.6,2.774304e+21
2.8,2.789702e+21
3.0,2.855787e+21
3.2,2.760815e+21
3.4,2.828653e+21
3.6,2.821597e+21
3.8,2.85093e+21
4.0,2.884891e+21
4.2,2.925774e+21
4.4,3.017373e+21
4.6,3.151177e+21
4.8,3.191263e+21
5.0,3.236021e+21
5.2,3.174087e+21
5.4,3.174297e+21
5.6,3.312394e+21
5.8,3.438721e+21
6.0,3.587833e+21
6.2,3.620622e+21
6.4,3.629973e+21
6.6,3.686067e+21
6.8,3.798373e+21
7.0,3.838298e+21
7.2,3.864825e+21
7.4,3.900693e+21
7.6,3.838802e+21
7.8,3.862449e+21
8.0,3.877204e+21
8.6,3.751259e+21
8.8,3.709412e+21
9.0,3.75048e+21
9.2,3.669299e+21
9.4,3.721764e+21
9.6,3.810341e+21
9.8,3.951703e+21
10.0,4.083772e+21
10.2,4.191875e+21
10.4,4.254198e+21
10.6,4.408981e+21
10.8,4.448247e+21
11.0,4.589147e+21
11.2,4.66794e+21
11.4,4.69913e+21
11.6,4.755691e+21
11.8,4.764924e+21
12.0,4.717386e+21
12.2,4.762331e+21
12.4,4.744675e+21
12.6,4.75453e+21
12.8,4.746853e+21
13.0,4.76278e+21
13.2,4.776719e+21
13.4,4.788131e+21
13.6,4.821005e+21
13.8,4.789073e+21
14.0,4.799799e+21
14.2,4.925557e+21
14.4,5.115405e+21
14.6,5.172042e+21
14.8,5.126493e+21
15.0,5.08745e+21
15.2,5.18024e+21
15.4,5.134133e+21
15.6,5.141256e+21
15.8,5.156807e+21
16.0,5.215683e+21
16.2,5.18194e+21
16.4,5.09599e+21
16.6,4.985463e+21
16.8,5.020521e+21
17.0,4.988394e+21
17.2,4.842378e+21
17.4,4.741415e+21
17.6,4.596408e+21
17.8,4.649028e+21
18.0,4.540884e+21
18.2,4.492744e+21
18.4,4.524237e+21
18.6,4.587148e+21
18.8,4.568579e+21
19.0,4.665557e+21
19.2,4.656443e+21
21.4,4.876907e+21
21.8,4.586996e+21
22.0,4.50165e+21
22.2,4.446128e+21
