time,unsigned_flux
0.0,0.0
0.2,0.0
0.4,0.0
0.6,0.0
0.8,0.0
1.0,3.851491e+19
1.2,5.435412e+19
1.4,1.541669e+20
1.6,1.908758e+20
1.8,2.095542e+20
2.0,2.356041e+20
2.2,4.224264e+20
2.4,4.503833e+20
2.6,5.124768e+20
2.8,7.10578e+20
3.0,7.667323e+20
3.2,9.557479e+20
3.4,9.748918e+20
3.6,1.120143e+21
3.8,1.252235e+21
4.0,1.431995e+21
4.2,1.644983e+21
4.4,1.917892e+21
4.6,1.967732e+21
4.8,2.093112e+21
5.0,2.274928e+21
5.2,2.183449e+21
5.4,2.268998e+21
5.6,2.344652e+21
5.8,2.420453e+21
6.0,2.477448e+21
6.2,2.521477e+21
6.4,2.564879e+21
6.6,2.582678e+21
6.8,2.620506e+21
7.0,2.64654e+21
7.2,2.810943e+21
7.4,2.559302e+21
7.6,2.778173e+21
7.8,2.856594e+21
8.0,2.698353e+21
8.2,2.671046e+21
8.4,2.777633e+21
8.6,2.684576e+21
8.8,2.570713e+21
9.0,2.682785e+21
9.2,2.651829e+21
9.4,2.570524e+21
9.6,2.446573e+21
9.8,2.273378e+21
10.0,2.342245e+21
10.2,2.152271e+21
10.4,2.182217e+21
10.6,2.112368e+21
10.8,2.11812e+21
11.0,2.104675e+21
11.2,2.187268e+21
11.4,2.299007e+21
11.6,2.502675e+21
11.8,2.506767e+21
12.0,2.649759e+21
12.2,2.778213e+21
12.4,2.703299e+21
12.6,2.755995e+21
12.8,2.932322e+21
13.0,3.223186e+21
13.2,3.494519e+21
13.4,3.938657e+21
13.6,4.462796e+21
13.8,5.229321e+21
14.0,5.636797e+21
14.2,5.835863e+21
14.4,5.792425e+21
14.6,6.02268e+21
14.8,6.063352e+21
15.0,6.145988e+21
15.2,6.223119e+21
15.4,6.342572e+21
15.6,6.386151e+21
15.8,6.568287e+21
16.0,6.650451e+21
16.2,6.743255e+21
16.4,6.862055e+21
16.6,6.92197e+21
