true_time,time,unsigned_flux,free energy,potential inversion line flux,area
2012.11.25_23:24:00_TAI,43.0,7.448579e+21,1.693451e+23,3.724,217.515137
2012.11.25_23:36:00_TAI,43.2,7.422380e+21,1.694912e+23,3.713,216.692947
2012.11.25_23:48:00_TAI,43.4,7.323359e+21,1.726799e+23,3.686,222.219299
2012.11.26_00:00:00_TAI,43.6,7.440297e+21,1.732089e+23,3.722,221.469482
2012.11.26_00:12:00_TAI,43.8,7.538087e+21,1.706236e+23,3.623,221.729019
2012.11.26_00:24:00_TAI,44.0,7.513181e+21,1.726286e+23,3.619,214.394272
2012.11.26_00:36:00_TAI,44.2,7.587290e+21,1.710550e+23,3.729,216.429855
2012.11.26_00:48:00_TAI,44.4,7.538789e+21,1.736703e+23,3.703,213.857956
2012.11.26_01:00:00_TAI,44.6,7.487652e+21,1.698349e+23,3.706,215.476044
2012.11.26_01:12:00_TAI,44.8,7.492830e+21,1.744286e+23,3.710,216.390259
2012.11.26_01:24:00_TAI,45.0,7.544685e+21,1.693983e+23,3.633,212.453400
2012.11.26_01:36:00_TAI,45.2,7.403373e+21,1.747046e+23,3.627,209.509171
2012.11.26_01:48:00_TAI,45.4,7.531139e+21,1.749817e+23,3.644,206.696213
2012.11.26_02:00:00_TAI,45.6,7.413894e+21,1.731242e+23,3.716,210.382233
2012.11.26_02:12:00_TAI,45.8,7.411353e+21,1.693030e+23,3.722,207.542969
2012.11.26_02:24:00_TAI,46.0,7.314686e+21,1.709520e+23,3.688,207.692169
2012.11.26_02:36:00_TAI,46.2,7.189643e+21,1.703438e+23,3.692,207.466705
2012.11.26_02:48:00_TAI,46.4,7.146432e+21,1.709380e+23,3.714,206.288376
2012.11.26_03:00:00_TAI,46.6,7.149732e+21,1.653190e+23,3.589,207.073914
2012.11.26_03:12:00_TAI,46.8,7.040162e+21,1.689909e+23,3.573,207.531265
2012.11.26_03:24:00_TAI,47.0,7.006735e+21,1.696103e+23,3.549,205.671219
2012.11.26_03:36:00_TAI,47.2,6.941821e+21,1.693151e+23,3.595,209.617462
2012.11.26_03:48:00_TAI,47.4,6.952454e+21,1.683549e+23,3.861,210.874359
2012.11.26_04:00:00_TAI,47.6,7.044768e+21,1.647815e+23,3.886,214.284943
2012.11.26_04:12:00_TAI,47.8,7.019654e+21,1.635341e+23,3.875,215.014526
2012.11.26_04:24:00_TAI,48.0,7.086699e+21,1.649562e+23,3.865,216.072144
2012.11.26_04:36:00_TAI,48.2,7.117988e+21,1.642258e+23,3.865,214.244568
2012.11.26_04:48:00_TAI,48.4,7.049058e+21,1.627998e+23,3.774,210.770966
2012.11.26_05:00:00_TAI,48.6,7.048223e+21,1.627412e+23,3.740,211.542145
2012.11.26_05:12:00_TAI,48.8,7.077264e+21,1.632095e+23,3.508,213.145935
2012.11.26_05:24:00_TAI,49.0,7.122298e+21,1.633999e+23,3.618,212.050705
2012.11.26_05:36:00_TAI,49.2,7.122125e+21,1.634255e+23,3.616,213.053574
2012.11.26_05:48:00_TAI,49.4,7.157284e+21,1.640150e+23,3.599,212.317261
2012.11.26_06:24:00_TAI,50.0,7.138141e+21,1.641745e+23,3.699,211.456345
2012.11.26_06:36:00_TAI,50.2,7.155813e+21,1.652194e+23,3.756,210.857803
2012.11.26_06:48:00_TAI,50.4,7.201175e+21,1.660469e+23,3.656,212.223969
2012.11.26_07:00:00_TAI,50.6,7.235691e+21,1.657845e+23,3.672,205.130096
2012.11.26_07:12:00_TAI,50.8,7.251046e+21,1.658851e+23,3.583,207.704865
2012.11.26_07:24:00_TAI,51.0,7.246587e+21,1.654414e+23,3.780,210.891464
2012.11.26_07:36:00_TAI,51.2,7.188622e+21,1.640856e+23,3.776,204.802826
2012.11.26_07:48:00_TAI,51.4,7.142637e+21,1.662281e+23,3.774,207.766342
2012.11.26_08:00:00_TAI,51.6,7.111268e+21,1.647173e+23,3.822,209.478439
2012.11.26_08:12:00_TAI,51.8,6.976016e+21,1.640055e+23,3.785,210.383621
2012.11.26_08:24:00_TAI,52.0,7.008852e+21,1.648416e+23,3.733,208.307510
2012.11.26_08:36:00_TAI,52.2,6.991223e+21,1.631711e+23,3.715,206.950043
2012.11.26_08:48:00_TAI,52.4,6.962254e+21,1.608549e+23,3.705,204.888290
2012.11.26_09:00:00_TAI,52.6,6.876824e+21,1.600228e+23,3.723,206.948654
